output_csv,sequence_length,count,sequence_ids
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,2,8,"6,9,10,12,15,20,21,27"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,4,4,"1,7,16,28"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,5,1,30
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,6,6,"0,11,13,14,17,18"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,12,5,"2,3,22,23,24"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,14,5,"4,8,19,25,29"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_abtab.csv,20,2,"5,26"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_abtab_fourstep.csv,4,4,"1,7,16,28"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_abtab_non_chord.csv,2,4,"9,10,12,20"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_abtab_non_chord.csv,4,3,"7,16,28"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_abtab_non_chord.csv,6,1,0
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,4,9,"1,7,9,12,15,19,21,28,30"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,5,1,31
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,6,8,"0,10,11,13,14,16,17,20"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,7,2,"6,27"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,12,5,"2,3,22,23,24"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,14,5,"4,8,18,25,29"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_tab_raw.csv,20,2,"5,26"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_raw_fourstep.csv,4,4,"1,7,15,28"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_raw_non_chord.csv,4,3,"7,15,28"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_tab_raw_non_chord.csv,6,1,0
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,2,3,"6,8,12"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,3,1,7
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,4,2,"1,16"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,5,1,11
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,6,6,"0,2,9,10,14,15"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,7,1,4
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,8,1,3
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,9,1,13
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0.csv,16,2,"5,17"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-0_fourstep.csv,4,1,1
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,1,3,"2,6,14"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,2,1,9
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,4,5,"3,4,7,15,16"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,5,2,"10,11"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,6,1,5
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,8,1,8
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,9,2,"0,12"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1.csv,18,2,"1,13"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-1_fourstep.csv,4,4,"3,7,15,16"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-2.csv,5,1,0
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-2.csv,9,1,1
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-3.csv,2,1,2
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-3.csv,3,1,0
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-3.csv,4,2,"3,4"
output/1025_adieu_mes_amours/voices/1025_adieu_mes_amours_voice-3.csv,6,1,1
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,1,3,"20,24,32"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,2,5,"6,8,12,27,39"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,3,2,"7,37"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,4,9,"1,16,21,22,25,33,34,40,41"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,5,4,"11,28,29,35"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,6,8,"0,2,9,10,14,15,23,38"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,7,1,4
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,8,2,"3,26"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,9,4,"13,18,30,36"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,16,2,"5,17"
output/1025_adieu_mes_amours/1025_adieu_mes_amours_voices_merged.csv,18,2,"19,31"
output/1025_adieu_mes_amours/fourstep/1025_adieu_mes_amours_voices_merged_fourstep.csv,4,5,"1,21,25,33,34"
