note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
0,64,1/16,5/8,0,0,ornamentation,0,0,False
1,66,1/16,11/16,1,0,ornamentation,0,0,False
2,67,1/16,3/4,2,0,ornamentation,0,0,False
3,66,1/16,13/16,3,0,ornamentation,0,0,False
4,64,1/16,7/8,4,0,ornamentation,0,0,False
5,66,1/16,15/16,5,0,ornamentation,0,0,False
6,67,1/2,1,6,1,match,1,0,True
6,67,1/2,1,6,0,match,0,0,True
9,66,1/2,2,8,1,ficta,1,1,True
10,69,1/2,2,8,0,match,0,1,True
11,67,1/8,5/2,9,1,match,1,1,False
11,67,1/8,5/2,9,0,match,0,1,False
12,69,1/8,21/8,10,0,ornamentation,0,1,False
13,70,1/8,11/4,11,0,ornamentation,0,1,False
14,72,1/8,23/8,12,0,ornamentation,0,1,False
15,55,1/4,3,13,2,match,2,1,True
16,67,1/4,3,13,1,repetition,1,1,True
17,74,1/4,3,13,0,match,0,1,True
27,66,1/4,17/4,19,1,ficta,0,2,True
28,55,1/8,9/2,20,2,match,2,2,False
29,67,1/8,9/2,20,1,match,1,2,False
30,70,1/8,9/2,20,0,match,0,2,False
31,57,1/8,37/8,21,2,ornamentation,0,2,False
32,58,1/8,19/4,22,2,ornamentation,0,2,False
33,60,1/8,39/8,23,2,ornamentation,0,2,False
34,50,1/8,5,24,3,match,2,2,False
35,62,1/8,5,24,2,match,1,2,False
36,65,1/8,5,24,1,match,0,2,False
37,67,1/8,41/8,25,0,ornamentation,0,2,False
38,69,1/8,21/4,26,0,match,0,2,False
39,70,1/8,43/8,27,3,ornamentation,0,2,False
40,53,1/8,11/2,28,3,match,0,2,False
41,69,1/8,45/8,29,0,ornamentation,0,2,False
42,67,1/8,23/4,30,0,match,0,2,False
43,65,1/8,47/8,31,0,match,0,2,False
44,51,1/4,6,32,3,ficta,2,2,True
45,60,1/4,6,32,1,match,1,2,True
46,67,1/4,6,32,0,match,0,2,True
47,55,1/4,25/4,33,3,adaptation,0,3,True
48,50,1/8,13/2,34,3,match,2,3,False
49,62,1/8,13/2,34,1,match,1,3,False
50,65,1/8,13/2,34,0,match,0,3,False
51,67,1/8,53/8,35,0,ornamentation,0,3,False
52,53,1/8,27/4,36,3,adaptation,1,3,False
53,69,1/8,27/4,36,0,adaptation,0,3,False
54,55,1/8,55/8,37,3,ornamentation,0,3,False
55,57,1/8,7,38,3,match,1,3,False
56,64,1/8,7,38,1,match,0,3,False
57,69,1/8,57/8,39,0,ornamentation,0,3,False
58,72,1/8,29/4,40,0,match,0,3,False
59,70,1/8,59/8,41,3,ornamentation,0,3,False
60,53,1/8,15/2,42,3,adaptation,0,3,False
61,72,1/8,61/8,43,0,ornamentation,0,3,False
62,70,1/8,31/4,44,0,match,0,3,False
63,69,1/8,63/8,45,0,match,0,3,False
65,55,1/4,8,46,3,match,2,3,True
64,46,1/4,8,46,2,adaptation,1,3,True
66,70,1/4,8,46,0,match,0,3,True
72,53,1/4,35/4,50,3,match,2,4,True
73,62,1/4,35/4,50,1,match,1,4,True
74,69,1/4,35/4,50,0,match,0,4,True
75,51,1/8,9,51,3,ficta,0,4,False
76,60,1/8,73/8,52,1,match,0,4,False
77,60,1/8,37/4,53,1,match,1,4,False
78,67,1/8,37/4,53,0,match,0,4,False
79,69,1/8,75/8,54,0,match,0,4,False
80,50,1/8,19/2,55,3,match,1,4,False
81,70,1/8,19/2,55,0,match,0,4,False
82,69,1/8,77/8,56,0,match,0,4,False
83,59,1/8,39/4,57,1,match,1,4,False
84,67,1/8,39/4,57,0,match,0,4,False
85,65,1/8,79/8,58,0,match,0,4,False
86,48,1/8,10,59,3,match,3,4,False
87,60,1/8,10,59,2,match,2,4,False
87,60,1/8,10,59,1,match,1,4,False
88,64,1/8,10,59,0,match,0,4,False
89,59,1/8,81/8,60,1,ornamentation,0,4,False
90,60,1/8,41/4,61,1,ornamentation,0,4,False
91,62,1/8,83/8,62,1,match,0,4,False
92,60,1/8,21/2,63,2,repetition,1,4,False
93,64,1/8,21/2,63,1,match,0,4,False
94,65,1/8,85/8,64,1,match,0,4,False
95,67,1/4,43/4,65,1,match,0,4,True
101,64,1/4,47/4,70,1,match,0,5,True
102,50,1/8,12,71,3,match,2,5,False
103,65,1/8,12,71,1,match,1,5,False
104,69,1/8,12,71,0,match,0,5,False
105,64,1/8,97/8,72,1,ornamentation,0,5,False
106,62,1/8,49/4,73,1,match,0,5,False
107,60,1/8,99/8,74,1,ornamentation,0,5,False
108,53,1/8,25/2,75,3,match,2,5,False
109,62,1/8,25/2,75,1,repetition,1,5,False
110,69,1/8,25/2,75,0,repetition,0,5,False
111,60,1/8,101/8,76,1,match,0,5,False
112,62,1/8,51/4,77,1,adaptation,1,5,False
113,70,1/8,51/4,77,0,match,0,5,False
114,57,1/8,103/8,78,1,match,0,5,False
115,51,1/8,13,79,3,ficta,2,5,False
116,55,1/8,13,79,1,match,1,5,False
117,72,1/8,13,79,0,match,0,5,False
118,57,1/8,105/8,80,1,ornamentation,0,5,False
119,58,1/8,53/4,81,1,ornamentation,0,5,False
120,55,1/8,107/8,82,1,ornamentation,0,5,False
121,50,1/8,27/2,83,3,match,2,5,False
122,57,1/8,27/2,83,1,match,1,5,False
123,74,1/8,27/2,83,0,match,0,5,False
124,55,1/8,109/8,84,1,ornamentation,0,5,False
125,57,1/8,55/4,85,1,ornamentation,0,5,False
126,58,1/8,111/8,86,1,match,0,5,False
127,57,1/8,14,87,3,match,1,5,False
128,60,1/8,14,87,1,match,0,5,False
129,70,1/8,113/8,88,0,ornamentation,0,5,False
130,72,1/8,57/4,89,0,match,0,5,False
131,62,1/8,115/8,90,1,ornamentation,0,5,False
132,57,1/4,29/2,91,3,repetition,2,5,True
133,64,1/4,29/2,91,1,match,1,5,True
134,72,1/4,29/2,91,0,repetition,0,5,True
138,55,3/8,15,94,3,match,3,6,True
138,55,3/8,15,94,2,match,2,6,True
137,46,3/8,15,94,1,adaptation,1,6,True
139,70,3/8,15,94,0,match,0,6,True
140,60,1/8,123/8,95,1,match,1,6,False
141,69,1/8,123/8,95,0,match,0,6,False
142,58,1/8,31/2,96,2,match,2,6,False
143,62,1/8,31/2,96,1,match,1,6,False
144,70,1/8,31/2,96,0,match,0,6,False
145,64,1/8,125/8,97,1,match,0,6,False
146,53,1/8,63/4,98,3,match,2,6,False
147,65,1/8,63/4,98,1,match,1,6,False
148,69,1/8,63/4,98,0,match,0,6,False
149,67,1/8,127/8,99,0,match,0,6,False
150,50,1/8,16,100,3,match,1,6,False
151,65,1/8,16,100,0,match,0,6,False
152,64,1/8,129/8,101,1,match,0,6,False
153,62,1/4,65/4,102,1,match,0,6,True
157,60,1/8,133/8,104,1,ornamentation,0,7,True
158,62,1/16,67/4,105,1,repetition,0,7,False
159,60,1/16,269/16,106,1,ornamentation,0,7,False
160,59,1/16,135/8,107,1,ornamentation,0,7,False
161,60,1/16,271/16,108,1,ornamentation,0,7,False
162,50,1/8,17,109,3,match,2,7,True
163,62,1/8,17,109,2,match,1,7,True
163,62,1/8,17,109,1,match,0,7,True
161,60,1/16,271/16,108,1,ornamentation,0,8,True
162,50,1/8,17,109,3,match,2,8,False
163,62,1/8,17,109,2,match,1,8,False
163,62,1/8,17,109,1,match,0,8,False
164,64,1/8,137/8,110,0,ornamentation,0,8,False
165,65,1/8,69/4,111,0,match,0,8,False
166,67,1/8,139/8,112,0,ornamentation,0,8,False
167,50,1/8,35/2,113,3,repetition,1,8,False
168,65,1/8,35/2,113,0,repetition,0,8,False
169,67,1/8,141/8,114,0,match,0,8,False
170,53,1/8,71/4,115,1,match,1,8,False
171,69,1/8,71/4,115,0,match,0,8,False
172,70,1/8,143/8,116,0,match,0,8,False
173,57,1/8,18,117,3,match,2,8,False
174,60,1/8,18,117,2,match,1,8,False
175,72,1/8,18,117,0,match,0,8,False
176,55,1/8,145/8,118,1,match,0,8,False
177,57,1/8,73/4,119,1,match,0,8,False
178,58,1/8,147/8,120,1,match,0,8,False
179,53,1/8,37/2,121,3,match,2,8,False
180,60,1/8,37/2,121,1,match,1,8,False
181,69,1/8,37/2,121,0,match,0,8,False
182,67,1/8,149/8,122,0,match,0,8,False
183,55,1/4,75/4,123,3,match,3,8,True
184,58,1/4,75/4,123,2,match,2,8,True
185,62,1/4,75/4,123,1,adaptation,1,8,True
186,67,1/4,75/4,123,0,repetition,0,8,True
183,55,1/4,75/4,123,3,match,3,9,True
184,58,1/4,75/4,123,2,match,2,9,True
185,62,1/4,75/4,123,1,adaptation,1,9,True
186,67,1/4,75/4,123,0,repetition,0,9,True
187,55,1/8,19,124,2,match,0,9,False
188,69,1/8,153/8,125,0,match,0,9,False
189,51,1/8,77/4,126,3,ficta,2,9,False
190,58,1/8,77/4,126,1,match,1,9,False
191,67,1/8,77/4,126,0,match,0,9,False
192,48,1/8,155/8,127,3,adaptation,0,9,False
193,50,1/4,39/2,128,3,match,2,9,True
194,57,1/4,39/2,128,2,match,1,9,True
195,62,1/4,39/2,128,1,match,0,9,True
220,53,1/4,23,145,3,match,1,10,True
221,62,1/4,23,145,1,match,0,10,True
222,70,1/8,93/4,146,0,match,0,10,False
223,69,1/8,187/8,147,0,match,0,10,False
224,55,1/8,47/2,148,3,match,1,10,False
225,70,1/8,47/2,148,0,match,0,10,False
226,69,1/8,189/8,149,0,match,0,10,False
227,67,1/8,95/4,150,0,match,0,10,False
228,65,1/8,191/8,151,0,match,0,10,False
229,57,1/4,24,152,3,match,2,10,True
230,60,1/4,24,152,1,match,1,10,True
231,64,1/4,24,152,0,match,0,10,True
229,57,1/4,24,152,3,match,2,11,True
230,60,1/4,24,152,1,match,1,11,True
231,64,1/4,24,152,0,match,0,11,True
232,69,1/8,97/4,153,0,ornamentation,0,11,False
233,67,1/8,195/8,154,0,ornamentation,0,11,False
235,60,1/8,49/2,155,3,adaptation,2,11,False
234,57,1/8,49/2,155,1,match,1,11,False
236,65,1/8,49/2,155,0,match,0,11,False
237,64,1/8,197/8,156,1,ornamentation,0,11,False
238,62,1/8,99/4,157,1,ornamentation,0,11,False
239,60,1/8,199/8,158,1,ornamentation,0,11,False
240,55,1/4,25,159,3,match,3,11,True
240,55,1/4,25,159,2,match,2,11,True
241,58,1/4,25,159,1,match,1,11,True
242,67,1/4,25,159,0,match,0,11,True
245,55,1/4,51/2,162,3,repetition,2,12,True
246,58,1/4,51/2,162,1,repetition,1,12,True
247,67,1/4,51/2,162,0,repetition,0,12,True
248,53,1/8,103/4,163,3,match,2,12,False
249,57,1/8,103/4,163,1,match,1,12,False
250,69,1/8,103/4,163,0,match,0,12,False
251,55,1/8,207/8,164,1,match,0,12,False
252,50,1/8,26,165,3,match,0,12,False
253,62,1/8,209/8,166,2,repetition,1,12,False
254,65,1/8,209/8,166,0,adaptation,0,12,False
255,70,1/4,105/4,167,0,match,0,12,True
256,51,1/4,53/2,168,3,ficta,2,13,True
258,60,1/4,53/2,168,2,match,1,13,True
257,55,1/4,53/2,168,1,match,0,13,True
259,69,1/8,107/4,169,0,match,0,13,False
260,67,1/8,215/8,170,0,match,0,13,False
261,50,1/8,27,171,3,match,3,13,False
263,62,1/8,27,171,2,match,2,13,False
262,57,1/8,27,171,1,match,1,13,False
264,65,1/8,27,171,0,match,0,13,False
265,67,1/8,217/8,172,0,ornamentation,0,13,False
266,65,1/8,109/4,173,0,ornamentation,0,13,False
267,64,1/8,219/8,174,0,ornamentation,0,13,False
268,50,1/4,55/2,175,3,repetition,1,13,True
269,65,1/4,55/2,175,0,repetition,0,13,True
270,62,1/4,111/4,176,1,match,0,14,True
271,60,1/8,28,177,2,match,1,14,False
272,64,1/8,28,177,1,match,0,14,False
273,62,1/8,225/8,178,1,ornamentation,0,14,False
274,64,1/8,113/4,179,1,ornamentation,0,14,False
275,65,1/8,227/8,180,1,match,0,14,False
276,60,1/8,57/2,181,2,repetition,1,14,False
277,67,1/8,57/2,181,1,match,0,14,False
278,69,1/8,229/8,182,1,match,0,14,False
279,62,1/4,115/4,183,2,adaptation,1,14,True
280,70,1/4,115/4,183,1,match,0,14,True
286,66,1/8,237/8,188,1,ornamentation,0,15,True
287,67,1/16,119/4,189,1,repetition,0,15,False
288,66,1/16,477/16,190,1,ornamentation,0,15,False
289,64,1/16,239/8,191,1,ornamentation,0,15,False
290,66,1/16,479/16,192,1,ornamentation,0,15,False
291,55,1/4,30,193,2,match,2,15,True
292,67,1/4,30,193,1,match,1,15,True
293,70,1/4,30,193,0,match,0,15,True
294,74,1/4,121/4,194,0,match,0,16,True
295,55,1/8,61/2,195,0,ornamentation,0,16,False
296,72,1/8,245/8,196,0,match,0,16,False
297,70,1/8,123/4,197,0,match,0,16,False
298,69,1/8,247/8,198,0,match,0,16,False
299,55,1/8,31,199,1,match,1,16,False
300,67,1/8,31,199,0,match,0,16,False
301,69,1/8,249/8,200,0,ornamentation,0,16,False
