note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
0;64;1/16;5/8;0;0;ornamentation;0;0;False
1;66;1/16;11/16;1;0;ornamentation;0;0;False
2;67;1/16;3/4;2;0;ornamentation;0;0;False
3;66;1/16;13/16;3;0;ornamentation;0;0;False
4;64;1/16;7/8;4;0;ornamentation;0;0;False
5;66;1/16;15/16;5;0;ornamentation;0;0;False
6;67;1/2;1;6;1;match;1;0;True
6;67;1/2;1;6;0;match;0;0;True
157;60;1/8;133/8;104;1;ornamentation;0;7;True
158;62;1/16;67/4;105;1;repetition;0;7;False
159;60;1/16;269/16;106;1;ornamentation;0;7;False
160;59;1/16;135/8;107;1;ornamentation;0;7;False
161;60;1/16;271/16;108;1;ornamentation;0;7;False
162;50;1/8;17;109;3;match;2;7;True
163;62;1/8;17;109;2;match;1;7;True
163;62;1/8;17;109;1;match;0;7;True
208;62;1/4;43/2;137;1;match;1;9;True
209;70;1/4;43/2;137;0;match;0;9;True
210;72;1/8;87/4;138;0;ornamentation;0;9;False
211;70;1/8;175/8;139;0;ornamentation;0;9;False
212;50;1/4;22;140;3;match;2;9;True
213;62;1/4;22;140;1;match;1;9;True
214;69;1/4;22;140;0;match;0;9;True
212;50;1/4;22;140;3;match;2;10;True
213;62;1/4;22;140;1;match;1;10;True
214;69;1/4;22;140;0;match;0;10;True
215;60;1/8;89/4;141;3;ornamentation;0;10;False
216;58;1/8;179/8;142;3;ornamentation;0;10;False
217;57;1/4;45/2;143;3;match;1;10;True
218;60;1/4;45/2;143;1;match;0;10;True
240;55;1/4;25;159;3;match;3;12;True
240;55;1/4;25;159;2;match;2;12;True
241;58;1/4;25;159;1;match;1;12;True
242;67;1/4;25;159;0;match;0;12;True
243;69;1/8;101/4;160;0;ornamentation;0;12;False
244;67;1/8;203/8;161;0;ornamentation;0;12;False
245;55;1/4;51/2;162;3;repetition;2;12;True
246;58;1/4;51/2;162;1;repetition;1;12;True
247;67;1/4;51/2;162;0;repetition;0;12;True
286;66;1/8;237/8;188;1;ornamentation;0;16;True
287;67;1/16;119/4;189;1;repetition;0;16;False
288;66;1/16;477/16;190;1;ornamentation;0;16;False
289;64;1/16;239/8;191;1;ornamentation;0;16;False
290;66;1/16;479/16;192;1;ornamentation;0;16;False
291;55;1/4;30;193;2;match;2;16;True
292;67;1/4;30;193;1;match;1;16;True
293;70;1/4;30;193;0;match;0;16;True
337;55;1/4;35;227;3;match;3;20;True
337;55;1/4;35;227;2;match;2;20;True
338;58;1/4;35;227;1;match;1;20;True
339;67;1/4;35;227;0;match;0;20;True
340;69;1/8;141/4;228;0;ornamentation;0;20;False
341;67;1/8;283/8;229;0;ornamentation;0;20;False
342;55;1/4;71/2;230;3;repetition;3;20;True
344;62;1/4;71/2;230;2;match;2;20;True
343;58;1/4;71/2;230;1;repetition;1;20;True
345;67;1/4;71/2;230;0;repetition;0;20;True
549;60;1/8;445/8;362;1;ornamentation;0;28;True
550;62;1/16;223/4;363;1;repetition;0;28;False
551;60;1/16;893/16;364;1;ornamentation;0;28;False
552;59;1/16;447/8;365;1;ornamentation;0;28;False
553;60;1/16;895/16;366;1;ornamentation;0;28;False
554;50;1/8;56;367;3;match;2;28;True
555;62;1/8;56;367;2;match;1;28;True
555;62;1/8;56;367;1;match;0;28;True
