note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
9;66;1/2;2;8;1;ficta;1;1;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
10;69;1/2;2;8;0;match;0;1;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
11;67;1/8;5/2;9;1;match;1;1;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
11;67;1/8;5/2;9;0;match;0;1;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
12;69;1/8;21/8;10;0;ornamentation;0;1;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
13;70;1/8;11/4;11;0;ornamentation;0;1;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
14;72;1/8;23/8;12;0;ornamentation;0;1;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
15;55;1/4;3;13;2;match;2;1;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
16;67;1/4;3;13;1;repetition;1;1;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
17;74;1/4;3;13;0;match;0;1;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
157;60;1/8;133/8;104;1;ornamentation;0;7;True;[non_monotonic]
158;62;1/16;67/4;105;1;repetition;0;7;False;[non_monotonic]
159;60;1/16;269/16;106;1;ornamentation;0;7;False;[non_monotonic]
160;59;1/16;135/8;107;1;ornamentation;0;7;False;[non_monotonic]
161;60;1/16;271/16;108;1;ornamentation;0;7;False;[non_monotonic]
162;50;1/8;17;109;3;match;2;7;True;[non_monotonic]
163;62;1/8;17;109;2;match;1;7;True;[non_monotonic]
163;62;1/8;17;109;1;match;0;7;True;[non_monotonic]
286;66;1/8;237/8;188;1;ornamentation;0;15;True;[non_monotonic]
287;67;1/16;119/4;189;1;repetition;0;15;False;[non_monotonic]
288;66;1/16;477/16;190;1;ornamentation;0;15;False;[non_monotonic]
289;64;1/16;239/8;191;1;ornamentation;0;15;False;[non_monotonic]
290;66;1/16;479/16;192;1;ornamentation;0;15;False;[non_monotonic]
291;55;1/4;30;193;2;match;2;15;True;[non_monotonic]
292;67;1/4;30;193;1;match;1;15;True;[non_monotonic]
293;70;1/4;30;193;0;match;0;15;True;[non_monotonic]
549;60;1/8;445/8;362;1;ornamentation;0;28;True;[non_monotonic]
550;62;1/16;223/4;363;1;repetition;0;28;False;[non_monotonic]
551;60;1/16;893/16;364;1;ornamentation;0;28;False;[non_monotonic]
552;59;1/16;447/8;365;1;ornamentation;0;28;False;[non_monotonic]
553;60;1/16;895/16;366;1;ornamentation;0;28;False;[non_monotonic]
554;50;1/8;56;367;3;match;2;28;True;[non_monotonic]
555;62;1/8;56;367;2;match;1;28;True;[non_monotonic]
555;62;1/8;56;367;1;match;0;28;True;[non_monotonic]
