note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
10;69;1/2;2;8;0;match;0;1;True;1;[monotonic_perfect_fifth_0_0]
11;67;1/8;5/2;9;0;match;0;1;False;1;[monotonic_perfect_fifth_0_0]
12;69;1/8;21/8;10;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
13;70;1/8;11/4;11;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
14;72;1/8;23/8;12;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
17;74;1/4;3;13;0;match;0;1;True;1;[monotonic_perfect_fifth_0_0]
157;60;1/8;133/8;104;1;ornamentation;0;21;True;3;[non_monotonic]
158;62;1/16;67/4;105;1;repetition;0;21;False;3;[non_monotonic]
159;60;1/16;269/16;106;1;ornamentation;0;21;False;3;[non_monotonic]
160;59;1/16;135/8;107;1;ornamentation;0;21;False;3;[non_monotonic]
161;60;1/16;271/16;108;1;ornamentation;0;21;False;3;[non_monotonic]
163;62;1/8;17;109;1;match;0;21;True;3;[non_monotonic]
286;66;1/8;237/8;188;1;ornamentation;0;25;True;7;[non_monotonic]
287;67;1/16;119/4;189;1;repetition;0;25;False;7;[non_monotonic]
288;66;1/16;477/16;190;1;ornamentation;0;25;False;7;[non_monotonic]
289;64;1/16;239/8;191;1;ornamentation;0;25;False;7;[non_monotonic]
290;66;1/16;479/16;192;1;ornamentation;0;25;False;7;[non_monotonic]
292;67;1/4;30;193;1;match;1;25;True;7;[non_monotonic]
549;60;1/8;445/8;362;1;ornamentation;0;33;True;15;[non_monotonic]
550;62;1/16;223/4;363;1;repetition;0;33;False;15;[non_monotonic]
551;60;1/16;893/16;364;1;ornamentation;0;33;False;15;[non_monotonic]
552;59;1/16;447/8;365;1;ornamentation;0;33;False;15;[non_monotonic]
553;60;1/16;895/16;366;1;ornamentation;0;33;False;15;[non_monotonic]
555;62;1/8;56;367;1;match;0;33;True;15;[non_monotonic]
593;63;3/8;119/2;390;1;match;1;34;True;16;[non_monotonic]
595;62;1/8;479/8;391;1;match;0;34;False;16;[non_monotonic]
597;63;1/8;481/8;393;1;adaptation;1;34;False;16;[non_monotonic]
599;62;1/8;241/4;394;1;ornamentation;0;34;False;16;[non_monotonic]
600;60;1/8;483/8;395;1;ornamentation;0;34;False;16;[non_monotonic]
602;63;1/2;121/2;396;1;adaptation;1;34;True;16;[non_monotonic]
