note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
24,57,1/4,4,18,2,match,2,0,True
28,55,1/8,9/2,20,2,match,2,0,False
31,57,1/8,37/8,21,2,ornamentation,0,0,False
32,58,1/8,19/4,22,2,ornamentation,0,0,False
33,60,1/8,39/8,23,2,ornamentation,0,0,False
35,62,1/8,5,24,2,match,1,0,False
64,46,1/4,8,46,2,adaptation,1,0,True
421,57,1/4,43,276,2,match,2,1,True
425,55,1/8,87/2,278,2,match,2,1,False
428,57,1/8,349/8,279,2,ornamentation,0,1,False
429,58,1/8,175/4,280,2,ornamentation,0,1,False
430,60,1/8,351/8,281,2,ornamentation,0,1,False
432,62,1/8,44,282,2,match,1,1,False
462,60,1/8,189/4,305,2,adaptation,1,1,False
464,62,1/8,379/8,306,2,repetition,0,1,False
481,60,1/8,49,317,2,match,2,1,False
486,60,1/8,99/2,321,2,repetition,1,1,False
489,58,1/4,199/4,323,2,match,1,1,True
