output_csv,duration,count,sequence_ids
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,1/16,2,"7,8"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,1/8,7,"0,1,2,3,4,5,6"
output/1030_coment_peult_avoir_joye/fourstep/1030_coment_peult_avoir_joye_tab_abtab_non_chord.csv,1/16,2,"7,8"
output/1030_coment_peult_avoir_joye/fourstep/1030_coment_peult_avoir_joye_tab_abtab_non_chord.csv,1/8,2,"3,5"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,1/8,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13"
output/1030_coment_peult_avoir_joye/fourstep/1030_coment_peult_avoir_joye_tab_raw_fourstep.csv,1/8,4,"5,6,7,8"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-3.csv,1/8,2,"0,1"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-1.csv,1/8,7,"0,1,2,3,4,5,6"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-2.csv,1/16,2,"0,1"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,1/16,2,"9,10"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,1/8,9,"0,1,2,3,4,5,6,7,8"
