output_csv,sequence_length,count,sequence_ids
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,1,1,3
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,2,4,"5,6,7,8"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,8,1,4
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,12,2,"0,2"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_abtab.csv,14,1,1
output/1030_coment_peult_avoir_joye/fourstep/1030_coment_peult_avoir_joye_tab_abtab_non_chord.csv,1,1,3
output/1030_coment_peult_avoir_joye/fourstep/1030_coment_peult_avoir_joye_tab_abtab_non_chord.csv,2,3,"5,7,8"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,4,4,"5,6,7,8"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,6,3,"10,11,12"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,8,2,"4,9"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,10,1,0
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,12,3,"1,3,13"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_tab_raw.csv,14,1,2
output/1030_coment_peult_avoir_joye/fourstep/1030_coment_peult_avoir_joye_tab_raw_fourstep.csv,4,4,"5,6,7,8"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-3.csv,10,2,"0,1"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-1.csv,1,1,3
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-1.csv,2,2,"5,6"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-1.csv,5,3,"0,2,4"
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-1.csv,7,1,1
output/1030_coment_peult_avoir_joye/voices/1030_coment_peult_avoir_joye_voice-2.csv,2,2,"0,1"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,1,1,5
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,2,4,"7,8,9,10"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,5,3,"2,4,6"
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,7,1,3
output/1030_coment_peult_avoir_joye/1030_coment_peult_avoir_joye_voices_merged.csv,10,2,"0,1"
