note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
113,57,1/4,14,59,3,match,2,0,True
114,65,1/4,14,59,1,match,1,0,True
115,72,1/4,14,59,0,match,0,0,True
116,57,1/8,57/4,60,3,repetition,2,0,False
117,60,1/8,57/4,60,2,match,1,0,False
118,64,1/8,57/4,60,1,match,0,0,False
119,59,1/8,115/8,61,3,match,0,0,False
120,60,1/8,29/2,62,3,match,3,0,False
120,60,1/8,29/2,62,2,match,2,0,False
121,64,1/8,29/2,62,1,repetition,1,0,False
122,72,1/8,29/2,62,0,repetition,0,0,False
123,62,1/8,117/8,63,1,match,0,0,False
124,53,1/8,59/4,64,3,match,1,0,False
125,60,1/8,59/4,64,1,match,0,0,False
126,52,1/8,119/8,65,3,adaptation,0,0,False
127,53,1/8,15,66,3,repetition,0,0,False
128,52,1/8,121/8,67,3,adaptation,0,0,False
129,50,1/8,61/4,68,3,adaptation,0,0,False
130,48,1/8,123/8,69,3,ornamentation,0,0,False
131,50,1/8,31/2,70,3,match,0,0,False
132,59,1/8,125/8,71,1,ornamentation,0,0,False
133,53,1/4,63/4,72,1,match,0,0,True
161,55,1/4,39/2,85,3,repetition,2,1,True
162,67,1/4,39/2,85,1,match,1,1,True
163,74,1/4,39/2,85,0,repetition,0,1,True
164,57,1/8,79/4,86,3,match,1,1,False
165,65,1/8,79/4,86,2,match,0,1,False
166,59,1/8,159/8,87,3,match,0,1,False
167,60,1/8,20,88,3,match,3,1,False
168,64,1/8,20,88,2,match,2,1,False
169,67,1/8,20,88,1,repetition,1,1,False
170,76,1/8,20,88,0,match,0,1,False
171,59,1/8,161/8,89,3,match,0,1,False
172,57,1/8,81/4,90,3,match,0,1,False
173,55,1/8,163/8,91,3,match,0,1,False
174,57,1/8,41/2,92,3,match,2,1,False
175,60,1/8,41/2,92,2,match,1,1,False
176,76,1/8,41/2,92,0,repetition,0,1,False
177,64,1/8,165/8,93,1,match,0,1,False
178,62,1/8,83/4,94,1,match,0,1,False
179,60,1/8,167/8,95,1,match,0,1,False
180,55,1/8,21,96,3,match,2,1,False
182,62,1/8,21,96,2,match,1,1,False
181,59,1/8,21,96,1,match,0,1,False
