note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
51,55,1/4,15/2,27,3,repetition,2,0,True
52,67,1/4,15/2,27,1,match,1,0,True
53,74,1/4,15/2,27,0,repetition,0,0,True
54,57,1/8,31/4,28,3,match,1,0,False
55,65,1/8,31/4,28,2,match,0,0,False
56,59,1/8,63/8,29,3,match,0,0,False
57,60,1/8,8,30,3,match,3,0,False
58,64,1/8,8,30,2,match,2,0,False
59,67,1/8,8,30,1,repetition,1,0,False
60,76,1/8,8,30,0,match,0,0,False
61,59,1/8,65/8,31,3,match,0,0,False
62,57,1/8,33/4,32,3,match,1,0,False
63,65,1/8,33/4,32,1,match,0,0,False
64,64,1/8,67/8,33,1,match,0,0,False
65,65,1/8,17/2,34,1,match,0,0,False
66,64,1/8,69/8,35,1,match,0,0,False
67,62,1/8,35/4,36,1,match,0,0,False
68,60,1/8,71/8,37,1,match,0,0,False
69,55,3/8,9,38,3,match,2,0,True
71,62,3/8,9,38,2,match,1,0,True
70,59,3/8,9,38,1,match,0,0,True
113,57,1/4,14,59,3,match,2,1,True
114,65,1/4,14,59,1,match,1,1,True
115,72,1/4,14,59,0,match,0,1,True
116,57,1/8,57/4,60,3,repetition,2,1,False
117,60,1/8,57/4,60,2,match,1,1,False
118,64,1/8,57/4,60,1,match,0,1,False
119,59,1/8,115/8,61,3,match,0,1,False
120,60,1/8,29/2,62,3,match,3,1,False
120,60,1/8,29/2,62,2,match,2,1,False
121,64,1/8,29/2,62,1,repetition,1,1,False
122,72,1/8,29/2,62,0,repetition,0,1,False
123,62,1/8,117/8,63,1,match,0,1,False
124,53,1/8,59/4,64,3,match,1,1,False
125,60,1/8,59/4,64,1,match,0,1,False
126,52,1/8,119/8,65,3,adaptation,0,1,False
127,53,1/8,15,66,3,repetition,0,1,False
128,52,1/8,121/8,67,3,adaptation,0,1,False
129,50,1/8,61/4,68,3,adaptation,0,1,False
130,48,1/8,123/8,69,3,ornamentation,0,1,False
131,50,1/8,31/2,70,3,match,0,1,False
132,59,1/8,125/8,71,1,ornamentation,0,1,False
133,53,1/4,63/4,72,1,match,0,1,True
161,55,1/4,39/2,85,3,repetition,2,2,True
162,67,1/4,39/2,85,1,match,1,2,True
163,74,1/4,39/2,85,0,repetition,0,2,True
164,57,1/8,79/4,86,3,match,1,2,False
165,65,1/8,79/4,86,2,match,0,2,False
166,59,1/8,159/8,87,3,match,0,2,False
167,60,1/8,20,88,3,match,3,2,False
168,64,1/8,20,88,2,match,2,2,False
169,67,1/8,20,88,1,repetition,1,2,False
170,76,1/8,20,88,0,match,0,2,False
171,59,1/8,161/8,89,3,match,0,2,False
172,57,1/8,81/4,90,3,match,0,2,False
173,55,1/8,163/8,91,3,match,0,2,False
174,57,1/8,41/2,92,3,match,2,2,False
175,60,1/8,41/2,92,2,match,1,2,False
176,76,1/8,41/2,92,0,repetition,0,2,False
177,64,1/8,165/8,93,1,match,0,2,False
178,62,1/8,83/4,94,1,match,0,2,False
179,60,1/8,167/8,95,1,match,0,2,False
180,55,1/8,21,96,3,match,2,2,False
182,62,1/8,21,96,2,match,1,2,False
181,59,1/8,21,96,1,match,0,2,False
183,57,1/8,169/8,97,1,ornamentation,0,2,False
184,55,1/8,85/4,98,1,match,0,2,False
185,53,1/8,171/8,99,3,match,0,2,False
186,50,1/4,43/2,100,3,match,3,2,True
188,62,1/4,43/2,100,2,repetition,2,2,True
187,57,1/4,43/2,100,1,match,1,2,True
189,77,1/4,43/2,100,0,match,0,2,True
226,57,1/4,26,116,3,match,2,3,True
227,65,1/4,26,116,1,match,1,3,True
228,72,1/4,26,116,0,match,0,3,True
229,57,1/8,105/4,117,3,repetition,2,3,False
230,60,1/8,105/4,117,2,match,1,3,False
231,64,1/8,105/4,117,1,match,0,3,False
232,59,1/8,211/8,118,3,match,0,3,False
233,60,1/8,53/2,119,3,match,3,3,False
233,60,1/8,53/2,119,2,match,2,3,False
