note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
262;64;3/8;30;136;1;match;1;3;True
263;72;3/8;30;136;0;match;0;3;True
264;62;1/8;243/8;137;1;ornamentation;0;3;False
265;55;1/2;61/2;138;2;match;2;3;True
266;67;1/2;61/2;138;1;match;1;3;True
267;74;1/2;61/2;138;0;match;0;3;True
311;50;1/4;36;161;3;match;2;5;True
312;65;1/4;36;161;2;match;1;5;True
313;74;1/4;36;161;0;repetition;0;5;True
314;57;1/8;145/4;162;1;ornamentation;0;5;False
315;59;1/8;291/8;163;1;match;0;5;False
316;57;3/8;73/2;164;3;match;3;5;True
318;64;3/8;73/2;164;2;match;2;5;True
317;60;3/8;73/2;164;1;match;1;5;True
319;72;3/8;73/2;164;0;match;0;5;True
478;72;1/8;211/4;243;0;match;0;7;True
479;62;1/16;423/8;244;2;repetition;0;7;False
480;60;1/16;847/16;245;2;ornamentation;0;7;False
481;64;1/4;53;246;2;match;1;7;True
482;67;1/4;53;246;1;repetition;0;7;True
519;59;1/8;223/4;264;3;match;1;8;True
518;55;1/8;223/4;264;1;match;0;8;True
520;60;1/16;447/8;265;2;repetition;0;8;False
521;62;1/16;895/16;266;2;ornamentation;0;8;False
522;57;1/8;56;267;3;match;3;8;True
524;64;1/8;56;267;2;match;2;8;True
523;60;1/8;56;267;1;match;1;8;True
525;72;1/8;56;267;0;match;0;8;True
