note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
322;58;1/4;37;166;3;match;2;5;True;[non_monotonic_chords]
321;55;1/4;37;166;1;match;1;5;True;[non_monotonic_chords]
323;74;1/4;37;166;0;match;0;5;True;[non_monotonic_chords]
325;58;1/8;149/4;167;3;repetition;2;5;False;[non_monotonic_chords]
326;62;1/8;149/4;167;2;match;1;5;False;[non_monotonic_chords]
324;55;1/8;149/4;167;1;repetition;0;5;False;[non_monotonic_chords]
327;53;1/8;299/8;168;1;match;0;5;False;[non_monotonic_chords]
328;55;1/8;75/2;169;3;match;3;5;False;[non_monotonic_chords]
329;62;1/8;75/2;169;2;match;2;5;False;[non_monotonic_chords]
328;55;1/8;75/2;169;1;match;1;5;False;[non_monotonic_chords]
330;74;1/8;75/2;169;0;repetition;0;5;False;[non_monotonic_chords]
331;57;1/8;301/8;170;1;match;0;5;False;[non_monotonic_chords]
332;55;1/4;151/4;171;3;match;1;5;True;[non_monotonic_chords]
333;58;1/4;151/4;171;1;match;0;5;True;[non_monotonic_chords]
332;55;1/4;151/4;171;3;match;1;6;True;[monotonic_perfect_fifth_1_0_chords]
333;58;1/4;151/4;171;1;match;0;6;True;[monotonic_perfect_fifth_1_0_chords]
334;55;1/8;38;172;3;repetition;1;6;False;[monotonic_perfect_fifth_1_0_chords]
335;62;1/8;38;172;2;repetition;0;6;False;[monotonic_perfect_fifth_1_0_chords]
336;53;1/8;305/8;173;3;match;0;6;False;[monotonic_perfect_fifth_1_0_chords]
337;52;1/8;153/4;174;3;match;0;6;False;[monotonic_perfect_fifth_1_0_chords]
338;50;1/8;307/8;175;3;match;0;6;False;[monotonic_perfect_fifth_1_0_chords]
339;52;1/4;77/2;176;3;match;1;6;True;[monotonic_perfect_fifth_1_0_chords]
340;60;1/4;77/2;176;2;ficta;0;6;True;[monotonic_perfect_fifth_1_0_chords]
365;48;1/4;42;189;3;match;3;7;True;[monotonic_perfect_fifth_1_0_chords]
367;67;1/4;42;189;2;match;2;7;True;[monotonic_perfect_fifth_1_0_chords]
366;55;1/4;42;189;1;match;1;7;True;[monotonic_perfect_fifth_1_0_chords]
368;76;1/4;42;189;0;match;0;7;True;[monotonic_perfect_fifth_1_0_chords]
369;55;1/8;169/4;190;1;repetition;1;7;False;[monotonic_perfect_fifth_1_0_chords]
370;72;1/8;169/4;190;0;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
371;57;1/8;339/8;191;1;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
373;67;1/8;85/2;192;2;repetition;2;7;False;[monotonic_perfect_fifth_1_0_chords]
372;58;1/8;85/2;192;1;match;1;7;False;[monotonic_perfect_fifth_1_0_chords]
374;74;1/8;85/2;192;0;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
375;60;1/8;341/8;193;1;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
377;65;1/4;171/4;194;2;match;1;7;True;[monotonic_perfect_fifth_1_0_chords]
376;62;1/4;171/4;194;1;match;0;7;True;[monotonic_perfect_fifth_1_0_chords]
382;60;1/4;173/4;196;1;match;0;8;True;[monotonic_perfect_fifth_0_0_chords]
383;58;1/8;87/2;197;3;adaptation;2;8;False;[monotonic_perfect_fifth_0_0_chords]
385;65;1/8;87/2;197;2;match;1;8;False;[monotonic_perfect_fifth_0_0_chords]
384;62;1/8;87/2;197;1;match;0;8;False;[monotonic_perfect_fifth_0_0_chords]
386;60;1/8;349/8;198;1;match;0;8;False;[monotonic_perfect_fifth_0_0_chords]
387;58;1/8;175/4;199;1;match;0;8;False;[monotonic_perfect_fifth_0_0_chords]
388;57;1/8;351/8;200;1;match;0;8;False;[monotonic_perfect_fifth_0_0_chords]
389;48;1/4;44;201;3;match;2;8;True;[monotonic_perfect_fifth_0_0_chords]
391;64;1/4;44;201;2;match;1;8;True;[monotonic_perfect_fifth_0_0_chords]
390;55;1/4;44;201;1;match;0;8;True;[monotonic_perfect_fifth_0_0_chords]
