note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
12;62;3/16;3;9;1;match;1;0;True
13;65;3/16;3;9;0;match;0;0;True
14;64;1/16;51/16;10;0;ornamentation;0;0;False
15;65;1/16;13/4;11;0;ornamentation;0;0;False
16;64;1/16;53/16;12;0;ornamentation;0;0;False
17;65;1/32;27/8;13;0;ornamentation;0;0;True
16;64;1/16;53/16;12;0;ornamentation;0;1;True
17;65;1/32;27/8;13;0;ornamentation;0;1;False
18;64;1/32;109/32;14;0;ornamentation;0;1;False
19;62;1/32;55/16;15;0;ornamentation;0;1;False
20;60;1/32;111/32;16;0;ornamentation;0;1;False
22;62;1/4;7/2;17;1;repetition;1;1;True
21;58;1/4;7/2;17;0;match;0;1;True
28;55;3/16;9/2;21;2;match;1;2;True
29;62;3/16;9/2;21;1;match;0;2;True
30;64;1/32;75/16;22;1;ornamentation;0;2;False
31;62;1/32;151/32;23;1;ornamentation;0;2;False
32;55;1/16;19/4;24;2;match;2;2;True
33;65;1/16;19/4;24;1;adaptation;1;2;True
34;70;1/16;19/4;24;0;match;0;2;True
35;64;1/16;77/16;25;1;ornamentation;0;4;True
36;65;1/32;39/8;26;1;ornamentation;0;4;False
37;64;1/32;157/32;27;1;ornamentation;0;4;False
38;62;1/32;79/16;28;1;ornamentation;0;4;False
39;64;1/32;159/32;29;1;ornamentation;0;4;False
40;62;1/16;5;30;2;match;2;4;True
41;65;1/16;5;30;1;match;1;4;True
42;69;1/16;5;30;0;match;0;4;True
48;62;1/8;11/2;36;1;match;1;7;True
49;69;1/8;11/2;36;0;match;0;7;True
50;70;1/32;45/8;37;0;ornamentation;0;7;False
51;69;1/32;181/32;38;0;ornamentation;0;7;False
52;67;1/32;91/16;39;0;ornamentation;0;7;False
53;69;1/32;183/32;40;0;ornamentation;0;7;False
54;55;1/16;23/4;41;2;match;2;7;True
55;62;1/16;23/4;41;1;match;1;7;True
56;70;1/16;23/4;41;0;match;0;7;True
