note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
16;64;1/16;53/16;12;0;ornamentation;0;0;True;[monotonic_perfect_fifth_0_0]
17;65;1/32;27/8;13;0;ornamentation;0;0;False;[monotonic_perfect_fifth_0_0]
18;64;1/32;109/32;14;0;ornamentation;0;0;False;[monotonic_perfect_fifth_0_0]
19;62;1/32;55/16;15;0;ornamentation;0;0;False;[monotonic_perfect_fifth_0_0]
20;60;1/32;111/32;16;0;ornamentation;0;0;False;[monotonic_perfect_fifth_0_0]
22;62;1/4;7/2;17;1;repetition;1;0;True;[monotonic_perfect_fifth_0_0]
21;58;1/4;7/2;17;0;match;0;0;True;[monotonic_perfect_fifth_0_0]
35;64;1/16;77/16;25;1;ornamentation;0;1;True;[non_monotonic]
36;65;1/32;39/8;26;1;ornamentation;0;1;False;[non_monotonic]
37;64;1/32;157/32;27;1;ornamentation;0;1;False;[non_monotonic]
38;62;1/32;79/16;28;1;ornamentation;0;1;False;[non_monotonic]
39;64;1/32;159/32;29;1;ornamentation;0;1;False;[non_monotonic]
40;62;1/16;5;30;2;match;2;1;True;[non_monotonic]
41;65;1/16;5;30;1;match;1;1;True;[non_monotonic]
42;69;1/16;5;30;0;match;0;1;True;[non_monotonic]
39;64;1/32;159/32;29;1;ornamentation;0;2;True;[monotonic_perfect_fifth_2_0_chords]
40;62;1/16;5;30;2;match;2;2;False;[monotonic_perfect_fifth_2_0_chords]
41;65;1/16;5;30;1;match;1;2;False;[monotonic_perfect_fifth_2_0_chords]
42;69;1/16;5;30;0;match;0;2;False;[monotonic_perfect_fifth_2_0_chords]
43;67;1/16;81/16;31;0;ornamentation;0;2;False;[monotonic_perfect_fifth_2_0_chords]
44;69;1/16;41/8;32;0;ornamentation;0;2;False;[monotonic_perfect_fifth_2_0_chords]
45;70;1/16;83/16;33;0;ornamentation;0;2;False;[monotonic_perfect_fifth_2_0_chords]
46;69;1/8;21/4;34;0;ornamentation;0;2;True;[monotonic_perfect_fifth_2_0_chords]
48;62;1/8;11/2;36;1;match;1;3;True;[non_monotonic]
49;69;1/8;11/2;36;0;match;0;3;True;[non_monotonic]
50;70;1/32;45/8;37;0;ornamentation;0;3;False;[non_monotonic]
51;69;1/32;181/32;38;0;ornamentation;0;3;False;[non_monotonic]
52;67;1/32;91/16;39;0;ornamentation;0;3;False;[non_monotonic]
53;69;1/32;183/32;40;0;ornamentation;0;3;False;[non_monotonic]
