note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
16;64;1/16;53/16;12;0;ornamentation;0;0;True
17;65;1/32;27/8;13;0;ornamentation;0;0;False
18;64;1/32;109/32;14;0;ornamentation;0;0;False
19;62;1/32;55/16;15;0;ornamentation;0;0;False
20;60;1/32;111/32;16;0;ornamentation;0;0;False
22;62;1/4;7/2;17;1;repetition;1;0;True
21;58;1/4;7/2;17;0;match;0;0;True
35;64;1/16;77/16;25;1;ornamentation;0;1;True
36;65;1/32;39/8;26;1;ornamentation;0;1;False
37;64;1/32;157/32;27;1;ornamentation;0;1;False
38;62;1/32;79/16;28;1;ornamentation;0;1;False
39;64;1/32;159/32;29;1;ornamentation;0;1;False
40;62;1/16;5;30;2;match;2;1;True
41;65;1/16;5;30;1;match;1;1;True
42;69;1/16;5;30;0;match;0;1;True
48;62;1/8;11/2;36;1;match;1;3;True
49;69;1/8;11/2;36;0;match;0;3;True
50;70;1/32;45/8;37;0;ornamentation;0;3;False
51;69;1/32;181/32;38;0;ornamentation;0;3;False
52;67;1/32;91/16;39;0;ornamentation;0;3;False
53;69;1/32;183/32;40;0;ornamentation;0;3;False
54;55;1/16;23/4;41;2;match;2;3;True
55;62;1/16;23/4;41;1;match;1;3;True
56;70;1/16;23/4;41;0;match;0;3;True
80;64;1/16;109/16;53;2;ornamentation;0;6;True
81;65;1/32;55/8;54;2;ornamentation;0;6;False
82;64;1/32;221/32;55;2;ornamentation;0;6;False
83;62;1/32;111/16;56;2;ornamentation;0;6;False
84;64;1/32;223/32;57;2;ornamentation;0;6;False
85;50;1/4;7;58;3;match;3;6;True
87;65;1/4;7;58;2;match;2;6;True
86;57;1/4;7;58;1;match;1;6;True
88;69;1/4;7;58;0;match;0;6;True
85;50;1/4;7;58;3;match;3;7;True
87;65;1/4;7;58;2;match;2;7;True
86;57;1/4;7;58;1;match;1;7;True
88;69;1/4;7;58;0;match;0;7;True
89;62;1/16;29/4;59;1;match;0;7;False
90;60;1/16;117/16;60;2;ornamentation;0;7;False
91;62;1/16;59/8;61;2;ornamentation;0;7;False
92;63;1/16;119/16;62;2;ornamentation;0;7;False
93;62;1/8;15/2;63;2;match;0;7;True
178;62;1/16;213/16;115;1;ornamentation;0;13;True
179;63;1/32;107/8;116;1;ornamentation;0;13;False
180;62;1/32;429/32;117;1;ornamentation;0;13;False
181;60;1/32;215/16;118;1;ornamentation;0;13;False
182;62;1/32;431/32;119;1;ornamentation;0;13;False
183;51;1/16;27/2;120;3;match;1;13;True
184;63;1/16;27/2;120;1;match;0;13;True
252;66;1/16;301/16;165;0;ornamentation;0;19;True
253;67;1/32;151/8;166;0;ornamentation;0;19;False
254;66;1/32;605/32;167;0;ornamentation;0;19;False
255;64;1/32;303/16;168;0;ornamentation;0;19;False
256;66;1/32;607/32;169;0;ornamentation;0;19;False
257;43;1/16;19;170;3;match;3;19;True
259;62;1/16;19;170;2;match;2;19;True
258;55;1/16;19;170;1;match;1;19;True
260;67;1/16;19;170;0;match;0;19;True
