note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
16;64;1/16;53/16;12;0;ornamentation;0;1;True;1;[monotonic_perfect_fifth_0_0]
17;65;1/32;27/8;13;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
18;64;1/32;109/32;14;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
19;62;1/32;55/16;15;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
20;60;1/32;111/32;16;0;ornamentation;0;1;False;1;[monotonic_perfect_fifth_0_0]
21;58;1/4;7/2;17;0;match;0;1;True;1;[monotonic_perfect_fifth_0_0]
49;69;1/8;11/2;36;0;match;0;4;True;4;[non_monotonic]
50;70;1/32;45/8;37;0;ornamentation;0;4;False;4;[non_monotonic]
51;69;1/32;181/32;38;0;ornamentation;0;4;False;4;[non_monotonic]
52;67;1/32;91/16;39;0;ornamentation;0;4;False;4;[non_monotonic]
53;69;1/32;183/32;40;0;ornamentation;0;4;False;4;[non_monotonic]
56;70;1/16;23/4;41;0;match;0;4;True;4;[non_monotonic]
53;69;1/32;183/32;40;0;ornamentation;0;5;True;5;[non_monotonic]
56;70;1/16;23/4;41;0;match;0;5;False;5;[non_monotonic]
57;69;1/16;93/16;42;0;ornamentation;0;5;False;5;[non_monotonic]
58;70;1/16;47/8;43;0;ornamentation;0;5;False;5;[non_monotonic]
59;72;1/16;95/16;44;0;ornamentation;0;5;False;5;[non_monotonic]
62;70;1/8;6;45;0;repetition;0;5;True;5;[non_monotonic]
158;69;1/32;391/32;101;0;ornamentation;0;7;True;7;[non_monotonic]
161;70;1/16;49/4;102;0;match;0;7;False;7;[non_monotonic]
162;69;1/16;197/16;103;0;ornamentation;0;7;False;7;[non_monotonic]
163;70;1/16;99/8;104;0;ornamentation;0;7;False;7;[non_monotonic]
164;72;1/16;199/16;105;0;ornamentation;0;7;False;7;[non_monotonic]
166;70;3/16;25/2;106;0;repetition;0;7;True;7;[non_monotonic]
252;66;1/16;301/16;165;0;ornamentation;0;10;True;10;[non_monotonic]
253;67;1/32;151/8;166;0;ornamentation;0;10;False;10;[non_monotonic]
254;66;1/32;605/32;167;0;ornamentation;0;10;False;10;[non_monotonic]
255;64;1/32;303/16;168;0;ornamentation;0;10;False;10;[non_monotonic]
256;66;1/32;607/32;169;0;ornamentation;0;10;False;10;[non_monotonic]
260;67;1/16;19;170;0;match;0;10;True;10;[non_monotonic]
282;66;1/16;333/16;190;0;ornamentation;0;13;True;13;[non_monotonic]
283;67;1/32;167/8;191;0;ornamentation;0;13;False;13;[non_monotonic]
284;66;1/32;669/32;192;0;ornamentation;0;13;False;13;[non_monotonic]
285;64;1/32;335/16;193;0;ornamentation;0;13;False;13;[non_monotonic]
286;66;1/32;671/32;194;0;ornamentation;0;13;False;13;[non_monotonic]
288;67;1/4;21;195;0;match;0;13;True;13;[non_monotonic]
541;66;1/16;685/16;363;0;ornamentation;0;23;True;23;[non_monotonic]
543;67;1/32;343/8;364;0;adaptation;0;23;False;23;[non_monotonic]
544;66;1/32;1373/32;365;0;ornamentation;0;23;False;23;[non_monotonic]
545;64;1/32;687/16;366;0;ornamentation;0;23;False;23;[non_monotonic]
546;66;1/32;1375/32;367;0;ornamentation;0;23;False;23;[non_monotonic]
550;67;1/16;43;368;0;match;0;23;True;23;[non_monotonic]
593;66;1/16;733/16;395;0;ornamentation;0;25;True;25;[non_monotonic]
594;67;1/32;367/8;396;0;adaptation;0;25;False;25;[non_monotonic]
595;66;1/32;1469/32;397;0;ornamentation;0;25;False;25;[non_monotonic]
596;64;1/32;735/16;398;0;repetition;0;25;False;25;[non_monotonic]
597;66;1/32;1471/32;399;0;ornamentation;0;25;False;25;[non_monotonic]
601;67;1/16;46;400;0;match;0;25;True;25;[non_monotonic]
645;66;1/16;785/16;431;0;ornamentation;0;29;True;29;[non_monotonic]
646;67;1/32;393/8;432;0;ornamentation;0;29;False;29;[non_monotonic]
647;66;1/32;1573/32;433;0;ornamentation;0;29;False;29;[non_monotonic]
648;64;1/32;787/16;434;0;ornamentation;0;29;False;29;[non_monotonic]
649;66;1/32;1575/32;435;0;ornamentation;0;29;False;29;[non_monotonic]
651;67;1/4;197/4;436;0;match;0;29;True;29;[non_monotonic]
651;67;1/4;197/4;436;0;match;0;30;True;30;[non_monotonic]
653;64;1/16;99/2;437;0;match;0;30;False;30;[non_monotonic]
654;62;1/16;793/16;438;0;ornamentation;0;30;False;30;[non_monotonic]
655;64;1/16;397/8;439;0;ornamentation;0;30;False;30;[non_monotonic]
656;65;1/16;795/16;440;0;ornamentation;0;30;False;30;[non_monotonic]
657;64;1/8;199/4;441;0;repetition;0;30;True;30;[non_monotonic]
700;67;1/8;429/8;470;0;match;0;32;True;32;[non_monotonic]
702;69;1/16;215/4;471;0;match;0;32;False;32;[non_monotonic]
703;67;1/16;861/16;472;0;ornamentation;0;32;False;32;[non_monotonic]
704;69;1/16;431/8;473;0;ornamentation;0;32;False;32;[non_monotonic]
705;70;1/16;863/16;474;0;ornamentation;0;32;False;32;[non_monotonic]
707;69;1/8;54;475;0;repetition;0;32;True;32;[non_monotonic]
717;66;1/16;877/16;483;0;ornamentation;0;35;True;35;[non_monotonic]
718;67;1/32;439/8;484;0;ornamentation;0;35;False;35;[non_monotonic]
719;66;1/32;1757/32;485;0;ornamentation;0;35;False;35;[non_monotonic]
720;64;1/32;879/16;486;0;ornamentation;0;35;False;35;[non_monotonic]
721;66;1/32;1759/32;487;0;ornamentation;0;35;False;35;[non_monotonic]
723;67;1/16;55;488;0;match;0;35;True;35;[non_monotonic]
1172;67;1/4;355/4;765;0;match;0;44;True;44;[non_monotonic]
1176;65;1/16;89;766;0;match;0;44;False;44;[non_monotonic]
1177;64;1/16;1425/16;767;0;ornamentation;0;44;False;44;[non_monotonic]
