note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
155,60,1/4,149/4,82,1,match,0,0,True
156,50,1/16,75/2,83,3,match,2,0,False
157,62,1/16,75/2,83,1,match,1,0,False
158,65,1/16,75/2,83,0,match,0,0,False
159,64,1/16,601/16,84,0,ornamentation,0,0,False
160,65,1/16,301/8,85,0,ornamentation,0,0,False
161,67,1/16,603/16,86,0,ornamentation,0,0,False
162,69,1/16,151/4,87,0,ornamentation,0,0,False
163,65,1/16,605/16,88,0,ornamentation,0,0,False
164,67,1/16,303/8,89,0,ornamentation,0,0,False
165,69,1/16,607/16,90,0,ornamentation,0,0,False
166,55,1/16,38,91,3,match,2,0,False
167,62,1/16,38,91,1,repetition,1,0,False
168,70,1/16,38,91,0,repetition,0,0,False
169,69,1/16,609/16,92,0,ornamentation,0,0,False
170,67,1/16,305/8,93,0,ornamentation,0,0,False
171,69,1/16,611/16,94,0,ornamentation,0,0,False
172,62,1/16,153/4,95,2,match,1,0,False
173,70,1/16,153/4,95,0,repetition,0,0,False
174,67,1/16,613/16,96,0,ornamentation,0,0,False
175,69,1/16,307/8,97,0,ornamentation,0,0,False
176,70,1/16,615/16,98,0,ornamentation,0,0,False
177,53,1/4,77/2,99,3,match,1,0,True
178,69,1/4,77/2,99,0,match,0,0,True
198,50,1/4,81/2,110,3,match,3,1,True
199,58,1/4,81/2,110,2,match,2,1,True
199,58,1/4,81/2,110,1,match,1,1,True
200,65,1/4,81/2,110,0,match,0,1,True
201,46,1/8,163/4,111,3,match,1,1,False
202,62,1/8,163/4,111,0,match,0,1,False
203,48,1/8,327/8,112,3,match,1,1,False
204,57,1/8,327/8,112,1,match,0,1,False
205,50,1/8,41,113,3,match,3,1,False
207,57,1/8,41,113,2,match,2,1,False
206,53,1/8,41,113,1,match,1,1,False
208,65,1/8,41,113,0,match,0,1,False
209,52,1/8,329/8,114,3,ficta,0,1,False
210,53,1/8,165/4,115,3,match,1,1,False
210,53,1/8,165/4,115,2,match,0,1,False
211,55,1/8,331/8,116,2,match,1,1,False
212,64,1/8,331/8,116,0,match,0,1,False
213,57,1/8,83/2,117,2,match,2,1,False
213,57,1/8,83/2,117,1,match,1,1,False
214,60,1/8,83/2,117,0,match,0,1,False
215,58,1/8,333/8,118,2,match,0,1,False
216,48,1/8,167/4,119,3,match,2,1,False
217,60,1/8,167/4,119,2,match,1,1,False
217,60,1/8,167/4,119,0,match,0,1,False
218,57,1/8,335/8,120,1,match,0,1,False
219,51,1/8,42,121,3,match,2,1,False
220,55,1/8,42,121,1,match,1,1,False
221,67,1/8,42,121,0,match,0,1,False
223,60,1/8,337/8,122,2,repetition,1,1,False
222,57,1/8,337/8,122,1,match,0,1,False
224,55,1/8,169/4,123,2,match,1,1,False
225,58,1/8,169/4,123,1,match,0,1,False
226,60,1/8,339/8,124,1,match,1,1,False
227,67,1/8,339/8,124,0,match,0,1,False
228,50,1/4,85/2,125,3,match,3,1,True
229,58,1/4,85/2,125,2,match,2,1,True
230,62,1/4,85/2,125,1,match,1,1,True
231,65,1/4,85/2,125,0,match,0,1,True
228,50,1/4,85/2,125,3,match,3,2,True
229,58,1/4,85/2,125,2,match,2,2,True
230,62,1/4,85/2,125,1,match,1,2,True
231,65,1/4,85/2,125,0,match,0,2,True
232,46,1/8,171/4,126,3,match,2,2,False
