note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
381,55,1/8,219/4,216,3,match,2,0,True
386,54,1/16,883/16,219,3,ornamentation,0,0,False
387,55,1/16,221/4,220,3,repetition,0,0,False
388,54,1/16,885/16,221,3,ornamentation,0,0,False
389,55,1/32,443/8,222,3,ornamentation,0,0,True
388,54,1/16,885/16,221,3,ornamentation,0,1,True
389,55,1/32,443/8,222,3,ornamentation,0,1,False
390,54,1/32,1773/32,223,3,ornamentation,0,1,False
391,52,1/32,887/16,224,3,ornamentation,0,1,False
392,54,1/32,1775/32,225,3,ornamentation,0,1,False
393,55,1/16,111/2,226,3,match,1,1,True
392,54,1/32,1775/32,225,3,ornamentation,0,2,True
393,55,1/16,111/2,226,3,match,1,2,False
401,55,1/16,56,234,3,repetition,1,2,False
451,65,1/16,469/8,276,3,ornamentation,0,2,False
452,63,1/16,939/16,277,3,ornamentation,0,2,False
453,62,1/16,235/4,278,3,ornamentation,0,2,False
454,60,1/16,941/16,279,3,ornamentation,0,2,False
455,58,1/16,471/8,280,3,ornamentation,0,2,False
456,57,1/16,943/16,281,3,ornamentation,0,2,False
457,55,1/16,59,282,3,match,1,2,False
467,55,1/4,239/4,291,3,match,0,2,True
789,52,3/16,81,512,3,match,1,3,True
799,50,1/16,163/2,521,3,match,2,3,False
809,50,1/16,82,529,3,repetition,2,3,False
839,59,1/16,1337/16,553,3,ornamentation,0,3,False
840,60,1/16,669/8,554,3,ornamentation,0,3,False
841,62,1/16,1339/16,555,3,ornamentation,0,3,False
842,60,1/16,335/4,556,3,ornamentation,0,3,False
843,58,1/16,1341/16,557,3,ornamentation,0,3,False
844,57,1/16,671/8,558,3,ornamentation,0,3,False
845,55,1/16,1343/16,559,3,ornamentation,0,3,False
846,53,1/16,84,560,3,adaptation,1,3,False
848,52,1/16,1345/16,561,3,ornamentation,0,3,False
849,50,1/16,673/8,562,3,ornamentation,0,3,False
850,48,1/16,1347/16,563,3,ornamentation,0,3,False
851,50,1/4,337/4,564,3,match,3,3,True
992,48,1/4,94,645,3,match,1,4,True
995,48,1/8,755/8,647,3,ornamentation,0,4,False
996,43,1/4,189/2,648,3,match,1,4,True
1207,43,1/16,111,816,3,match,1,5,True
1217,45,1/32,1787/16,825,3,ornamentation,0,5,False
1218,43,1/32,3575/32,826,3,ornamentation,0,5,False
1219,46,1/16,447/4,827,3,adaptation,0,5,True
1218,43,1/32,3575/32,826,3,ornamentation,0,6,True
1219,46,1/16,447/4,827,3,adaptation,0,6,False
1220,45,1/16,1789/16,828,3,ornamentation,0,6,False
1221,46,1/32,895/8,829,3,ornamentation,0,6,True
1220,45,1/16,1789/16,828,3,ornamentation,0,7,True
1221,46,1/32,895/8,829,3,ornamentation,0,7,False
1222,45,1/32,3581/32,830,3,ornamentation,0,7,False
1223,43,1/32,1791/16,831,3,ornamentation,0,7,False
1224,45,1/32,3583/32,832,3,ornamentation,0,7,False
1225,46,3/16,112,833,3,match,0,7,True
1235,50,1/16,225/2,842,3,match,1,8,True
1245,52,1/32,1811/16,851,3,ornamentation,0,8,False
1246,50,1/32,3623/32,852,3,ornamentation,0,8,False
1247,53,1/16,453/4,853,3,adaptation,0,8,True
1246,50,1/32,3623/32,852,3,ornamentation,0,9,True
1247,53,1/16,453/4,853,3,adaptation,0,9,False
1248,52,1/16,1813/16,854,3,ornamentation,0,9,False
1249,53,1/32,907/8,855,3,ornamentation,0,9,True
1248,52,1/16,1813/16,854,3,ornamentation,0,10,True
1249,53,1/32,907/8,855,3,ornamentation,0,10,False
1250,52,1/32,3629/32,856,3,ornamentation,0,10,False
1251,50,1/32,1815/16,857,3,ornamentation,0,10,False
1252,52,1/32,3631/32,858,3,ornamentation,0,10,False
1253,53,1/16,227/2,859,3,match,0,10,True
1252,52,1/32,3631/32,858,3,ornamentation,0,11,True
1253,53,1/16,227/2,859,3,match,0,11,False
1254,52,1/16,1817/16,860,3,ornamentation,0,11,False
1255,53,1/16,909/8,861,3,ornamentation,0,11,False
1256,55,1/16,1819/16,862,3,ornamentation,0,11,False
1257,53,1/16,455/4,863,3,repetition,1,11,False
1259,51,1/16,1821/16,864,3,ornamentation,0,11,False
1260,50,1/16,911/8,865,3,ornamentation,0,11,False
1261,48,1/16,1823/16,866,3,ornamentation,0,11,False
1262,46,1/16,114,867,3,match,1,11,False
1275,53,1/16,459/4,879,3,match,1,11,False
1280,50,3/16,115,883,3,match,1,11,True
