output_csv,sequence_length,count,sequence_ids
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,2,18,"2,3,5,9,10,12,19,27,28,31,32,34,38,39,45,46,50,51"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,3,8,"0,7,15,24,29,36,43,48"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,4,21,"1,4,6,8,11,13,14,16,20,21,25,26,30,33,37,40,41,44,47,49,52"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,6,2,"17,22"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,8,2,"35,42"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,10,1,23
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_abtab.csv,13,1,18
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_tab_abtab_fourstep.csv,4,21,"1,4,6,8,11,13,14,16,20,21,25,26,30,33,37,40,41,44,47,49,52"
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_tab_abtab_non_chord.csv,2,15,"2,3,5,9,19,27,28,31,32,34,38,45,46,50,51"
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_tab_abtab_non_chord.csv,3,2,"0,29"
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_tab_abtab_non_chord.csv,4,15,"1,4,8,11,16,20,25,30,33,37,40,44,47,49,52"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_raw.csv,4,32,"0,1,2,4,5,6,7,8,9,10,11,14,15,18,19,20,22,23,24,25,26,28,30,31,32,33,35,36,37,39,40,43"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_raw.csv,6,5,"3,12,16,27,38"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_raw.csv,8,3,"29,34,41"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_raw.csv,9,1,21
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_raw.csv,10,2,"17,42"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_tab_raw.csv,13,1,13
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_tab_raw_fourstep.csv,4,22,"0,1,5,6,8,9,10,11,14,15,18,19,23,24,25,30,32,33,35,37,39,43"
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_tab_raw_non_chord.csv,4,16,"0,1,6,8,11,14,18,24,25,30,32,35,36,37,39,43"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-4.csv,3,2,"3,4"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-4.csv,4,3,"0,1,2"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-4_fourstep.csv,4,3,"0,1,2"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-2.csv,2,6,"2,3,5,8,9,10"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-2.csv,3,2,"0,6"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-2.csv,4,3,"1,4,7"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-2_fourstep.csv,4,3,"1,4,7"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0.csv,2,3,"1,7,8"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0.csv,3,1,5
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0.csv,4,3,"2,6,9"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0.csv,5,1,0
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0.csv,6,1,3
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0.csv,10,1,4
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-0_fourstep.csv,4,3,"2,6,9"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-1.csv,2,10,"0,1,5,6,7,8,10,12,15,16"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-1.csv,4,6,"2,9,11,13,14,17"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-1.csv,5,1,4
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-1.csv,13,1,3
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-1_fourstep.csv,4,6,"2,9,11,13,14,17"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-3.csv,1,1,2
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-3.csv,3,5,"0,4,6,9,11"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-3.csv,4,7,"1,3,5,7,8,10,12"
output/1275_13_faulte_d_argent/voices/1275_13_faulte_d_argent_voice-3_fourstep.csv,4,7,"1,3,5,7,8,10,12"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,1,1,46
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,2,19,"7,8,10,13,14,15,17,23,24,26,27,31,32,33,34,36,38,41,42"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,3,10,"3,4,5,11,21,44,48,50,53,55"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,4,22,"0,1,2,6,9,12,18,22,25,28,35,37,39,40,43,45,47,49,51,52,54,56"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,5,2,"16,30"
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,6,1,19
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,10,1,20
output/1275_13_faulte_d_argent/1275_13_faulte_d_argent_voices_merged.csv,13,1,29
output/1275_13_faulte_d_argent/fourstep/1275_13_faulte_d_argent_voices_merged_fourstep.csv,4,22,"0,1,2,6,9,12,18,22,25,28,35,37,39,40,43,45,47,49,51,52,54,56"
