note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
221,69,1/16,73/4,132,0,match,0,16,True,0
229,70,1/8,37/2,138,0,match,0,16,False,0
230,67,1/8,149/8,139,0,ornamentation,0,16,False,0
232,70,1/8,75/4,140,0,repetition,0,16,False,0
233,69,1/8,151/8,141,0,match,0,16,False,0
234,67,1/8,19,142,0,match,0,16,False,0
237,65,1/4,77/4,144,0,match,0,16,True,0
280,70,3/16,23,170,0,match,0,17,True,1
281,67,1/32,371/16,171,0,ornamentation,0,17,False,1
282,69,1/32,743/32,172,0,ornamentation,0,17,False,1
283,70,1/16,93/4,173,0,ornamentation,0,17,True,1
282,69,1/32,743/32,172,0,ornamentation,0,18,True,2
283,70,1/16,93/4,173,0,ornamentation,0,18,False,2
284,69,1/16,373/16,174,0,ornamentation,0,18,False,2
285,70,1/16,187/8,175,0,repetition,0,18,False,2
286,72,1/16,375/16,176,0,ornamentation,0,18,False,2
289,74,1/4,47/2,177,0,match,0,18,True,2
344,62,1/4,115/4,204,0,match,0,19,True,3
346,60,1/8,29,205,0,match,0,19,False,3
348,62,1/8,233/8,206,0,ornamentation,0,19,False,3
349,60,1/8,117/4,207,0,ornamentation,0,19,False,3
350,62,1/8,235/8,208,0,match,0,19,False,3
354,64,1/8,59/2,209,0,match,0,19,False,3
356,65,1/8,237/8,210,0,match,0,19,False,3
358,67,1/4,119/4,211,0,match,0,19,True,3
358,67,1/4,119/4,211,0,match,0,20,True,4
359,60,1/8,30,212,0,match,0,20,False,4
361,62,1/8,241/8,213,0,match,0,20,False,4
363,64,1/8,121/4,214,0,match,0,20,False,4
365,65,1/8,243/8,215,0,match,0,20,False,4
368,67,1/8,61/2,216,0,match,0,20,False,4
369,69,1/8,245/8,217,0,match,0,20,False,4
372,70,1/8,123/4,218,0,match,0,20,False,4
373,72,1/8,247/8,219,0,ornamentation,0,20,False,4
374,70,1/8,31,220,0,ornamentation,0,20,False,4
377,69,1/8,249/8,221,0,match,0,20,False,4
380,69,1/4,125/4,222,0,match,0,20,True,4
380,69,1/4,125/4,222,0,match,0,21,True,5
382,67,1/16,507/16,224,0,ornamentation,0,21,False,5
384,69,1/16,127/4,225,0,repetition,0,21,False,5
385,67,1/16,509/16,226,0,ornamentation,0,21,False,5
386,69,1/32,255/8,227,0,ornamentation,0,21,True,5
385,67,1/16,509/16,226,0,ornamentation,0,22,True,6
386,69,1/32,255/8,227,0,ornamentation,0,22,False,6
387,67,1/32,1021/32,228,0,ornamentation,0,22,False,6
388,65,1/32,511/16,229,0,ornamentation,0,22,False,6
389,67,1/32,1023/32,230,0,ornamentation,0,22,False,6
392,69,1/16,32,231,0,match,0,22,True,6
884,62,1/8,277/4,498,0,match,0,23,True,7
889,61,1/32,1115/16,501,0,ornamentation,0,23,False,7
890,59,1/32,2231/32,502,0,ornamentation,0,23,False,7
891,62,1/16,279/4,503,0,repetition,0,23,True,7
890,59,1/32,2231/32,502,0,ornamentation,0,24,True,8
891,62,1/16,279/4,503,0,repetition,0,24,False,8
892,61,1/16,1117/16,504,0,ornamentation,0,24,False,8
893,62,1/32,559/8,505,0,ornamentation,0,24,True,8
892,61,1/16,1117/16,504,0,ornamentation,0,25,True,9
893,62,1/32,559/8,505,0,ornamentation,0,25,False,9
894,61,1/32,2237/32,506,0,ornamentation,0,25,False,9
895,59,1/32,1119/16,507,0,ornamentation,0,25,False,9
896,61,1/32,2239/32,508,0,ornamentation,0,25,False,9
900,62,1/2,70,509,0,match,0,25,True,9
112,62,1/4,41/4,65,1,match,0,26,True,0
116,61,1/16,85/8,67,1,ornamentation,0,26,False,0
117,59,1/16,171/16,68,1,ornamentation,0,26,False,0
