note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
282;69;1/32;743/32;172;0;ornamentation;0;2;True;[non_monotonic]
283;70;1/16;93/4;173;0;ornamentation;0;2;False;[non_monotonic]
284;69;1/16;373/16;174;0;ornamentation;0;2;False;[non_monotonic]
285;70;1/16;187/8;175;0;repetition;0;2;False;[non_monotonic]
286;72;1/16;375/16;176;0;ornamentation;0;2;False;[non_monotonic]
289;74;1/4;47/2;177;0;match;0;2;True;[non_monotonic]
385;67;1/16;509/16;226;0;ornamentation;0;6;True;[non_monotonic]
386;69;1/32;255/8;227;0;ornamentation;0;6;False;[non_monotonic]
387;67;1/32;1021/32;228;0;ornamentation;0;6;False;[non_monotonic]
388;65;1/32;511/16;229;0;ornamentation;0;6;False;[non_monotonic]
389;67;1/32;1023/32;230;0;ornamentation;0;6;False;[non_monotonic]
392;69;1/16;32;231;0;match;0;6;True;[non_monotonic]
892;61;1/16;1117/16;504;0;ornamentation;0;9;True;[non_monotonic]
893;62;1/32;559/8;505;0;ornamentation;0;9;False;[non_monotonic]
894;61;1/32;2237/32;506;0;ornamentation;0;9;False;[non_monotonic]
895;59;1/32;1119/16;507;0;ornamentation;0;9;False;[non_monotonic]
896;61;1/32;2239/32;508;0;ornamentation;0;9;False;[non_monotonic]
900;62;1/2;70;509;0;match;0;9;True;[non_monotonic]
