note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
24,55,1/4,15/4,17,2,match,0,0,True
26,54,1/16,67/16,19,2,ornamentation,0,0,False
27,55,1/16,17/4,20,2,repetition,0,0,False
28,54,1/16,69/16,21,2,ornamentation,0,0,False
29,55,1/32,35/8,22,2,ornamentation,0,0,True
28,54,1/16,69/16,21,2,ornamentation,0,1,True
29,55,1/32,35/8,22,2,ornamentation,0,1,False
30,54,1/32,141/32,23,2,ornamentation,0,1,False
31,52,1/32,71/16,24,2,ornamentation,0,1,False
32,54,1/32,143/32,25,2,ornamentation,0,1,False
34,55,1/4,9/2,26,2,match,0,1,True
43,62,3/16,11/2,31,2,match,1,2,True
45,64,1/32,91/16,32,2,ornamentation,0,2,False
46,62,1/32,183/32,33,2,ornamentation,0,2,False
47,65,1/16,23/4,34,2,adaptation,0,2,True
46,62,1/32,183/32,33,2,ornamentation,0,3,True
47,65,1/16,23/4,34,2,adaptation,0,3,False
48,64,1/16,93/16,35,2,ornamentation,0,3,False
49,65,1/32,47/8,36,2,ornamentation,0,3,True
48,64,1/16,93/16,35,2,ornamentation,0,4,True
49,65,1/32,47/8,36,2,ornamentation,0,4,False
50,64,1/32,189/32,37,2,ornamentation,0,4,False
51,62,1/32,95/16,38,2,ornamentation,0,4,False
52,64,1/32,191/32,39,2,ornamentation,0,4,False
54,65,1/4,6,40,2,match,2,4,True
174,55,3/16,15,102,2,match,1,5,True
176,61,1/32,243/16,103,2,ornamentation,0,5,False
177,59,1/32,487/32,104,2,ornamentation,0,5,False
178,57,1/16,61/4,105,2,match,1,5,True
562,55,1/4,187/4,316,2,match,0,6,True
564,54,1/16,755/16,318,2,ornamentation,0,6,False
565,55,1/16,189/4,319,2,repetition,0,6,False
566,54,1/16,757/16,320,2,ornamentation,0,6,False
567,55,1/32,379/8,321,2,ornamentation,0,6,True
566,54,1/16,757/16,320,2,ornamentation,0,7,True
567,55,1/32,379/8,321,2,ornamentation,0,7,False
568,54,1/32,1517/32,322,2,ornamentation,0,7,False
569,52,1/32,759/16,323,2,ornamentation,0,7,False
570,54,1/32,1519/32,324,2,ornamentation,0,7,False
572,55,1/4,95/2,325,2,match,1,7,True
665,50,1/8,109/2,372,2,repetition,0,8,True
677,55,1/16,221/4,380,2,match,1,8,False
681,57,1/16,887/16,383,2,ornamentation,0,8,False
683,58,1/4,111/2,384,2,match,1,8,True
715,55,3/16,58,403,2,match,1,9,True
717,61,1/32,931/16,404,2,ornamentation,0,9,False
718,59,1/32,1863/32,405,2,ornamentation,0,9,False
719,57,1/16,233/4,406,2,match,1,9,True
726,50,1/4,117/2,412,2,match,2,10,True
740,55,1/16,239/4,422,2,match,1,10,False
744,57,1/16,959/16,425,2,ornamentation,0,10,False
746,58,1/4,60,426,2,match,0,10,True
