note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
305,60,1/2,151/2,182,0,match,0,0,True
306,50,1/4,76,183,1,match,1,0,False
307,59,1/4,76,183,0,match,0,0,False
308,57,1/4,305/4,184,0,ornamentation,0,0,False
309,62,1/2,153/2,185,0,adaptation,0,0,True
310,52,1/4,77,186,1,adaptation,0,1,True
311,61,1/8,309/4,187,0,ornamentation,0,1,False
312,59,1/8,619/8,188,0,ornamentation,0,1,False
313,62,1/4,155/2,189,0,ornamentation,0,1,True
312,59,1/8,619/8,188,0,ornamentation,0,2,True
313,62,1/4,155/2,189,0,ornamentation,0,2,False
314,61,1/4,311/4,190,0,ornamentation,0,2,False
315,50,1,78,191,1,repetition,1,2,True
316,62,1,78,191,0,adaptation,0,2,True
