note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
3,57,1/2,35/2,3,1,match,0,0,True
4,55,1/4,37/2,4,1,match,0,0,False
5,53,1/4,75/4,5,1,match,0,0,False
6,52,1/4,19,6,1,match,0,0,False
7,50,1/4,77/4,7,1,ornamentation,0,0,False
8,52,1/2,39/2,8,1,repetition,0,0,True
14,52,1/2,22,13,1,repetition,0,1,True
15,53,1/4,45/2,14,1,match,1,1,False
16,62,1/4,45/2,14,0,match,0,1,False
17,60,1/4,91/4,15,0,match,0,1,False
18,55,1/4,23,16,1,match,1,1,False
19,59,1/4,23,16,0,match,0,1,False
20,57,1/4,93/4,17,0,ornamentation,0,1,False
21,59,1/2,47/2,18,0,repetition,0,1,True
22,57,3/4,24,19,1,match,0,2,True
23,55,1/4,99/4,20,1,ornamentation,0,2,False
24,52,3/4,25,21,1,match,1,2,True
25,59,3/4,25,21,0,match,0,2,True
31,53,1/2,27,25,1,match,1,3,True
32,62,1/2,27,25,0,match,0,3,True
33,62,1/4,55/2,26,1,ornamentation,0,3,False
34,55,1/4,111/4,27,1,ornamentation,0,3,False
35,52,1/4,28,28,1,match,1,3,False
36,64,1/4,28,28,0,match,0,3,False
37,50,1/4,113/4,29,1,ornamentation,0,3,False
38,52,1/2,57/2,30,1,repetition,0,3,True
77,47,1/4,39,58,1,match,0,4,True
78,56,1/8,157/4,59,0,ornamentation,0,4,False
79,54,1/8,315/8,60,0,ornamentation,0,4,False
80,57,1/4,79/2,61,0,repetition,0,4,True
79,54,1/8,315/8,60,0,ornamentation,0,5,True
80,57,1/4,79/2,61,0,repetition,0,5,False
81,56,1/4,159/4,62,0,ornamentation,0,5,False
82,45,1,40,63,1,match,1,5,True
83,57,1,40,63,0,match,0,5,True
159,53,1/2,62,114,1,match,1,6,True
158,50,1/2,62,114,0,match,0,6,True
160,50,1/4,125/2,115,1,match,0,6,False
161,53,1/4,251/4,116,0,match,0,6,False
162,52,1/4,63,117,0,match,0,6,False
163,50,1/4,253/4,118,1,ornamentation,0,6,False
164,49,1/2,127/2,119,1,match,0,6,True
190,59,1/2,72,136,1,match,1,7,True
189,55,1/2,72,136,0,match,0,7,True
191,55,1/4,145/2,137,1,match,0,7,False
192,59,1/4,291/4,138,0,match,0,7,False
193,57,1/4,73,139,0,match,0,7,False
194,55,1/4,293/4,140,1,ornamentation,0,7,False
195,54,1/2,147/2,141,1,match,0,7,True
259,53,1/2,92,183,1,match,1,8,True
258,50,1/2,92,183,0,match,0,8,True
260,50,1/4,185/2,184,1,match,0,8,False
261,53,1/4,371/4,185,0,match,0,8,False
262,52,1/4,93,186,0,match,0,8,False
263,50,1/4,373/4,187,1,ornamentation,0,8,False
264,49,1/2,187/2,188,1,match,0,8,True
