output_csv,sequence_length,count,sequence_ids
output/3638_061_lauda_sion_gombert_T/3638_061_lauda_sion_gombert_T_tab_abtab.csv,1,3,"18,30,31"
output/3638_061_lauda_sion_gombert_T/3638_061_lauda_sion_gombert_T_tab_abtab.csv,2,23,"1,3,4,5,6,8,9,10,11,12,13,14,16,17,19,21,22,23,24,26,27,28,29"
output/3638_061_lauda_sion_gombert_T/3638_061_lauda_sion_gombert_T_tab_abtab.csv,3,1,15
output/3638_061_lauda_sion_gombert_T/3638_061_lauda_sion_gombert_T_tab_abtab.csv,4,4,"2,7,20,25"
output/3638_061_lauda_sion_gombert_T/3638_061_lauda_sion_gombert_T_tab_abtab.csv,6,1,0
output/3638_061_lauda_sion_gombert_T/fourstep/3638_061_lauda_sion_gombert_T_tab_abtab_fourstep.csv,4,2,"20,25"
output/3638_061_lauda_sion_gombert_T/fourstep/3638_061_lauda_sion_gombert_T_tab_abtab_non_chord.csv,1,3,"18,30,31"
output/3638_061_lauda_sion_gombert_T/fourstep/3638_061_lauda_sion_gombert_T_tab_abtab_non_chord.csv,2,3,"3,9,10"
output/3638_061_lauda_sion_gombert_T/voices/3638_061_lauda_sion_gombert_T_voice-0.csv,2,1,0
output/3638_061_lauda_sion_gombert_T/3638_061_lauda_sion_gombert_T_voices_merged.csv,2,1,0
