note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
2,50,1,2,2,3,match,2,0,True
3,65,1,2,2,1,match,1,0,True
4,69,1,2,2,0,match,0,0,True
5,50,1/4,3,3,3,repetition,2,0,False
6,65,1/4,3,3,1,match,1,0,False
7,69,1/4,3,3,0,repetition,0,0,False
8,52,1/4,13/4,4,3,ornamentation,0,0,False
9,53,1/4,7/2,5,3,ornamentation,0,0,False
10,55,1/4,15/4,6,3,ornamentation,0,0,False
11,57,1/4,4,7,3,match,2,0,False
12,64,1/4,4,7,1,match,1,0,False
13,72,1/4,4,7,0,match,0,0,False
14,62,1/4,17/4,8,1,ornamentation,0,0,False
15,64,1/2,9/2,9,1,repetition,0,0,True
47,62,1/2,25/2,24,3,match,2,1,True
47,62,1/2,25/2,24,1,match,1,1,True
48,65,1/2,25/2,24,0,match,0,1,True
49,57,1/4,13,25,3,match,1,1,False
50,64,1/4,13,25,0,match,0,1,False
51,62,1/4,53/4,26,1,ornamentation,0,1,False
52,57,1/2,27/2,27,3,repetition,2,1,True
53,61,1/2,27/2,27,1,match,1,1,True
54,64,1/2,27/2,27,0,repetition,0,1,True
81,50,1/2,20,38,4,match,2,2,True
82,62,1/2,20,38,3,match,1,2,True
83,71,1/2,20,38,0,match,0,2,True
84,62,1/4,41/2,39,3,repetition,2,2,False
85,65,1/4,41/2,39,1,repetition,1,2,False
86,69,1/4,41/2,39,0,match,0,2,False
87,60,1/4,83/4,40,3,ornamentation,0,2,False
88,52,1/4,21,41,4,match,2,2,False
89,59,1/4,21,41,3,match,1,2,False
90,64,1/4,21,41,1,match,0,2,False
91,69,1/4,85/4,42,0,ornamentation,0,2,False
92,68,1/2,43/2,43,0,match,0,2,True
105,57,1/2,25,47,3,match,3,3,True
106,60,1/2,25,47,2,match,2,3,True
107,64,1/2,25,47,1,match,1,3,True
108,69,1/2,25,47,0,repetition,0,3,True
109,62,1/4,51/2,48,2,adaptation,0,3,False
110,60,1/4,103/4,49,2,ornamentation,0,3,False
111,55,1/2,26,50,3,match,2,3,True
112,59,1/2,26,50,2,match,1,3,True
113,62,1/2,26,50,1,match,0,3,True
120,52,1/2,55/2,54,4,match,2,4,True
121,55,1/2,55/2,54,2,repetition,1,4,True
122,59,1/2,55/2,54,1,match,0,4,True
123,50,1/4,28,55,4,match,2,4,False
124,53,1/4,28,55,3,match,1,4,False
125,74,1/4,28,55,0,match,0,4,False
126,57,1/4,113/4,56,1,ornamentation,0,4,False
127,48,1/2,57/2,57,4,match,2,4,True
128,52,1/2,57/2,57,3,match,1,4,True
129,57,1/2,57/2,57,1,match,0,4,True
127,48,1/2,57/2,57,4,match,2,5,True
128,52,1/2,57/2,57,3,match,1,5,True
129,57,1/2,57/2,57,1,match,0,5,True
130,47,1/4,29,58,4,match,3,5,False
131,59,1/4,29,58,2,match,2,5,False
132,62,1/4,29,58,1,adaptation,1,5,False
133,74,1/4,29,58,0,match,0,5,False
134,57,1/4,117/4,59,1,ornamentation,0,5,False
135,56,1/2,59/2,60,1,match,0,5,True
153,62,1/2,65/2,68,1,match,0,6,True
154,45,1/4,33,69,4,match,2,6,False
155,57,1/4,33,69,2,match,1,6,False
156,64,1/4,33,69,0,match,0,6,False
157,62,1/4,133/4,70,1,ornamentation,0,6,False
158,61,1/2,67/2,71,1,match,1,6,True
159,69,1/2,67/2,71,0,match,0,6,True
158,61,1/2,67/2,71,1,match,1,7,True
159,69,1/2,67/2,71,0,match,0,7,True
160,50,1/4,34,72,4,match,2,7,False
161,57,1/4,34,72,3,match,1,7,False
162,62,1/4,34,72,1,match,0,7,False
163,67,1/4,137/4,73,1,ornamentation,0,7,False
164,65,1/4,69/2,74,1,ornamentation,0,7,False
165,64,1/4,139/4,75,1,adaptation,0,7,False
167,57,1/2,35,76,3,match,2,7,True
166,50,1/2,35,76,2,match,1,7,True
168,65,1/2,35,76,0,match,0,7,True
169,48,1/2,71/2,77,4,match,2,8,True
170,52,1/2,71/2,77,2,match,1,8,True
171,64,1/2,71/2,77,0,match,0,8,True
172,46,1/4,36,78,4,match,2,8,False
174,58,1/4,36,78,3,match,1,8,False
173,53,1/4,36,78,2,match,0,8,False
175,62,1/4,145/4,79,0,ornamentation,0,8,False
176,43,1/2,73/2,80,4,match,3,8,True
178,58,1/2,73/2,80,3,match,2,8,True
177,55,1/2,73/2,80,2,match,1,8,True
179,62,1/2,73/2,80,0,match,0,8,True
180,45,1/4,37,81,4,match,3,9,True
182,57,1/4,37,81,3,match,2,9,True
