output_csv,duration,count,sequence_ids
output/3643_066_credo_de_beata_virgine_jospuin_T-1/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_abtab.csv,1/8,27,"0,2,3,7,10,13,15,17,19,21,25,28,29,31,33,36,40,41,45,47,53,54,55,57,58,59,61"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_abtab.csv,1/4,38,"1,4,5,6,8,9,11,12,14,16,18,20,22,23,24,26,27,30,32,34,35,37,38,39,42,43,44,46,48,49,50,51,52,56,60,62,63,64"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_abtab_fourstep.csv,1/8,1,57
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_abtab_fourstep.csv,1/4,3,"4,20,35"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_abtab_non_chord.csv,1/8,23,"0,7,10,13,15,17,19,21,25,28,29,31,36,40,41,45,47,53,54,55,58,59,61"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_abtab_non_chord.csv,1/4,7,"1,16,22,32,37,38,44"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_raw.csv,1/8,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_raw_fourstep.csv,1/8,1,12
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_tab_raw_non_chord.csv,1/8,11,"2,3,4,5,6,8,9,10,11,13,14"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/voices/3643_066_credo_de_beata_virgine_jospuin_T-1_voice-1.csv,1/8,1,0
output/3643_066_credo_de_beata_virgine_jospuin_T-1/voices/3643_066_credo_de_beata_virgine_jospuin_T-1_voice-0.csv,1/8,10,"0,1,2,3,4,5,6,7,8,9"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/voices/3643_066_credo_de_beata_virgine_jospuin_T-1_voice-3.csv,1/8,7,"0,1,2,3,4,5,6"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/voices/3643_066_credo_de_beata_virgine_jospuin_T-1_voice-4.csv,1/8,1,0
output/3643_066_credo_de_beata_virgine_jospuin_T-1/voices/3643_066_credo_de_beata_virgine_jospuin_T-1_voice-2.csv,1/8,10,"0,1,2,3,4,5,6,7,8,9"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/voices/3643_066_credo_de_beata_virgine_jospuin_T-1_voice-2_fourstep.csv,1/8,1,8
output/3643_066_credo_de_beata_virgine_jospuin_T-1/3643_066_credo_de_beata_virgine_jospuin_T-1_voices_merged.csv,1/8,29,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28"
output/3643_066_credo_de_beata_virgine_jospuin_T-1/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-1_voices_merged_fourstep.csv,1/8,1,27
