note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
6,62,3/4,3,6,0,match,0,0,True
7,60,1/8,15/4,7,3,ornamentation,0,0,False
8,59,1/8,31/8,8,3,ornamentation,0,0,False
9,57,1/2,4,9,3,match,2,0,True
10,64,1/2,4,9,1,match,1,0,True
10,64,1/2,4,9,0,match,0,0,True
20,69,1/2,29/4,16,0,adaptation,0,1,True
21,67,1/4,31/4,17,0,ornamentation,0,1,False
22,50,1/2,8,18,4,match,3,1,True
23,57,1/2,8,18,3,match,2,1,True
23,57,1/2,8,18,2,match,1,1,True
24,69,1/2,8,18,0,match,0,1,True
26,50,3/8,9,20,4,repetition,3,2,True
27,53,3/8,9,20,3,match,2,2,True
28,57,3/8,9,20,2,repetition,1,2,True
29,69,3/8,9,20,0,repetition,0,2,True
30,55,1/8,75/8,21,2,ornamentation,0,2,False
31,57,1/8,19/2,22,2,repetition,0,2,False
32,55,1/8,77/8,23,2,ornamentation,0,2,False
33,57,1/8,39/4,24,2,ornamentation,0,2,False
34,59,1/8,79/8,25,2,ornamentation,0,2,False
35,48,1/8,10,26,4,match,2,2,False
36,55,1/8,10,26,3,match,1,2,False
37,60,1/8,10,26,2,match,0,2,False
38,62,1/8,81/8,27,2,ornamentation,0,2,False
39,64,1/8,41/4,28,2,ornamentation,0,2,False
40,65,1/8,83/8,29,2,ornamentation,0,2,False
41,67,1/8,21/2,30,2,ornamentation,0,2,False
42,65,1/8,85/8,31,2,ornamentation,0,2,False
43,64,1/8,43/4,32,2,ornamentation,0,2,False
44,62,1/8,87/8,33,2,ornamentation,0,2,False
45,48,1/4,11,34,4,match,3,2,True
46,55,1/4,11,34,3,repetition,2,2,True
47,60,1/4,11,34,2,match,1,2,True
48,67,1/4,11,34,0,match,0,2,True
45,48,1/4,11,34,4,match,3,3,True
46,55,1/4,11,34,3,repetition,2,3,True
47,60,1/4,11,34,2,match,1,3,True
48,67,1/4,11,34,0,match,0,3,True
49,62,1/8,45/4,35,1,ornamentation,0,3,False
50,64,1/8,91/8,36,1,ornamentation,0,3,False
51,57,1/8,23/2,37,3,match,1,3,False
52,65,1/8,23/2,37,1,adaptation,0,3,False
53,64,1/8,93/8,38,3,ornamentation,0,3,False
54,62,1/8,47/4,39,3,ornamentation,0,3,False
55,60,1/8,95/8,40,3,ornamentation,0,3,False
56,55,1/4,12,41,4,match,4,3,True
57,59,1/4,12,41,3,ficta,3,3,True
58,62,1/4,12,41,2,match,2,3,True
58,62,1/4,12,41,1,match,1,3,True
59,67,1/4,12,41,0,match,0,3,True
55,60,1/8,95/8,40,3,ornamentation,0,4,True
56,55,1/4,12,41,4,match,4,4,False
57,59,1/4,12,41,3,ficta,3,4,False
58,62,1/4,12,41,2,match,2,4,False
58,62,1/4,12,41,1,match,1,4,False
59,67,1/4,12,41,0,match,0,4,False
60,57,1/4,49/4,42,3,ornamentation,0,4,False
62,59,1/4,25/2,43,3,adaptation,1,4,False
61,55,1/4,25/2,43,2,match,0,4,False
63,60,1/4,51/4,44,2,ornamentation,0,4,False
64,55,1/2,13,45,3,match,2,4,True
65,59,1/2,13,45,2,ficta,1,4,True
66,67,1/2,13,45,0,match,0,4,True
70,50,1/2,14,48,4,match,3,5,True
71,57,1/2,14,48,3,match,2,5,True
72,62,1/2,14,48,2,match,1,5,True
73,67,1/2,14,48,0,repetition,0,5,True
74,66,1/4,29/2,49,0,match,0,5,False
75,64,1/4,59/4,50,0,match,0,5,False
76,50,1/4,15,51,4,match,4,5,False
77,57,1/4,15,51,3,repetition,3,5,False
76,50,1/4,15,51,2,match,2,5,False
78,62,1/4,15,51,1,repetition,1,5,False
79,66,1/4,15,51,0,match,0,5,False
80,67,1/4,61/4,52,1,ornamentation,0,5,False
81,50,1/4,31/2,53,4,repetition,2,5,False
82,57,1/4,31/2,53,3,repetition,1,5,False
83,62,1/4,31/2,53,1,repetition,0,5,False
84,66,1/4,63/4,54,0,ornamentation,0,5,False
85,43,1,16,55,4,match,3,5,True
87,55,1,16,55,3,match,2,5,True
86,50,1,16,55,2,repetition,1,5,True
88,67,1,16,55,0,match,0,5,True
93,55,1/2,35/2,57,3,repetition,0,6,True
94,47,1/4,18,58,4,ficta,1,6,False
95,54,1/4,18,58,2,ficta,0,6,False
96,55,1/4,73/4,59,3,ornamentation,0,6,False
97,54,1/2,37/2,60,3,adaptation,0,6,True
108,50,1/4,21,66,4,match,2,7,True
109,53,1/4,21,66,3,match,1,7,True
110,57,1/4,21,66,2,match,0,7,True
111,59,1/8,85/4,67,3,ornamentation,0,7,False
112,60,1/8,171/8,68,3,ornamentation,0,7,False
113,50,1/4,43/2,69,4,repetition,1,7,True
114,53,1/4,43/2,69,3,repetition,0,7,True
112,60,1/8,171/8,68,3,ornamentation,0,8,True
113,50,1/4,43/2,69,4,repetition,1,8,False
114,53,1/4,43/2,69,3,repetition,0,8,False
115,59,1/4,87/4,70,2,ornamentation,0,8,False
116,48,1/2,22,71,4,match,2,8,True
117,55,1/2,22,71,3,match,1,8,True
118,60,1/2,22,71,2,match,0,8,True
120,48,1/2,23,73,4,match,2,9,True
121,52,1/2,23,73,3,match,1,9,True
122,57,1/2,23,73,2,adaptation,0,9,True
123,60,1/4,47/2,74,2,repetition,0,9,False
124,59,1/4,95/4,75,2,ornamentation,0,9,False
125,50,1/4,24,76,4,match,2,9,False
126,54,1/4,24,76,3,ficta,1,9,False
127,57,1/4,24,76,2,match,0,9,False
128,55,1/4,97/4,77,2,ornamentation,0,9,False
129,50,1/4,49/2,78,4,repetition,1,9,False
130,57,1/4,49/2,78,2,repetition,0,9,False
131,54,1/4,99/4,79,2,ornamentation,0,9,False
132,43,1/2,25,80,4,match,3,9,True
133,55,1/2,25,80,3,match,2,9,True
133,55,1/2,25,80,2,match,1,9,True
134,59,1/2,25,80,1,adaptation,0,9,True
135,55,1/4,51/2,81,4,match,0,10,True
136,53,1/8,103/4,82,2,match,0,10,False
137,52,1/8,207/8,83,2,ornamentation,0,10,False
139,55,1/2,26,84,4,repetition,3,10,True
140,57,1/2,26,84,3,match,2,10,True
138,50,1/2,26,84,2,match,1,10,True
141,62,1/2,26,84,1,repetition,0,10,True
139,55,1/2,26,84,4,repetition,3,11,True
140,57,1/2,26,84,3,match,2,11,True
138,50,1/2,26,84,2,match,1,11,True
141,62,1/2,26,84,1,repetition,0,11,True
142,54,1/4,53/2,85,4,match,0,11,False
143,52,1/4,107/4,86,4,match,0,11,False
145,54,1/4,27,87,4,match,3,11,False
146,57,1/4,27,87,3,repetition,2,11,False
144,50,1/4,27,87,2,repetition,1,11,False
147,62,1/4,27,87,1,repetition,0,11,False
148,55,1/4,109/4,88,4,ornamentation,0,11,False
149,57,1/4,55/2,89,4,ornamentation,0,11,False
150,54,1/4,111/4,90,4,ornamentation,0,11,False
151,55,1/2,28,91,4,match,2,11,True
151,55,1/2,28,91,3,match,1,11,True
152,62,1/2,28,91,1,repetition,0,11,True
154,48,1/2,29,93,4,match,2,12,True
155,55,1/2,29,93,3,repetition,1,12,True
156,64,1/2,29,93,0,match,0,12,True
157,52,1/4,59/2,94,4,match,2,12,False
158,55,1/4,59/2,94,2,match,1,12,False
159,59,1/4,59/2,94,1,adaptation,0,12,False
160,61,1/4,119/4,95,2,ornamentation,0,12,False
161,50,1/4,30,96,4,match,2,12,False
162,57,1/4,30,96,2,match,1,12,False
163,66,1/4,30,96,0,ficta,0,12,False
164,67,1/4,121/4,97,2,ornamentation,0,12,False
165,50,1/4,61/2,98,4,repetition,1,12,False
