note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
226,69,3/8,41,134,0,repetition,0,1,True,0
227,67,1/8,331/8,135,0,ornamentation,0,1,False,0
228,69,1/8,83/2,136,0,repetition,0,1,False,0
229,67,1/8,333/8,137,0,ornamentation,0,1,False,0
230,69,1/8,167/4,138,0,ornamentation,0,1,False,0
231,71,1/8,335/8,139,0,ornamentation,0,1,False,0
235,72,1/2,42,140,0,match,0,1,True,0
255,69,1/4,46,148,0,match,0,2,True,1
256,65,1/8,185/4,149,0,ornamentation,0,2,False,1
257,67,1/8,371/8,150,0,ornamentation,0,2,False,1
258,69,1/8,93/2,151,0,repetition,0,2,False,1
259,67,1/8,373/8,152,0,ornamentation,0,2,False,1
260,69,1/8,187/4,153,0,ornamentation,0,2,False,1
261,71,1/8,375/8,154,0,ornamentation,0,2,False,1
265,72,1/2,47,155,0,match,0,2,True,1
488,69,1/2,175/2,264,0,match,0,3,True,2
493,67,1/8,707/8,266,0,ornamentation,0,3,False,2
494,69,1/8,177/2,267,0,adaptation,0,3,False,2
495,67,1/8,709/8,268,0,ornamentation,0,3,False,2
496,65,1/8,355/4,269,0,repetition,0,3,False,2
497,63,1/8,711/8,270,0,ornamentation,0,3,False,2
501,62,1/2,89,271,0,match,0,3,True,2
606,55,1/4,106,329,0,match,0,4,True,3
614,57,1/8,859/8,334,0,ornamentation,0,4,False,3
615,59,1/8,215/2,335,0,match,0,4,False,3
616,57,1/8,861/8,336,0,ornamentation,0,4,False,3
617,59,1/8,431/4,337,0,ornamentation,0,4,False,3
618,60,1/8,863/8,338,0,ornamentation,0,4,False,3
621,59,1/2,108,339,0,match,0,4,True,3
670,69,1/4,233/2,358,0,match,0,5,True,4
671,67,1/8,467/4,359,0,adaptation,0,5,False,4
672,69,1/8,935/8,360,0,ornamentation,0,5,False,4
675,71,1/2,117,361,0,match,0,5,True,4
676,67,1/4,235/2,362,0,match,0,6,True,5
677,69,1/8,471/4,363,0,ornamentation,0,6,False,5
678,71,1/8,943/8,364,0,ornamentation,0,6,False,5
682,72,1/4,118,365,0,match,0,6,True,5
923,67,1/2,329/2,489,0,match,0,7,True,6
926,66,1/8,661/4,491,0,ornamentation,0,7,False,6
927,64,1/8,1323/8,492,0,ornamentation,0,7,False,6
928,66,1/8,331/2,493,0,match,0,7,False,6
929,67,1/8,1325/8,494,0,ornamentation,0,7,False,6
930,69,1/8,663/4,495,0,ornamentation,0,7,False,6
931,66,1/8,1327/8,496,0,ornamentation,0,7,False,6
934,67,1/2,166,497,0,match,0,7,True,6
947,67,3/8,169,506,0,match,0,8,True,7
948,66,1/8,1355/8,507,0,ornamentation,0,8,False,7
949,67,1/8,339/2,508,0,repetition,0,8,False,7
950,66,1/8,1357/8,509,0,ornamentation,0,8,False,7
951,67,1/8,679/4,510,0,ornamentation,0,8,False,7
952,64,1/8,1359/8,511,0,ornamentation,0,8,False,7
955,66,1/2,170,512,0,ficta,0,8,True,7
1020,62,1/4,181,544,0,repetition,0,9,True,8
1021,71,1/8,725/4,545,0,ornamentation,0,9,False,8
1022,72,1/8,1451/8,546,0,ornamentation,0,9,False,8
1023,74,1/2,363/2,547,0,repetition,0,9,True,8
1031,72,3/8,183,550,0,repetition,0,10,True,9
1032,71,1/8,1467/8,551,0,ornamentation,0,10,False,9
1033,72,1/8,367/2,552,0,ornamentation,0,10,False,9
1034,71,1/8,1469/8,553,0,ornamentation,0,10,False,9
1035,69,1/8,735/4,554,0,ornamentation,0,10,False,9
1036,67,1/8,1471/8,555,0,ornamentation,0,10,False,9
1039,69,1/4,184,556,0,match,0,10,True,9
10,64,1/2,4,9,1,match,1,0,True,0
49,62,1/8,45/4,35,1,ornamentation,0,0,False,0
50,64,1/8,91/8,36,1,ornamentation,0,0,False,0
52,65,1/8,23/2,37,1,adaptation,0,0,False,0
58,62,1/4,12,41,1,match,1,0,True,0
28,57,3/8,9,20,2,repetition,1,19,True,0
30,55,1/8,75/8,21,2,ornamentation,0,19,False,0
31,57,1/8,19/2,22,2,repetition,0,19,False,0
32,55,1/8,77/8,23,2,ornamentation,0,19,False,0
33,57,1/8,39/4,24,2,ornamentation,0,19,False,0
34,59,1/8,79/8,25,2,ornamentation,0,19,False,0
37,60,1/8,10,26,2,match,0,19,False,0
38,62,1/8,81/8,27,2,ornamentation,0,19,False,0
39,64,1/8,41/4,28,2,ornamentation,0,19,False,0
40,65,1/8,83/8,29,2,ornamentation,0,19,False,0
41,67,1/8,21/2,30,2,ornamentation,0,19,False,0
42,65,1/8,85/8,31,2,ornamentation,0,19,False,0
43,64,1/8,43/4,32,2,ornamentation,0,19,False,0
44,62,1/8,87/8,33,2,ornamentation,0,19,False,0
47,60,1/4,11,34,2,match,1,19,True,0
133,55,1/2,25,80,2,match,1,20,True,1
136,53,1/8,103/4,82,2,match,0,20,False,1
137,52,1/8,207/8,83,2,ornamentation,0,20,False,1
138,50,1/2,26,84,2,match,1,20,True,1
176,60,3/8,32,103,2,match,1,21,True,2
178,59,1/8,259/8,104,2,ornamentation,0,21,False,2
179,60,1/8,65/2,105,2,ornamentation,0,21,False,2
180,59,1/8,261/8,106,2,ornamentation,0,21,False,2
181,57,1/8,131/4,107,2,adaptation,0,21,False,2
182,55,1/8,263/8,108,2,ornamentation,0,21,False,2
184,57,1/2,33,109,2,match,1,21,True,2
325,60,1/4,117/2,185,2,match,1,22,True,3
327,59,1/8,235/4,186,2,ornamentation,0,22,False,3
328,57,1/8,471/8,187,2,ornamentation,0,22,False,3
331,59,1/4,59,188,2,adaptation,0,22,True,3
508,60,1/4,181/2,275,2,match,1,23,True,4
514,55,1/8,731/8,278,2,ornamentation,0,23,False,4
515,57,1/8,183/2,279,2,match,0,23,False,4
518,52,1/8,735/8,282,2,ornamentation,0,23,False,4
519,53,1/2,92,283,2,match,1,23,True,4
586,55,1/4,103,317,2,repetition,1,24,True,5
589,53,1/8,413/4,318,2,ornamentation,0,24,False,5
590,52,1/8,827/8,319,2,ornamentation,0,24,False,5
591,50,1/8,207/2,320,2,match,0,24,False,5
593,48,1/8,829/8,321,2,ornamentation,0,24,False,5
594,50,1/8,415/4,322,2,repetition,0,24,False,5
595,52,1/8,831/8,323,2,ornamentation,0,24,False,5
596,53,1/2,104,324,2,match,1,24,True,5
824,59,3/8,147,441,2,match,0,25,True,6
825,57,1/8,1179/8,442,2,ornamentation,0,25,False,6
826,59,1/8,295/2,443,2,match,0,25,False,6
827,57,1/8,1181/8,444,2,ornamentation,0,25,False,6
828,59,1/8,591/4,445,2,ornamentation,0,25,False,6
829,60,1/8,1183/8,446,2,ornamentation,0,25,False,6
831,59,1/2,148,447,2,repetition,1,25,True,6
940,50,1/4,335/2,500,2,match,0,26,True,7
941,52,1/8,671/4,501,2,ornamentation,0,26,False,7
942,54,1/8,1343/8,502,2,ornamentation,0,26,False,7
943,55,1/2,168,503,2,match,0,26,True,7
993,55,1/4,709/4,531,2,ornamentation,0,27,True,8
995,57,1/8,355/2,532,2,repetition,0,27,False,8
996,55,1/8,1421/8,533,2,ornamentation,0,27,False,8
997,57,1/8,711/4,534,2,ornamentation,0,27,False,8
998,59,1/8,1423/8,535,2,ornamentation,0,27,False,8
1001,60,1/4,178,536,2,match,1,27,True,8
1062,55,1/4,189,568,2,match,1,28,True,9
1064,57,1/8,757/4,569,2,ornamentation,0,28,False,9
1065,58,1/8,1515/8,570,2,ornamentation,0,28,False,9
1066,57,1/8,379/2,571,2,ornamentation,0,28,False,9
1067,55,1/8,1517/8,572,2,ornamentation,0,28,False,9
1068,53,1/8,759/4,573,2,ornamentation,0,28,False,9
1069,52,1/8,1519/8,574,2,ornamentation,0,28,False,9
1071,53,1/4,190,575,2,match,1,28,True,9
7,60,1/8,15/4,7,3,ornamentation,0,11,False,0
8,59,1/8,31/8,8,3,ornamentation,0,11,False,0
9,57,1/2,4,9,3,match,2,11,True,0
46,55,1/4,11,34,3,repetition,2,12,True,1
51,57,1/8,23/2,37,3,match,1,12,False,1
