note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
6;62;3/4;3;6;0;match;0;0;True
7;60;1/8;15/4;7;3;ornamentation;0;0;False
8;59;1/8;31/8;8;3;ornamentation;0;0;False
9;57;1/2;4;9;3;match;2;0;True
10;64;1/2;4;9;1;match;1;0;True
10;64;1/2;4;9;0;match;0;0;True
20;69;1/2;29/4;16;0;adaptation;0;1;True
21;67;1/4;31/4;17;0;ornamentation;0;1;False
22;50;1/2;8;18;4;match;3;1;True
23;57;1/2;8;18;3;match;2;1;True
23;57;1/2;8;18;2;match;1;1;True
24;69;1/2;8;18;0;match;0;1;True
108;50;1/4;21;66;4;match;2;7;True
109;53;1/4;21;66;3;match;1;7;True
110;57;1/4;21;66;2;match;0;7;True
111;59;1/8;85/4;67;3;ornamentation;0;7;False
112;60;1/8;171/8;68;3;ornamentation;0;7;False
113;50;1/4;43/2;69;4;repetition;1;7;True
114;53;1/4;43/2;69;3;repetition;0;7;True
135;55;1/4;51/2;81;4;match;0;10;True
136;53;1/8;103/4;82;2;match;0;10;False
137;52;1/8;207/8;83;2;ornamentation;0;10;False
139;55;1/2;26;84;4;repetition;3;10;True
140;57;1/2;26;84;3;match;2;10;True
138;50;1/2;26;84;2;match;1;10;True
141;62;1/2;26;84;1;repetition;0;10;True
174;48;3/8;32;103;4;match;3;13;True
175;52;3/8;32;103;3;match;2;13;True
176;60;3/8;32;103;2;match;1;13;True
177;67;3/8;32;103;0;match;0;13;True
178;59;1/8;259/8;104;2;ornamentation;0;13;False
179;60;1/8;65/2;105;2;ornamentation;0;13;False
180;59;1/8;261/8;106;2;ornamentation;0;13;False
181;57;1/8;131/4;107;2;adaptation;0;13;False
182;55;1/8;263/8;108;2;ornamentation;0;13;False
183;53;1/2;33;109;3;match;2;13;True
184;57;1/2;33;109;2;match;1;13;True
185;69;1/2;33;109;0;match;0;13;True
224;50;3/8;41;134;4;repetition;2;15;True
225;57;3/8;41;134;2;match;1;15;True
226;69;3/8;41;134;0;repetition;0;15;True
227;67;1/8;331/8;135;0;ornamentation;0;15;False
228;69;1/8;83/2;136;0;repetition;0;15;False
229;67;1/8;333/8;137;0;ornamentation;0;15;False
230;69;1/8;167/4;138;0;ornamentation;0;15;False
231;71;1/8;335/8;139;0;ornamentation;0;15;False
232;45;1/2;42;140;4;match;3;15;True
234;57;1/2;42;140;3;match;2;15;True
233;52;1/2;42;140;2;adaptation;1;15;True
235;72;1/2;42;140;0;match;0;15;True
232;45;1/2;42;140;4;match;3;16;True
234;57;1/2;42;140;3;match;2;16;True
233;52;1/2;42;140;2;adaptation;1;16;True
235;72;1/2;42;140;0;match;0;16;True
236;55;1/4;85/2;141;2;match;0;16;False
237;53;1/4;171/4;142;2;ornamentation;0;16;False
238;48;1;43;143;4;match;3;16;True
240;57;1;43;143;3;repetition;2;16;True
239;52;1;43;143;2;match;1;16;True
241;72;1;43;143;0;match;0;16;True
252;50;1/4;46;148;4;match;3;17;True
254;57;1/4;46;148;3;match;2;17;True
253;53;1/4;46;148;2;match;1;17;True
255;69;1/4;46;148;0;match;0;17;True
256;65;1/8;185/4;149;0;ornamentation;0;17;False
257;67;1/8;371/8;150;0;ornamentation;0;17;False
258;69;1/8;93/2;151;0;repetition;0;17;False
259;67;1/8;373/8;152;0;ornamentation;0;17;False
260;69;1/8;187/4;153;0;ornamentation;0;17;False
261;71;1/8;375/8;154;0;ornamentation;0;17;False
262;45;1/2;47;155;4;match;3;17;True
264;57;1/2;47;155;3;repetition;2;17;True
263;52;1/2;47;155;2;match;1;17;True
265;72;1/2;47;155;0;match;0;17;True
287;43;3/4;52;166;4;match;3;19;True
289;55;3/4;52;166;3;match;2;19;True
288;50;3/4;52;166;2;match;1;19;True
290;71;3/4;52;166;0;match;0;19;True
291;53;1/8;211/4;167;3;ornamentation;0;19;False
292;52;1/8;423/8;168;3;ornamentation;0;19;False
293;43;1/2;53;169;4;repetition;3;19;True
294;50;1/2;53;169;3;adaptation;2;19;True
295;55;1/2;53;169;2;match;1;19;True
296;71;1/2;53;169;0;repetition;0;19;True
325;60;1/4;117/2;185;2;match;1;21;True
326;64;1/4;117/2;185;0;match;0;21;True
327;59;1/8;235/4;186;2;ornamentation;0;21;False
328;57;1/8;471/8;187;2;ornamentation;0;21;False
329;43;1/4;59;188;4;match;2;21;True
330;55;1/4;59;188;3;match;1;21;True
331;59;1/4;59;188;2;adaptation;0;21;True
332;60;1/2;237/4;189;2;repetition;0;22;True
333;59;1/4;239/4;190;2;ornamentation;0;22;False
334;48;1/2;60;191;4;match;3;22;True
335;55;1/2;60;191;3;match;2;22;True
336;60;1/2;60;191;2;match;1;22;True
336;60;1/2;60;191;0;match;0;22;True
422;53;1/4;153/2;232;2;match;0;25;True
423;55;1/8;307/4;233;3;ornamentation;0;25;False
424;57;1/8;615/8;234;3;ornamentation;0;25;False
425;43;1/2;77;235;4;match;2;25;True
427;58;1/2;77;235;3;match;1;25;True
426;55;1/2;77;235;2;match;0;25;True
489;50;3/8;88;265;4;match;3;28;True
490;53;3/8;88;265;3;match;2;28;True
491;57;3/8;88;265;2;match;1;28;True
492;62;3/8;88;265;1;adaptation;0;28;True
493;67;1/8;707/8;266;0;ornamentation;0;28;False
494;69;1/8;177/2;267;0;adaptation;0;28;False
495;67;1/8;709/8;268;0;ornamentation;0;28;False
496;65;1/8;355/4;269;0;repetition;0;28;False
497;63;1/8;711/8;270;0;ornamentation;0;28;False
498;47;1/2;89;271;4;match;3;28;True
499;55;1/2;89;271;3;match;2;28;True
500;59;1/2;89;271;2;match;1;28;True
501;62;1/2;89;271;0;match;0;28;True
511;45;3/8;91;277;4;match;2;29;True
512;57;3/8;91;277;3;match;1;29;True
513;61;3/8;91;277;0;ficta;0;29;True
514;55;1/8;731/8;278;2;ornamentation;0;29;False
515;57;1/8;183/2;279;2;match;0;29;False
516;55;1/8;733/8;280;3;ornamentation;0;29;False
517;53;1/8;367/4;281;3;adaptation;0;29;False
518;52;1/8;735/8;282;2;ornamentation;0;29;False
519;53;1/2;92;283;2;match;1;29;True
520;62;1/2;92;283;0;match;0;29;True
559;55;1/4;195/2;303;2;match;0;31;True
560;53;1/8;391/4;304;4;ornamentation;0;31;False
561;52;1/8;783/8;305;4;ornamentation;0;31;False
563;53;3/4;98;306;4;match;3;31;True
564;57;3/4;98;306;3;match;2;31;True
562;50;3/4;98;306;2;match;1;31;True
565;69;3/4;98;306;0;match;0;31;True
576;45;1/2;101;312;4;match;2;32;True
578;57;1/2;101;312;3;match;1;32;True
577;53;1/2;101;312;2;match;0;32;True
579;52;1/4;203/2;313;2;match;0;32;False
580;54;1/4;407/4;314;2;ornamentation;0;32;False
581;43;1/2;102;315;4;match;2;32;True
583;58;1/2;102;315;3;match;1;32;True
582;55;1/2;102;315;2;match;0;32;True
610;43;3/8;107;333;4;match;3;36;True
612;55;3/8;107;333;3;repetition;2;36;True
611;50;3/8;107;333;2;match;1;36;True
613;59;3/8;107;333;1;adaptation;0;36;True
614;57;1/8;859/8;334;0;ornamentation;0;36;False
615;59;1/8;215/2;335;0;match;0;36;False
616;57;1/8;861/8;336;0;ornamentation;0;36;False
617;59;1/8;431/4;337;0;ornamentation;0;36;False
618;60;1/8;863/8;338;0;ornamentation;0;36;False
619;43;1/2;108;339;4;match;2;36;True
620;55;1/2;108;339;2;match;1;36;True
621;59;1/2;108;339;0;match;0;36;True
625;48;3/4;109;341;4;match;2;37;True
626;52;3/4;109;341;2;match;1;37;True
627;60;3/4;109;341;0;match;0;37;True
