note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
28,57,3/8,9,20,2,repetition,1,0,True
30,55,1/8,75/8,21,2,ornamentation,0,0,False
31,57,1/8,19/2,22,2,repetition,0,0,False
32,55,1/8,77/8,23,2,ornamentation,0,0,False
33,57,1/8,39/4,24,2,ornamentation,0,0,False
34,59,1/8,79/8,25,2,ornamentation,0,0,False
37,60,1/8,10,26,2,match,0,0,False
38,62,1/8,81/8,27,2,ornamentation,0,0,False
39,64,1/8,41/4,28,2,ornamentation,0,0,False
40,65,1/8,83/8,29,2,ornamentation,0,0,False
41,67,1/8,21/2,30,2,ornamentation,0,0,False
42,65,1/8,85/8,31,2,ornamentation,0,0,False
43,64,1/8,43/4,32,2,ornamentation,0,0,False
44,62,1/8,87/8,33,2,ornamentation,0,0,False
47,60,1/4,11,34,2,match,1,0,True
133,55,1/2,25,80,2,match,1,1,True
136,53,1/8,103/4,82,2,match,0,1,False
137,52,1/8,207/8,83,2,ornamentation,0,1,False
138,50,1/2,26,84,2,match,1,1,True
176,60,3/8,32,103,2,match,1,2,True
178,59,1/8,259/8,104,2,ornamentation,0,2,False
179,60,1/8,65/2,105,2,ornamentation,0,2,False
180,59,1/8,261/8,106,2,ornamentation,0,2,False
181,57,1/8,131/4,107,2,adaptation,0,2,False
182,55,1/8,263/8,108,2,ornamentation,0,2,False
184,57,1/2,33,109,2,match,1,2,True
325,60,1/4,117/2,185,2,match,1,3,True
327,59,1/8,235/4,186,2,ornamentation,0,3,False
328,57,1/8,471/8,187,2,ornamentation,0,3,False
331,59,1/4,59,188,2,adaptation,0,3,True
508,60,1/4,181/2,275,2,match,1,4,True
514,55,1/8,731/8,278,2,ornamentation,0,4,False
515,57,1/8,183/2,279,2,match,0,4,False
518,52,1/8,735/8,282,2,ornamentation,0,4,False
519,53,1/2,92,283,2,match,1,4,True
586,55,1/4,103,317,2,repetition,1,5,True
589,53,1/8,413/4,318,2,ornamentation,0,5,False
590,52,1/8,827/8,319,2,ornamentation,0,5,False
591,50,1/8,207/2,320,2,match,0,5,False
593,48,1/8,829/8,321,2,ornamentation,0,5,False
594,50,1/8,415/4,322,2,repetition,0,5,False
595,52,1/8,831/8,323,2,ornamentation,0,5,False
596,53,1/2,104,324,2,match,1,5,True
824,59,3/8,147,441,2,match,0,6,True
825,57,1/8,1179/8,442,2,ornamentation,0,6,False
826,59,1/8,295/2,443,2,match,0,6,False
827,57,1/8,1181/8,444,2,ornamentation,0,6,False
828,59,1/8,591/4,445,2,ornamentation,0,6,False
829,60,1/8,1183/8,446,2,ornamentation,0,6,False
831,59,1/2,148,447,2,repetition,1,6,True
940,50,1/4,335/2,500,2,match,0,7,True
941,52,1/8,671/4,501,2,ornamentation,0,7,False
942,54,1/8,1343/8,502,2,ornamentation,0,7,False
943,55,1/2,168,503,2,match,0,7,True
993,55,1/4,709/4,531,2,ornamentation,0,8,True
995,57,1/8,355/2,532,2,repetition,0,8,False
996,55,1/8,1421/8,533,2,ornamentation,0,8,False
997,57,1/8,711/4,534,2,ornamentation,0,8,False
998,59,1/8,1423/8,535,2,ornamentation,0,8,False
1001,60,1/4,178,536,2,match,1,8,True
1062,55,1/4,189,568,2,match,1,9,True
1064,57,1/8,757/4,569,2,ornamentation,0,9,False
1065,58,1/8,1515/8,570,2,ornamentation,0,9,False
1066,57,1/8,379/2,571,2,ornamentation,0,9,False
1067,55,1/8,1517/8,572,2,ornamentation,0,9,False
1068,53,1/8,759/4,573,2,ornamentation,0,9,False
1069,52,1/8,1519/8,574,2,ornamentation,0,9,False
1071,53,1/4,190,575,2,match,1,9,True
