output_csv,sequence_length,count,sequence_ids
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab.csv,1,5,"0,1,3,9,18"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab.csv,2,8,"4,6,8,11,12,14,15,16"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab.csv,4,3,"5,10,13"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab.csv,5,2,"2,17"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab.csv,6,2,"7,19"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab_fourstep.csv,4,1,5
output/3643_066_credo_de_beata_virgine_jospuin_T-2/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab_non_chord.csv,1,5,"0,1,3,9,18"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab_non_chord.csv,2,2,"8,15"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_abtab_non_chord.csv,5,2,"2,17"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_raw.csv,5,2,"0,1"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/fourstep/3643_066_credo_de_beata_virgine_jospuin_T-2_tab_raw_non_chord.csv,5,2,"0,1"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/voices/3643_066_credo_de_beata_virgine_jospuin_T-2_voice-1.csv,1,1,0
output/3643_066_credo_de_beata_virgine_jospuin_T-2/voices/3643_066_credo_de_beata_virgine_jospuin_T-2_voice-1.csv,5,1,1
output/3643_066_credo_de_beata_virgine_jospuin_T-2/voices/3643_066_credo_de_beata_virgine_jospuin_T-2_voice-0.csv,1,2,"0,2"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/voices/3643_066_credo_de_beata_virgine_jospuin_T-2_voice-0.csv,5,1,1
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_voices_merged.csv,1,3,"0,2,4"
output/3643_066_credo_de_beata_virgine_jospuin_T-2/3643_066_credo_de_beata_virgine_jospuin_T-2_voices_merged.csv,5,2,"1,3"
