note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
12;55;3/8;3;7;2;match;2;0;True
13;59;3/8;3;7;1;match;1;0;True
14;67;3/8;3;7;0;match;0;0;True
15;65;1/8;27/8;8;0;ornamentation;0;0;False
16;67;1/8;7/2;9;0;ornamentation;0;0;False
17;65;1/8;29/8;10;0;ornamentation;0;0;False
18;64;1/8;15/4;11;0;ornamentation;0;0;False
19;62;1/8;31/8;12;0;ornamentation;0;0;False
20;48;1;4;13;4;match;3;0;True
21;55;1;4;13;3;match;2;0;True
22;60;1;4;13;1;match;1;0;True
23;64;1;4;13;0;match;0;0;True
534;52;3/8;107;241;4;adaptation;4;1;True
535;55;3/8;107;241;3;match;3;1;True
533;48;3/8;107;241;2;match;2;1;True
536;64;3/8;107;241;1;repetition;1;1;True
537;72;3/8;107;241;0;adaptation;0;1;True
538;71;1/8;859/8;242;1;ornamentation;0;1;False
539;69;1/8;215/2;243;1;ornamentation;0;1;False
540;67;1/8;861/8;244;1;ornamentation;0;1;False
541;65;1/8;431/4;245;1;ornamentation;0;1;False
542;64;1/8;863/8;246;1;ornamentation;0;1;False
543;47;3/4;108;247;4;match;2;1;True
544;55;3/4;108;247;3;match;1;1;True
545;62;3/4;108;247;1;match;0;1;True
