note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
330,67,1/2,117/2,170,0,match,0,0,True,0
332,66,1/8,237/4,172,0,match,0,0,False,0
333,64,1/8,475/8,173,0,ornamentation,0,0,False,0
334,67,1/4,119/2,174,0,adaptation,0,0,True,0
738,62,1/4,127,371,0,adaptation,0,1,True,1
739,66,1/8,509/4,372,0,match,0,1,False,1
740,64,1/8,1019/8,373,0,ornamentation,0,1,False,1
741,67,1/4,255/2,374,0,adaptation,0,1,True,1
184,62,1/2,69/2,103,2,match,0,2,True,0
187,61,1/8,141/4,105,2,ficta,0,2,False,0
188,59,1/8,283/8,106,2,ornamentation,0,2,False,0
189,62,1/4,71/2,107,2,adaptation,0,2,True,0
518,62,1/4,183/2,264,2,match,0,3,True,1
524,60,1/8,369/4,267,2,match,0,3,False,1
525,59,1/8,739/8,268,2,ornamentation,0,3,False,1
526,57,1/4,185/2,269,2,match,0,3,True,1
