note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
185;52;1/4;35;104;4;match;2;1;True
186;55;1/4;35;104;3;match;1;1;True
186;55;1/4;35;104;1;match;0;1;True
187;61;1/8;141/4;105;2;ficta;0;1;False
188;59;1/8;283/8;106;2;ornamentation;0;1;False
189;62;1/4;71/2;107;2;adaptation;0;1;True
331;57;1/4;59;171;3;match;1;7;True
331;57;1/4;59;171;2;match;0;7;True
332;66;1/8;237/4;172;0;match;0;7;False
333;64;1/8;475/8;173;0;ornamentation;0;7;False
334;67;1/4;119/2;174;0;adaptation;0;7;True
408;48;3/4;76;220;5;match;4;10;True
409;52;3/4;76;220;4;match;3;10;True
410;60;3/4;76;220;2;match;2;10;True
411;64;3/4;76;220;1;match;1;10;True
412;67;3/4;76;220;0;match;0;10;True
413;47;1/4;307/4;221;5;ornamentation;0;10;False
414;45;1/2;77;222;5;match;4;10;True
415;57;1/2;77;222;4;match;3;10;True
416;60;1/2;77;222;2;match;2;10;True
417;64;1/2;77;222;1;match;1;10;True
418;69;1/2;77;222;0;match;0;10;True
521;53;1/4;92;266;5;match;3;11;True
520;50;1/4;92;266;4;match;2;11;True
522;65;1/4;92;266;1;match;1;11;True
523;69;1/4;92;266;0;match;0;11;True
524;60;1/8;369/4;267;2;match;0;11;False
525;59;1/8;739/8;268;2;ornamentation;0;11;False
526;57;1/4;185/2;269;2;match;0;11;True
587;62;1/2;205/2;297;2;match;0;12;True
588;64;1/4;103;298;0;match;0;12;False
589;62;1/4;413/4;299;2;ornamentation;0;12;False
590;61;1/2;207/2;300;2;ficta;0;12;True
736;50;1/4;127;371;4;match;3;15;True
737;57;1/4;127;371;3;match;2;15;True
737;57;1/4;127;371;1;match;1;15;True
738;62;1/4;127;371;0;adaptation;0;15;True
739;66;1/8;509/4;372;0;match;0;15;False
740;64;1/8;1019/8;373;0;ornamentation;0;15;False
741;67;1/4;255/2;374;0;adaptation;0;15;True
979;50;1/2;169;488;5;match;2;21;True
980;53;1/2;169;488;4;match;1;21;True
981;57;1/2;169;488;3;match;0;21;True
982;57;1/4;339/2;489;5;ornamentation;0;21;False
983;50;1/4;679/4;490;5;match;0;21;False
984;50;1/2;170;491;5;match;1;21;True
985;59;1/2;170;491;3;match;0;21;True
1062;55;1/2;183;523;5;match;5;24;True
1061;43;1/2;183;523;4;match;4;24;True
1062;55;1/2;183;523;3;match;3;24;True
1064;62;1/2;183;523;2;match;2;24;True
1063;59;1/2;183;523;1;match;1;24;True
1065;71;1/2;183;523;0;match;0;24;True
1066;59;1/4;367/2;524;0;ornamentation;0;24;False
1067;67;1/4;735/4;525;0;match;0;24;False
1068;59;1/2;184;526;2;match;1;24;True
1069;67;1/2;184;526;0;match;0;24;True
1171;50;3/4;202;556;5;match;4;25;True
1172;53;3/4;202;556;4;match;3;25;True
1173;57;3/4;202;556;3;repetition;2;25;True
1174;62;3/4;202;556;2;match;1;25;True
1175;69;3/4;202;556;0;match;0;25;True
1176;52;1/4;811/4;557;4;ornamentation;0;25;False
1177;50;1/2;203;558;5;repetition;4;25;True
1178;53;1/2;203;558;4;repetition;3;25;True
1179;57;1/2;203;558;3;repetition;2;25;True
1180;65;1/2;203;558;1;repetition;1;25;True
1181;69;1/2;203;558;0;repetition;0;25;True
1189;43;1/2;205;562;5;repetition;4;26;True
1190;55;1/2;205;562;4;repetition;3;26;True
1191;59;1/2;205;562;3;match;2;26;True
1192;62;1/2;205;562;2;match;1;26;True
1193;67;1/2;205;562;0;repetition;0;26;True
1194;57;1/4;411/2;563;3;ornamentation;0;26;False
1195;55;1/4;823/4;564;3;ornamentation;0;26;False
1196;50;3/4;206;565;5;match;3;26;True
1197;57;3/4;206;565;3;match;2;26;True
1198;62;3/4;206;565;2;repetition;1;26;True
1199;66;3/4;206;565;0;ficta;0;26;True
1222;43;3/4;210;576;5;match;5;28;True
1224;55;3/4;210;576;4;match;4;28;True
1223;50;3/4;210;576;3;adaptation;3;28;True
1225;59;3/4;210;576;2;match;2;28;True
1226;62;3/4;210;576;1;match;1;28;True
1227;67;3/4;210;576;0;match;0;28;True
1228;53;1/4;843/4;577;3;ornamentation;0;28;False
1229;43;1;211;578;5;repetition;5;28;True
1230;50;1;211;578;4;adaptation;4;28;True
1231;55;1;211;578;3;repetition;3;28;True
1232;59;1;211;578;2;repetition;2;28;True
1233;62;1;211;578;1;repetition;1;28;True
1234;67;1;211;578;0;repetition;0;28;True
