note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
51,53,1/2,17,22,5,repetition,1,0,True
52,57,1/2,17,22,4,match,0,0,True
53,50,1/4,35/2,23,4,match,0,0,False
54,55,1/4,71/4,24,3,ornamentation,0,0,False
56,57,1/4,18,25,5,repetition,1,0,False
55,53,1/4,18,25,3,match,0,0,False
57,52,1/4,73/4,26,4,match,0,0,False
58,50,1/2,37/2,27,5,repetition,1,0,True
59,53,1/2,37/2,27,4,match,0,0,True
58,50,1/2,37/2,27,5,repetition,1,1,True
59,53,1/2,37/2,27,4,match,0,1,True
61,53,1/4,19,28,5,match,1,1,False
60,46,1/4,19,28,4,match,0,1,False
62,52,1/4,77/4,29,5,ornamentation,0,1,False
63,53,1/4,39/2,30,5,repetition,0,1,False
64,48,1/4,79/4,31,4,match,0,1,False
65,46,1/4,20,32,5,repetition,2,1,False
66,50,1/4,20,32,4,match,1,1,False
67,53,1/4,20,32,3,repetition,0,1,False
68,48,1/4,81/4,33,5,match,1,1,False
69,52,1/4,81/4,33,4,match,0,1,False
70,50,1/4,41/2,34,5,match,1,1,False
71,53,1/4,41/2,34,4,match,0,1,False
72,52,1/4,83/4,35,5,match,0,1,False
73,53,1/4,21,36,5,match,0,1,False
75,55,1/4,85/4,37,5,match,1,1,False
74,52,1/4,85/4,37,4,match,0,1,False
77,57,1/4,43/2,38,5,match,1,1,False
76,50,1/4,43/2,38,4,match,0,1,False
78,48,1/4,87/4,39,4,match,0,1,False
79,50,1/4,22,40,4,match,0,1,False
80,55,1/4,89/4,41,5,match,0,1,False
82,55,1/2,45/2,42,5,match,1,1,True
81,46,1/2,45/2,42,4,match,0,1,True
82,55,1/2,45/2,42,5,match,1,2,True
81,46,1/2,45/2,42,4,match,0,2,True
83,45,1/4,23,43,4,match,0,2,False
84,55,1/4,93/4,44,5,ornamentation,0,2,False
85,54,1/2,47/2,45,5,match,0,2,True
461,53,1/2,173/2,204,4,adaptation,1,3,True
462,60,1/2,173/2,204,3,match,0,3,True
463,43,1/4,87,205,5,repetition,3,3,False
464,50,1/4,87,205,4,match,2,3,False
465,55,1/4,87,205,1,repetition,1,3,False
466,67,1/4,87,205,0,repetition,0,3,False
467,60,1/4,349/4,206,3,ornamentation,0,3,False
468,59,1/2,175/2,207,3,match,0,3,True
488,51,1/2,92,215,5,match,2,4,True
489,55,1/2,92,215,3,match,1,4,True
490,67,1/2,92,215,0,match,0,4,True
491,60,1/4,185/2,216,1,match,0,4,False
492,58,1/4,371/4,217,1,match,0,4,False
494,51,1/4,93,218,5,repetition,4,4,False
493,48,1/4,93,218,4,match,3,4,False
495,55,1/4,93,218,3,repetition,2,4,False
496,60,1/4,93,218,1,match,1,4,False
497,67,1/4,93,218,0,repetition,0,4,False
498,62,1/4,373/4,219,1,ornamentation,0,4,False
499,55,1/4,187/2,220,1,ornamentation,0,4,False
500,60,1/4,375/4,221,1,ornamentation,0,4,False
501,50,1/2,94,222,5,match,4,4,True
502,53,1/2,94,222,4,match,3,4,True
503,57,1/2,94,222,3,adaptation,2,4,True
504,62,1/2,94,222,1,match,1,4,True
505,69,1/2,94,222,0,match,0,4,True
513,48,1/2,96,226,5,adaptation,3,5,True
514,51,1/2,96,226,4,match,2,5,True
515,55,1/2,96,226,3,match,1,5,True
516,67,1/2,96,226,0,match,0,5,True
517,60,1/4,193/2,227,2,match,0,5,False
518,58,1/4,387/4,228,2,match,0,5,False
519,48,1/4,97,229,5,match,4,5,False
520,51,1/4,97,229,4,repetition,3,5,False
521,55,1/4,97,229,3,repetition,2,5,False
522,60,1/4,97,229,2,match,1,5,False
523,67,1/4,97,229,0,repetition,0,5,False
524,62,1/4,389/4,230,2,ornamentation,0,5,False
525,55,1/4,195/2,231,2,ornamentation,0,5,False
526,60,1/4,391/4,232,2,ornamentation,0,5,False
528,53,1/2,98,233,5,match,3,5,True
527,50,1/2,98,233,4,match,2,5,True
529,57,1/2,98,233,3,match,1,5,True
530,62,1/2,98,233,2,match,0,5,True
610,55,1/2,225/2,269,2,match,2,6,True
611,58,1/2,225/2,269,1,match,1,6,True
612,67,1/2,225/2,269,0,match,0,6,True
613,50,1/4,113,270,2,match,1,6,False
614,57,1/4,113,270,1,match,0,6,False
615,67,1/4,453/4,271,0,ornamentation,0,6,False
616,66,1/2,227/2,272,0,match,0,6,True
664,53,1/2,124,296,5,repetition,0,7,True
666,52,1/4,249/2,297,5,ficta,1,7,False
665,48,1/4,249/2,297,4,match,0,7,False
668,50,1/4,499/4,298,5,match,1,7,False
667,46,1/4,499/4,298,4,match,0,7,False
670,48,1/4,125,299,5,match,1,7,False
669,45,1/4,125,299,4,match,0,7,False
671,43,1/4,501/4,300,4,ornamentation,0,7,False
672,45,1/2,251/2,301,4,repetition,0,7,True
715,65,1/2,136,325,1,repetition,0,8,True
716,60,1/4,273/2,326,2,match,1,8,False
717,64,1/4,273/2,326,1,ficta,0,8,False
718,58,1/4,547/4,327,2,match,1,8,False
719,62,1/4,547/4,327,1,match,0,8,False
720,57,1/4,137,328,2,match,1,8,False
721,60,1/4,137,328,1,match,0,8,False
722,55,1/4,549/4,329,2,ornamentation,0,8,False
723,57,1/2,275/2,330,2,repetition,0,8,True
753,50,1/2,291/2,344,5,match,1,9,True
752,43,1/2,291/2,344,4,match,0,9,True
754,45,1/4,146,345,4,match,1,9,False
755,54,1/4,146,345,3,match,0,9,False
756,50,1/4,585/4,346,5,ornamentation,0,9,False
757,49,1/2,293/2,347,5,ficta,0,9,True
859,67,1/2,333/2,389,0,match,0,10,True
860,50,1/4,167,390,5,repetition,3,10,False
861,53,1/4,167,390,4,adaptation,2,10,False
862,57,1/4,167,390,3,repetition,1,10,False
863,62,1/4,167,390,1,repetition,0,10,False
864,67,1/4,669/4,391,0,ornamentation,0,10,False
865,66,1/2,335/2,392,0,match,0,10,True
