note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
664;53;1/2;124;296;5;repetition;0;7;True;[monotonic_perfect_fifth_1_0_chords]
666;52;1/4;249/2;297;5;ficta;1;7;False;[monotonic_perfect_fifth_1_0_chords]
665;48;1/4;249/2;297;4;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
668;50;1/4;499/4;298;5;match;1;7;False;[monotonic_perfect_fifth_1_0_chords]
667;46;1/4;499/4;298;4;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
670;48;1/4;125;299;5;match;1;7;False;[monotonic_perfect_fifth_1_0_chords]
669;45;1/4;125;299;4;match;0;7;False;[monotonic_perfect_fifth_1_0_chords]
671;43;1/4;501/4;300;4;ornamentation;0;7;False;[monotonic_perfect_fifth_1_0_chords]
672;45;1/2;251/2;301;4;repetition;0;7;True;[monotonic_perfect_fifth_1_0_chords]
715;65;1/2;136;325;1;repetition;0;8;True;[monotonic_perfect_fifth_0_0_chords]
716;60;1/4;273/2;326;2;match;1;8;False;[monotonic_perfect_fifth_0_0_chords]
717;64;1/4;273/2;326;1;ficta;0;8;False;[monotonic_perfect_fifth_0_0_chords]
718;58;1/4;547/4;327;2;match;1;8;False;[monotonic_perfect_fifth_0_0_chords]
719;62;1/4;547/4;327;1;match;0;8;False;[monotonic_perfect_fifth_0_0_chords]
720;57;1/4;137;328;2;match;1;8;False;[monotonic_perfect_fifth_0_0_chords]
721;60;1/4;137;328;1;match;0;8;False;[monotonic_perfect_fifth_0_0_chords]
722;55;1/4;549/4;329;2;ornamentation;0;8;False;[monotonic_perfect_fifth_0_0_chords]
723;57;1/2;275/2;330;2;repetition;0;8;True;[monotonic_perfect_fifth_0_0_chords]
