note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,58,1/4,1/2,1,3,match,0,0,True
2,58,1/16,3/4,2,3,ornamentation,0,0,False
3,57,1/16,13/16,3,3,ornamentation,0,0,False
4,58,1/16,7/8,4,3,ornamentation,0,0,False
5,60,1/16,15/16,5,3,ornamentation,0,0,False
6,58,1/2,1,6,3,repetition,0,0,True
10,58,1/4,5/2,10,3,repetition,1,1,True
11,62,1/4,5/2,10,1,match,0,1,True
12,60,1/16,11/4,11,3,adaptation,0,1,False
13,58,1/16,45/16,12,3,ornamentation,0,1,False
14,57,1/16,23/8,13,3,repetition,0,1,False
15,55,1/16,47/16,14,3,ornamentation,0,1,False
16,53,1/8,3,15,3,match,1,1,True
17,65,1/8,3,15,1,match,0,1,True
15,55,1/16,47/16,14,3,ornamentation,0,2,True
16,53,1/8,3,15,3,match,1,2,False
17,65,1/8,3,15,1,match,0,2,False
18,64,1/8,25/8,16,1,ornamentation,0,2,False
19,65,1/8,13/4,17,1,ornamentation,0,2,False
20,67,1/8,27/8,18,1,adaptation,0,2,False
21,53,1/4,7/2,19,3,repetition,1,2,True
22,65,1/4,7/2,19,1,match,0,2,True
21,53,1/4,7/2,19,3,repetition,1,3,True
22,65,1/4,7/2,19,1,match,0,3,True
23,55,1/16,15/4,20,3,adaptation,0,3,False
24,53,1/16,61/16,21,3,ornamentation,0,3,False
25,52,1/16,31/8,22,3,repetition,0,3,False
26,50,1/16,63/16,23,3,ornamentation,0,3,False
27,48,1/4,4,24,3,match,1,3,True
28,64,1/4,4,24,1,match,0,3,True
29,46,1/4,17/4,25,3,match,1,4,True
30,65,1/4,17/4,25,1,match,0,4,True
31,53,1/8,9/2,26,3,match,0,4,False
32,65,1/8,37/8,27,1,ornamentation,0,4,False
33,64,1/8,19/4,28,1,match,0,4,False
34,62,1/8,39/8,29,1,match,0,4,False
35,53,1/4,5,30,3,repetition,1,4,True
36,60,1/4,5,30,1,match,0,4,True
35,53,1/4,5,30,3,repetition,1,5,True
36,60,1/4,5,30,1,match,0,5,True
37,55,1/16,21/4,31,3,adaptation,0,5,False
38,53,1/16,85/16,32,3,ornamentation,0,5,False
39,52,1/16,43/8,33,3,repetition,0,5,False
40,50,1/16,87/16,34,3,ornamentation,0,5,False
41,48,1/4,11/2,35,3,match,2,5,True
42,60,1/4,11/2,35,1,repetition,1,5,True
43,67,1/4,11/2,35,0,match,0,5,True
41,48,1/4,11/2,35,3,match,2,6,True
42,60,1/4,11/2,35,1,repetition,1,6,True
43,67,1/4,11/2,35,0,match,0,6,True
44,67,1/16,23/4,36,0,ornamentation,0,6,False
45,65,1/16,93/16,37,0,ornamentation,0,6,False
46,67,1/16,47/8,38,0,ornamentation,0,6,False
47,69,1/16,95/16,39,0,ornamentation,0,6,False
48,46,1/4,6,40,3,match,2,6,True
49,58,1/4,6,40,1,adaptation,1,6,True
50,70,1/4,6,40,0,match,0,6,True
53,58,1/4,13/2,43,3,repetition,2,7,True
54,62,1/4,13/2,43,1,match,1,7,True
55,70,1/4,13/2,43,0,match,0,7,True
56,72,1/16,27/4,44,0,adaptation,0,7,False
57,70,1/16,109/16,45,0,ornamentation,0,7,False
58,69,1/16,55/8,46,0,adaptation,0,7,False
