note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
43,67,1/4,11/2,35,0,match,0,29,True,0
44,67,1/16,23/4,36,0,ornamentation,0,29,False,0
45,65,1/16,93/16,37,0,ornamentation,0,29,False,0
46,67,1/16,47/8,38,0,ornamentation,0,29,False,0
47,69,1/16,95/16,39,0,ornamentation,0,29,False,0
50,70,1/4,6,40,0,match,0,29,True,0
55,70,1/4,13/2,43,0,match,0,30,True,1
56,72,1/16,27/4,44,0,adaptation,0,30,False,1
57,70,1/16,109/16,45,0,ornamentation,0,30,False,1
58,69,1/16,55/8,46,0,adaptation,0,30,False,1
59,67,1/16,111/16,47,0,ornamentation,0,30,False,1
61,70,1/16,7,48,0,repetition,0,30,False,1
64,69,1/16,115/16,51,0,ornamentation,0,30,False,1
67,70,1/4,29/4,52,0,match,0,30,True,1
67,70,1/4,29/4,52,0,match,0,31,True,2
70,70,1/8,61/8,54,0,ornamentation,0,31,False,2
73,69,1/8,31/4,55,0,match,0,31,False,2
75,67,1/8,63/8,56,0,match,0,31,False,2
78,65,1/4,8,57,0,match,0,31,True,2
94,70,1/4,19/2,65,0,match,0,32,True,3
102,65,1/16,165/16,69,0,ornamentation,0,32,False,3
103,67,1/16,83/8,70,0,ornamentation,0,32,False,3
104,69,1/16,167/16,71,0,ornamentation,0,32,False,3
105,70,1/4,21/2,72,0,match,0,32,True,3
121,70,1/4,12,81,0,match,0,33,True,4
134,65,1/16,105/8,89,0,ornamentation,0,33,False,4
135,67,1/16,211/16,90,0,ornamentation,0,33,False,4
136,69,1/16,53/4,91,0,adaptation,0,33,False,4
137,67,1/16,213/16,92,0,ornamentation,0,33,False,4
138,65,1/16,107/8,93,0,ornamentation,0,33,False,4
139,67,1/16,215/16,94,0,ornamentation,0,33,False,4
141,69,1/4,27/2,95,0,match,0,33,True,4
184,67,1/4,69/4,113,0,match,0,34,True,5
187,67,1/8,35/2,114,0,repetition,0,34,False,5
188,66,1/8,141/8,115,0,ornamentation,0,34,False,5
189,67,1/16,71/4,116,0,repetition,0,34,True,5
188,66,1/8,141/8,115,0,ornamentation,0,35,True,6
189,67,1/16,71/4,116,0,repetition,0,35,False,6
190,66,1/16,285/16,117,0,ornamentation,0,35,False,6
191,64,1/16,143/8,118,0,ornamentation,0,35,False,6
192,66,1/16,287/16,119,0,ornamentation,0,35,False,6
195,67,1/4,18,120,0,match,0,35,True,6
230,65,1/4,85/4,137,0,match,0,36,True,7
233,67,1/8,173/8,139,0,ornamentation,0,36,False,7
235,65,1/8,87/4,140,0,adaptation,0,36,False,7
240,62,1/4,22,142,0,match,0,36,True,7
255,67,1/8,187/8,151,0,match,0,37,True,8
258,69,1/16,47/2,152,0,match,0,37,False,8
259,67,1/16,377/16,153,0,ornamentation,0,37,False,8
260,69,1/16,189/8,154,0,repetition,0,37,False,8
261,70,1/16,379/16,155,0,ornamentation,0,37,False,8
262,69,1/8,95/4,156,0,adaptation,0,37,True,8
261,70,1/16,379/16,155,0,ornamentation,0,38,True,9
262,69,1/8,95/4,156,0,adaptation,0,38,False,9
263,72,1/8,191/8,157,0,repetition,0,38,False,9
265,70,1/8,24,158,0,match,0,38,False,9
266,67,1/8,193/8,159,0,ornamentation,0,38,False,9
267,69,1/16,97/4,160,0,adaptation,0,38,True,9
266,67,1/8,193/8,159,0,ornamentation,0,39,True,10
267,69,1/16,97/4,160,0,adaptation,0,39,False,10
268,67,1/16,389/16,161,0,ornamentation,0,39,False,10
269,65,1/16,195/8,162,0,ornamentation,0,39,False,10
270,67,1/16,391/16,163,0,ornamentation,0,39,False,10
271,69,1/16,49/2,164,0,match,0,39,False,10
278,67,1/8,25,170,0,match,0,39,True,10
314,67,1/4,57/2,198,0,match,0,40,True,11
316,67,1/8,231/8,200,0,ornamentation,0,40,False,11
318,65,1/8,29,201,0,match,0,40,False,11
321,64,1/8,235/8,204,0,match,0,40,False,11
323,62,1/4,59/2,205,0,match,0,40,True,11
349,69,1/8,63/2,219,0,match,0,41,True,12
350,67,1/16,253/8,220,0,adaptation,0,41,False,12
351,69,1/16,507/16,221,0,ornamentation,0,41,False,12
352,70,1/16,127/4,222,0,adaptation,0,41,False,12
