note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
11,62,1/4,5/2,10,1,match,0,0,True
17,65,1/8,3,15,1,match,0,0,False
18,64,1/8,25/8,16,1,ornamentation,0,0,False
19,65,1/8,13/4,17,1,ornamentation,0,0,False
20,67,1/8,27/8,18,1,adaptation,0,0,False
22,65,1/4,7/2,19,1,match,0,0,True
30,65,1/4,17/4,25,1,match,0,1,True
32,65,1/8,37/8,27,1,ornamentation,0,1,False
33,64,1/8,19/4,28,1,match,0,1,False
34,62,1/8,39/8,29,1,match,0,1,False
36,60,1/4,5,30,1,match,0,1,True
54,62,1/4,13/2,43,1,match,1,2,True
62,69,1/16,113/16,49,1,ornamentation,0,2,False
63,67,1/16,57/8,50,1,adaptation,0,2,False
66,62,1/4,29/4,52,1,match,1,2,True
107,62,1/4,43/4,73,1,match,0,3,True
110,65,1/8,11,74,1,match,0,3,False
111,67,1/8,89/8,75,1,ornamentation,0,3,False
113,65,1/8,45/4,76,1,repetition,0,3,False
114,63,1/8,91/8,77,1,ficta,0,3,False
116,62,1/8,23/2,78,1,match,0,3,False
117,60,1/8,93/8,79,1,match,0,3,False
119,62,1/4,47/4,80,1,match,1,3,True
125,65,1/4,25/2,83,1,match,0,4,True
127,67,1/16,51/4,84,1,adaptation,0,4,False
128,65,1/16,205/16,85,1,ornamentation,0,4,False
129,64,1/16,103/8,86,1,ornamentation,0,4,False
130,65,1/16,207/16,87,1,ornamentation,0,4,False
133,67,1/8,13,88,1,adaptation,0,4,True
264,55,1/8,24,158,1,match,1,5,True
272,67,1/16,393/16,165,1,ornamentation,0,5,False
273,66,1/16,197/8,166,1,ornamentation,0,5,False
274,64,1/16,395/16,167,1,ornamentation,0,5,False
275,67,1/8,99/4,168,1,repetition,0,5,True
274,64,1/16,395/16,167,1,ornamentation,0,6,True
275,67,1/8,99/4,168,1,repetition,0,6,False
276,66,1/8,199/8,169,1,ornamentation,0,6,False
277,67,1/8,25,170,1,match,1,6,False
279,65,1/8,201/8,171,1,match,0,6,False
280,63,1/8,101/4,172,1,ficta,0,6,False
281,62,1/8,203/8,173,1,match,0,6,False
282,60,1/8,51/2,174,1,match,0,6,False
283,58,1/8,205/8,175,1,match,0,6,False
284,57,1/4,103/4,176,1,match,0,6,True
