note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
11;62;1/4;5/2;10;1;match;0;0;True;[non_monotonic]
17;65;1/8;3;15;1;match;0;0;False;[non_monotonic]
18;64;1/8;25/8;16;1;ornamentation;0;0;False;[non_monotonic]
19;65;1/8;13/4;17;1;ornamentation;0;0;False;[non_monotonic]
20;67;1/8;27/8;18;1;adaptation;0;0;False;[non_monotonic]
22;65;1/4;7/2;19;1;match;0;0;True;[non_monotonic]
125;65;1/4;25/2;83;1;match;0;4;True;[non_monotonic]
127;67;1/16;51/4;84;1;adaptation;0;4;False;[non_monotonic]
128;65;1/16;205/16;85;1;ornamentation;0;4;False;[non_monotonic]
129;64;1/16;103/8;86;1;ornamentation;0;4;False;[non_monotonic]
130;65;1/16;207/16;87;1;ornamentation;0;4;False;[non_monotonic]
133;67;1/8;13;88;1;adaptation;0;4;True;[non_monotonic]
587;63;1/4;107/2;377;1;match;0;17;True;[monotonic]
588;65;1/16;215/4;378;1;adaptation;0;17;False;[monotonic]
589;63;1/16;861/16;379;1;ornamentation;0;17;False;[monotonic]
590;62;1/16;431/8;380;1;ornamentation;0;17;False;[monotonic]
591;60;1/16;863/16;381;1;ornamentation;0;17;False;[monotonic]
594;62;1;54;382;1;repetition;0;17;True;[monotonic]
