output_csv,duration,count,sequence_ids
output/4406_51_adieu_mes_amours/4406_51_adieu_mes_amours_tab_abtab.csv,1/16,35,"0,2,3,5,9,10,14,15,17,18,20,22,24,27,30,31,33,35,36,37,39,40,41,42,43,45,47,49,51,54,57,59,62,64,66"
output/4406_51_adieu_mes_amours/4406_51_adieu_mes_amours_tab_abtab.csv,1/8,32,"1,4,6,7,8,11,12,13,16,19,21,23,25,26,28,29,32,34,38,44,46,48,50,52,53,55,56,58,60,61,63,65"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_abtab_fourstep.csv,1/16,22,"0,3,5,9,15,17,22,27,30,31,33,37,40,41,42,45,49,51,54,59,62,64"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_abtab_fourstep.csv,1/8,3,"44,50,60"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_abtab_non_chord.csv,1/16,22,"0,3,5,9,15,17,22,27,30,31,35,36,37,40,41,42,45,49,51,54,59,64"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_abtab_non_chord.csv,1/8,3,"12,48,53"
output/4406_51_adieu_mes_amours/4406_51_adieu_mes_amours_tab_raw.csv,1/16,35,"0,2,3,5,8,9,11,13,14,15,17,19,21,23,26,27,29,31,33,34,36,37,39,40,43,45,47,49,51,53,56,57,60,62,64"
output/4406_51_adieu_mes_amours/4406_51_adieu_mes_amours_tab_raw.csv,1/8,30,"1,4,6,7,10,12,16,18,20,22,24,25,28,30,32,35,38,41,42,44,46,48,50,52,54,55,58,59,61,63"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_raw_fourstep.csv,1/16,22,"0,3,5,8,13,14,19,23,26,27,29,34,37,39,40,45,49,51,53,57,60,62"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_raw_fourstep.csv,1/8,7,"12,32,41,42,44,50,58"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_raw_non_chord.csv,1/16,22,"0,3,5,8,13,14,19,23,26,27,31,33,34,37,39,40,45,49,51,53,57,62"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_tab_raw_non_chord.csv,1/8,3,"41,48,52"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-0.csv,1/16,23,"0,4,6,7,8,9,11,13,16,19,21,22,24,25,26,27,28,30,34,36,38,40,41"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-0.csv,1/8,19,"1,2,3,5,10,12,14,15,17,18,20,23,29,31,32,33,35,37,39"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-0_fourstep.csv,1/16,9,"11,16,19,22,25,26,27,36,38"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-0_fourstep.csv,1/8,1,29
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-1.csv,1/16,15,"0,2,3,5,8,10,11,13,14,15,16,19,20,21,24"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-1.csv,1/8,12,"1,4,6,7,9,12,17,18,22,23,25,26"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-1_fourstep.csv,1/16,8,"0,2,3,10,13,16,19,20"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-2.csv,1/16,3,"0,2,4"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-2.csv,1/8,2,"1,3"
output/4406_51_adieu_mes_amours/voices/4406_51_adieu_mes_amours_voice-3.csv,1/8,1,0
output/4406_51_adieu_mes_amours/4406_51_adieu_mes_amours_voices_merged.csv,1/16,41,"0,4,6,7,8,9,11,13,16,19,21,22,24,25,26,27,28,30,34,36,38,40,41,42,44,45,47,50,52,53,55,56,57,58,61,62,63,66,69,71,73"
output/4406_51_adieu_mes_amours/4406_51_adieu_mes_amours_voices_merged.csv,1/8,34,"1,2,3,5,10,12,14,15,17,18,20,23,29,31,32,33,35,37,39,43,46,48,49,51,54,59,60,64,65,67,68,70,72,74"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_voices_merged_fourstep.csv,1/16,17,"11,16,19,22,25,26,27,36,38,42,44,45,52,55,58,61,62"
output/4406_51_adieu_mes_amours/fourstep/4406_51_adieu_mes_amours_voices_merged_fourstep.csv,1/8,1,29
