note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
1;67;1/4;1/2;1;1;repetition;1;0;True
2;70;1/4;1/2;1;0;match;0;0;True
3;72;1/16;3/4;2;1;ornamentation;0;0;False
4;70;1/16;13/16;3;1;ornamentation;0;0;False
5;69;1/16;7/8;4;1;ornamentation;0;0;False
6;67;1/16;15/16;5;1;ornamentation;0;0;False
7;66;1/8;1;6;1;ficta;1;0;True
8;69;1/8;1;6;0;match;0;0;True
33;55;1/4;7/2;25;2;match;2;3;True
34;67;1/4;7/2;25;1;match;1;3;True
35;70;1/4;7/2;25;0;match;0;3;True
36;72;1/16;15/4;26;1;ornamentation;0;3;False
37;70;1/16;61/16;27;1;ornamentation;0;3;False
38;69;1/16;31/8;28;1;ornamentation;0;3;False
39;67;1/16;63/16;29;1;ornamentation;0;3;False
40;50;1/8;4;30;3;match;2;3;True
41;62;1/8;4;30;2;match;1;3;True
42;65;1/8;4;30;1;match;0;3;True
50;52;1/4;5;38;3;match;2;5;True
51;60;1/4;5;38;1;match;1;5;True
52;67;1/4;5;38;0;match;0;5;True
53;62;1/16;21/4;39;1;ornamentation;0;5;False
54;60;1/16;85/16;40;1;ornamentation;0;5;False
55;59;1/16;43/8;41;1;ornamentation;0;5;False
56;60;1/16;87/16;42;1;ornamentation;0;5;False
57;50;1/4;11/2;43;3;match;2;5;True
58;62;1/4;11/2;43;1;match;1;5;True
59;65;1/4;11/2;43;0;match;0;5;True
105;65;1/8;81/8;73;1;match;0;8;True
106;67;1/16;41/4;74;1;adaptation;0;8;False
107;65;1/16;165/16;75;2;ornamentation;0;8;False
108;64;1/16;83/8;76;2;ornamentation;0;8;False
109;65;1/16;167/16;77;2;ornamentation;0;8;False
110;55;1/4;21/2;78;2;match;0;8;True
168;64;1/8;121/8;118;1;match;0;13;True
169;64;1/16;61/4;119;1;repetition;0;13;False
170;62;1/16;245/16;120;0;ornamentation;0;13;False
171;61;1/16;123/8;121;0;ornamentation;0;13;False
