output_csv,duration,count,sequence_ids
output/4438_07_la_plus_des_plus/4438_07_la_plus_des_plus_tab_abtab.csv,1/16,20,"1,2,3,4,5,6,7,8,9,11,12,13,15,16,17,19,20,21,22,25"
output/4438_07_la_plus_des_plus/4438_07_la_plus_des_plus_tab_abtab.csv,1/8,7,"0,10,14,18,23,24,26"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_abtab_fourstep.csv,1/16,16,"1,2,3,4,6,7,8,9,11,12,15,16,17,19,21,22"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_abtab_fourstep.csv,1/8,1,23
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_abtab_non_chord.csv,1/16,15,"1,2,3,5,6,7,8,11,12,15,16,17,19,21,22"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_abtab_non_chord.csv,1/8,3,"14,24,26"
output/4438_07_la_plus_des_plus/4438_07_la_plus_des_plus_tab_raw.csv,1/16,20,"1,2,3,4,6,8,9,10,11,14,15,16,17,18,20,21,24,26,27,34"
output/4438_07_la_plus_des_plus/4438_07_la_plus_des_plus_tab_raw.csv,1/8,15,"0,5,7,12,13,19,22,23,25,28,29,30,31,32,33"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_raw_fourstep.csv,1/16,16,"1,2,3,4,8,9,10,11,14,15,17,18,20,21,26,27"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_raw_fourstep.csv,1/8,7,"5,7,12,19,22,25,28"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_raw_non_chord.csv,1/16,15,"1,2,3,6,8,9,10,14,15,17,18,20,21,26,27"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_tab_raw_non_chord.csv,1/8,1,29
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-2.csv,1/16,3,"0,1,2"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-2_fourstep.csv,1/16,1,1
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-1.csv,1/16,9,"0,1,2,3,5,6,7,9,10"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-1.csv,1/8,2,"4,8"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-1_fourstep.csv,1/16,6,"0,1,2,3,6,9"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-0.csv,1/16,11,"1,2,3,4,6,7,9,10,11,12,15"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-0.csv,1/8,6,"0,5,8,13,14,16"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-0_fourstep.csv,1/16,6,"1,3,4,6,9,12"
output/4438_07_la_plus_des_plus/voices/4438_07_la_plus_des_plus_voice-0_fourstep.csv,1/8,1,13
output/4438_07_la_plus_des_plus/4438_07_la_plus_des_plus_voices_merged.csv,1/16,23,"0,1,2,3,4,5,6,8,9,10,12,13,15,16,17,18,20,21,23,24,25,26,29"
output/4438_07_la_plus_des_plus/4438_07_la_plus_des_plus_voices_merged.csv,1/8,8,"7,11,14,19,22,27,28,30"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_voices_merged_fourstep.csv,1/16,13,"1,3,4,5,6,9,12,15,17,18,20,23,26"
output/4438_07_la_plus_des_plus/fourstep/4438_07_la_plus_des_plus_voices_merged_fourstep.csv,1/8,1,27
