note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
26,53,1/4,21/4,16,2,match,1,0,True
27,69,1/4,21/4,16,0,match,0,0,True
28,57,1/8,11/2,17,1,match,0,0,False
29,69,1/8,45/8,18,0,ornamentation,0,0,False
30,52,1/8,23/4,19,2,match,1,0,False
31,67,1/8,23/4,19,0,match,0,0,False
32,50,1/8,47/8,20,2,match,1,0,False
33,65,1/8,47/8,20,0,match,0,0,False
34,48,1/4,6,21,2,match,2,0,True
35,57,1/4,6,21,1,repetition,1,0,True
36,64,1/4,6,21,0,match,0,0,True
42,57,1/4,7,25,2,match,1,1,True
43,60,1/4,7,25,1,match,0,1,True
44,62,1/16,29/4,26,1,ornamentation,0,1,False
45,60,1/16,117/16,27,1,ornamentation,0,1,False
46,59,1/16,59/8,28,1,ornamentation,0,1,False
47,60,1/16,119/16,29,1,ornamentation,0,1,False
48,50,1/2,15/2,30,2,match,2,1,True
49,62,1/2,15/2,30,1,match,1,1,True
50,69,1/2,15/2,30,0,match,0,1,True
55,55,1/4,17/2,33,2,match,2,2,True
56,62,1/4,17/2,33,1,repetition,1,2,True
57,71,1/4,17/2,33,0,match,0,2,True
58,60,1/16,35/4,34,1,match,0,2,False
59,59,1/16,141/16,35,2,ornamentation,0,2,False
60,57,1/16,71/8,36,2,adaptation,0,2,False
61,55,1/16,143/16,37,2,ornamentation,0,2,False
62,57,1/2,9,38,2,match,2,2,True
62,57,1/2,9,38,1,match,1,2,True
63,72,1/2,9,38,0,match,0,2,True
76,53,1/4,11,45,2,match,2,3,True
77,62,1/4,11,45,1,repetition,1,3,True
78,69,1/4,11,45,0,match,0,3,True
79,64,1/16,45/4,46,1,adaptation,0,3,False
80,62,1/16,181/16,47,1,ornamentation,0,3,False
81,60,1/16,91/8,48,1,repetition,0,3,False
82,62,1/16,183/16,49,1,ornamentation,0,3,False
83,60,1/2,23/2,50,2,match,2,3,True
84,64,1/2,23/2,50,1,match,1,3,True
85,67,1/2,23/2,50,0,match,0,3,True
92,57,1/4,25/2,54,2,match,2,4,True
93,60,1/4,25/2,54,1,match,1,4,True
94,72,1/4,25/2,54,0,match,0,4,True
95,55,1/16,51/4,55,2,match,2,4,False
96,62,1/16,51/4,55,1,match,1,4,False
97,71,1/16,51/4,55,0,match,0,4,False
98,69,1/16,205/16,56,0,ornamentation,0,4,False
99,71,1/16,103/8,57,0,ornamentation,0,4,False
100,72,1/16,207/16,58,0,ornamentation,0,4,False
101,62,1/8,13,59,1,repetition,1,4,True
102,71,1/8,13,59,0,repetition,0,4,True
100,72,1/16,207/16,58,0,ornamentation,0,5,True
101,62,1/8,13,59,1,repetition,1,5,False
102,71,1/8,13,59,0,repetition,0,5,False
103,60,1/8,105/8,60,1,match,1,5,False
104,69,1/8,105/8,60,0,match,0,5,False
105,59,1/8,53/4,61,1,match,1,5,False
106,69,1/8,53/4,61,0,match,0,5,False
107,57,1/8,107/8,62,1,match,0,5,False
108,59,1/16,27/2,63,1,match,0,5,True
107,57,1/8,107/8,62,1,match,0,6,True
108,59,1/16,27/2,63,1,match,0,6,False
109,69,1/16,217/16,64,0,ornamentation,0,6,False
110,66,1/16,109/8,65,0,ornamentation,0,6,False
111,68,1/16,219/16,66,0,ornamentation,0,6,False
112,69,1/16,55/4,67,0,repetition,0,6,False
113,68,1/16,221/16,68,0,ornamentation,0,6,False
114,66,1/16,111/8,69,0,ornamentation,0,6,False
115,68,1/16,223/16,70,0,ornamentation,0,6,False
116,45,1/2,14,71,2,adaptation,2,6,True
117,57,1/2,14,71,1,match,1,6,True
118,69,1/2,14,71,0,match,0,6,True
119,45,1/4,29/2,72,2,match,2,7,True
120,57,1/4,29/2,72,1,repetition,1,7,True
121,69,1/4,29/2,72,0,repetition,0,7,True
122,67,1/8,59/4,73,0,match,0,7,False
123,65,1/8,119/8,74,0,match,0,7,False
124,47,1/8,15,75,2,match,1,7,False
125,67,1/8,15,75,0,match,0,7,False
126,65,1/8,121/8,76,0,match,0,7,False
127,67,1/16,61/4,77,0,adaptation,0,7,True
126,65,1/8,121/8,76,0,match,0,8,True
127,67,1/16,61/4,77,0,adaptation,0,8,False
128,65,1/16,245/16,78,0,ornamentation,0,8,False
129,64,1/16,123/8,79,0,repetition,0,8,False
130,62,1/16,247/16,80,0,ornamentation,0,8,False
131,45,1/4,31/2,81,2,match,2,8,True
132,57,1/4,31/2,81,1,match,1,8,True
133,60,1/4,31/2,81,0,match,0,8,True
145,57,1/4,35/2,89,2,match,2,9,True
146,60,1/4,35/2,89,1,repetition,1,9,True
147,64,1/4,35/2,89,0,match,0,9,True
148,62,1/16,71/4,90,1,adaptation,0,9,False
149,60,1/16,285/16,91,1,ornamentation,0,9,False
150,59,1/16,143/8,92,1,repetition,0,9,False
151,57,1/16,287/16,93,1,ornamentation,0,9,False
152,59,1/2,18,94,1,match,1,9,True
153,62,1/2,18,94,0,match,0,9,True
180,53,1/4,87/4,107,2,match,2,10,True
181,65,1/4,87/4,107,1,match,1,10,True
182,69,1/4,87/4,107,0,match,0,10,True
183,67,1/16,22,108,1,ornamentation,0,10,False
184,65,1/16,353/16,109,1,ornamentation,0,10,False
185,64,1/16,177/8,110,1,ornamentation,0,10,False
186,65,1/16,355/16,111,1,ornamentation,0,10,False
187,55,1/8,89/4,112,2,match,2,10,True
188,64,1/8,89/4,112,1,match,1,10,True
189,67,1/8,89/4,112,0,match,0,10,True
200,48,1/4,47/2,118,2,match,2,11,True
201,55,1/4,47/2,118,1,match,1,11,True
202,64,1/4,47/2,118,0,match,0,11,True
203,50,1/16,95/4,119,2,match,1,11,False
204,65,1/16,95/4,119,0,match,0,11,False
205,64,1/16,381/16,120,0,ornamentation,0,11,False
206,65,1/16,191/8,121,0,ornamentation,0,11,False
207,67,1/16,383/16,122,0,ornamentation,0,11,False
208,50,1/8,24,123,2,repetition,2,11,True
209,57,1/8,24,123,1,match,1,11,True
210,65,1/8,24,123,0,repetition,0,11,True
207,67,1/16,383/16,122,0,ornamentation,0,12,True
208,50,1/8,24,123,2,repetition,2,12,False
209,57,1/8,24,123,1,match,1,12,False
210,65,1/8,24,123,0,repetition,0,12,False
211,48,1/8,193/8,124,2,match,1,12,False
212,64,1/8,193/8,124,0,match,0,12,False
213,50,1/8,97/4,125,2,match,1,12,False
214,62,1/8,97/4,125,0,match,0,12,False
215,60,1/8,195/8,126,0,match,0,12,False
216,52,1/4,49/2,127,2,match,2,12,True
217,55,1/4,49/2,127,1,match,1,12,True
218,59,1/4,49/2,127,0,match,0,12,True
219,53,1/4,99/4,128,2,match,2,13,True
220,57,1/4,99/4,128,1,match,1,13,True
220,57,1/4,99/4,128,0,match,0,13,True
221,53,1/8,25,129,2,repetition,0,13,False
222,52,1/8,201/8,130,2,match,0,13,False
223,50,1/8,101/4,131,1,repetition,1,13,False
224,62,1/8,101/4,131,0,match,0,13,False
225,53,1/8,203/8,132,1,ornamentation,0,13,False
227,55,1/8,51/2,133,2,match,1,13,False
226,52,1/8,51/2,133,1,match,0,13,False
228,61,1/8,205/8,134,0,ornamentation,0,13,False
229,62,1/16,103/4,135,0,repetition,0,13,True
228,61,1/8,205/8,134,0,ornamentation,0,14,True
229,62,1/16,103/4,135,0,repetition,0,14,False
230,61,1/16,413/16,136,0,ornamentation,0,14,False
231,59,1/16,207/8,137,0,adaptation,0,14,False
232,61,1/16,415/16,138,0,ornamentation,0,14,False
234,59,1/4,26,139,2,ficta,2,14,True
233,50,1/4,26,139,1,match,1,14,True
235,62,1/4,26,139,0,match,0,14,True
