note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
27,69,1/4,21/4,16,0,match,0,14,True,0
29,69,1/8,45/8,18,0,ornamentation,0,14,False,0
31,67,1/8,23/4,19,0,match,0,14,False,0
33,65,1/8,47/8,20,0,match,0,14,False,0
36,64,1/4,6,21,0,match,0,14,True,0
94,72,1/4,25/2,54,0,match,0,15,True,1
97,71,1/16,51/4,55,0,match,0,15,False,1
98,69,1/16,205/16,56,0,ornamentation,0,15,False,1
99,71,1/16,103/8,57,0,ornamentation,0,15,False,1
100,72,1/16,207/16,58,0,ornamentation,0,15,False,1
102,71,1/8,13,59,0,repetition,0,15,True,1
106,69,1/8,53/4,61,0,match,0,16,True,2
109,69,1/16,217/16,64,0,ornamentation,0,16,False,2
110,66,1/16,109/8,65,0,ornamentation,0,16,False,2
111,68,1/16,219/16,66,0,ornamentation,0,16,False,2
112,69,1/16,55/4,67,0,repetition,0,16,False,2
113,68,1/16,221/16,68,0,ornamentation,0,16,False,2
114,66,1/16,111/8,69,0,ornamentation,0,16,False,2
115,68,1/16,223/16,70,0,ornamentation,0,16,False,2
118,69,1/2,14,71,0,match,0,16,True,2
126,65,1/8,121/8,76,0,match,0,17,True,3
127,67,1/16,61/4,77,0,adaptation,0,17,False,3
128,65,1/16,245/16,78,0,ornamentation,0,17,False,3
129,64,1/16,123/8,79,0,repetition,0,17,False,3
130,62,1/16,247/16,80,0,ornamentation,0,17,False,3
133,60,1/4,31/2,81,0,match,0,17,True,3
202,64,1/4,47/2,118,0,match,0,18,True,4
204,65,1/16,95/4,119,0,match,0,18,False,4
205,64,1/16,381/16,120,0,ornamentation,0,18,False,4
206,65,1/16,191/8,121,0,ornamentation,0,18,False,4
207,67,1/16,383/16,122,0,ornamentation,0,18,False,4
210,65,1/8,24,123,0,repetition,0,18,True,4
220,57,1/4,99/4,128,0,match,0,19,True,5
224,62,1/8,101/4,131,0,match,0,19,False,5
228,61,1/8,205/8,134,0,ornamentation,0,19,False,5
229,62,1/16,103/4,135,0,repetition,0,19,True,5
228,61,1/8,205/8,134,0,ornamentation,0,20,True,6
229,62,1/16,103/4,135,0,repetition,0,20,False,6
230,61,1/16,413/16,136,0,ornamentation,0,20,False,6
231,59,1/16,207/8,137,0,adaptation,0,20,False,6
232,61,1/16,415/16,138,0,ornamentation,0,20,False,6
235,62,1/4,26,139,0,match,0,20,True,6
256,60,1/4,57/2,153,0,repetition,0,21,True,7
257,62,1/16,115/4,154,0,adaptation,0,21,False,7
258,60,1/16,461/16,155,0,ornamentation,0,21,False,7
259,59,1/16,231/8,156,0,repetition,0,21,False,7
263,60,1/16,29,158,0,match,0,21,False,7
264,59,1/16,465/16,159,0,ornamentation,0,21,False,7
265,60,1/16,233/8,160,0,ornamentation,0,21,False,7
266,62,1/16,467/16,161,0,ornamentation,0,21,False,7
267,60,1/8,117/4,162,0,repetition,0,21,True,7
266,62,1/16,467/16,161,0,ornamentation,0,22,True,8
267,60,1/8,117/4,162,0,repetition,0,22,False,8
268,62,1/8,235/8,163,0,ornamentation,0,22,False,8
271,64,1/2,59/2,164,0,match,0,22,True,8
293,71,1/4,33,177,0,match,0,23,True,9
294,72,1/16,133/4,178,0,ornamentation,0,23,False,9
295,71,1/16,533/16,179,0,ornamentation,0,23,False,9
296,69,1/16,267/8,180,0,ornamentation,0,23,False,9
297,71,1/16,535/16,181,0,ornamentation,0,23,False,9
300,72,1/2,67/2,182,0,match,0,23,True,9
348,65,1/8,39,209,0,match,0,24,True,10
350,64,1/16,157/4,211,0,match,0,24,False,10
353,62,1/16,631/16,214,0,ornamentation,0,24,False,10
355,64,1/8,79/2,215,0,match,0,24,True,10
377,67,1/8,165/4,229,0,match,0,25,True,11
381,67,1/16,665/16,232,0,ornamentation,0,25,False,11
382,66,1/16,333/8,233,0,ornamentation,0,25,False,11
383,64,1/16,667/16,234,0,ornamentation,0,25,False,11
384,67,1/16,167/4,235,0,repetition,0,25,False,11
385,66,1/16,669/16,236,0,ornamentation,0,25,False,11
386,64,1/16,335/8,237,0,ornamentation,0,25,False,11
387,66,1/16,671/16,238,0,ornamentation,0,25,False,11
389,67,1/4,42,239,0,match,0,25,True,11
398,64,1/4,43,245,0,match,0,26,True,12
399,65,1/16,173/4,246,0,adaptation,0,26,False,12
400,64,1/16,693/16,247,0,ornamentation,0,26,False,12
401,62,1/16,347/8,248,0,repetition,0,26,False,12
402,60,1/16,695/16,249,0,ornamentation,0,26,False,12
404,62,1/4,87/2,250,0,match,0,26,True,12
455,65,1/4,197/4,280,0,match,0,27,True,13
456,65,1/8,99/2,281,0,ornamentation,0,27,False,13
457,64,1/8,397/8,282,0,match,0,27,False,13
459,62,1/8,199/4,283,0,match,0,27,False,13
460,60,1/8,399/8,284,0,match,0,27,False,13
463,59,1/4,50,285,0,match,0,27,True,13
471,57,1/4,51,289,0,match,0,28,True,14
472,57,1/8,205/4,290,0,ornamentation,0,28,False,14
473,59,1/8,411/8,291,0,match,0,28,False,14
474,60,1/8,103/2,292,0,match,0,28,False,14
475,57,1/8,413/8,293,0,match,0,28,False,14
477,60,1/4,207/4,294,0,match,0,28,True,14
528,69,1/4,221/4,317,0,match,0,29,True,15
531,69,1/16,889/16,319,0,ornamentation,0,29,False,15
532,68,1/16,445/8,320,0,ornamentation,0,29,False,15
533,66,1/16,891/16,321,0,ornamentation,0,29,False,15
534,69,1/8,223/4,322,0,repetition,0,29,True,15
533,66,1/16,891/16,321,0,ornamentation,0,30,True,16
534,69,1/8,223/4,322,0,repetition,0,30,False,16
535,68,1/8,447/8,323,0,ornamentation,0,30,False,16
538,69,1,56,324,0,match,0,30,True,16
43,60,1/4,7,25,1,match,0,3,True,0
44,62,1/16,29/4,26,1,ornamentation,0,3,False,0
45,60,1/16,117/16,27,1,ornamentation,0,3,False,0
46,59,1/16,59/8,28,1,ornamentation,0,3,False,0
47,60,1/16,119/16,29,1,ornamentation,0,3,False,0
49,62,1/2,15/2,30,1,match,1,3,True,0
77,62,1/4,11,45,1,repetition,1,4,True,1
79,64,1/16,45/4,46,1,adaptation,0,4,False,1
80,62,1/16,181/16,47,1,ornamentation,0,4,False,1
81,60,1/16,91/8,48,1,repetition,0,4,False,1
82,62,1/16,183/16,49,1,ornamentation,0,4,False,1
84,64,1/2,23/2,50,1,match,1,4,True,1
146,60,1/4,35/2,89,1,repetition,1,5,True,2
148,62,1/16,71/4,90,1,adaptation,0,5,False,2
149,60,1/16,285/16,91,1,ornamentation,0,5,False,2
150,59,1/16,143/8,92,1,repetition,0,5,False,2
151,57,1/16,287/16,93,1,ornamentation,0,5,False,2
152,59,1/2,18,94,1,match,1,5,True,2
181,65,1/4,87/4,107,1,match,1,6,True,3
