note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
42;57;1/4;7;25;2;match;1;1;True;[non_monotonic]
43;60;1/4;7;25;1;match;0;1;True;[non_monotonic]
44;62;1/16;29/4;26;1;ornamentation;0;1;False;[non_monotonic]
45;60;1/16;117/16;27;1;ornamentation;0;1;False;[non_monotonic]
46;59;1/16;59/8;28;1;ornamentation;0;1;False;[non_monotonic]
47;60;1/16;119/16;29;1;ornamentation;0;1;False;[non_monotonic]
48;50;1/2;15/2;30;2;match;2;1;True;[non_monotonic]
49;62;1/2;15/2;30;1;match;1;1;True;[non_monotonic]
50;69;1/2;15/2;30;0;match;0;1;True;[non_monotonic]
55;55;1/4;17/2;33;2;match;2;2;True;[monotonic]
56;62;1/4;17/2;33;1;repetition;1;2;True;[monotonic]
57;71;1/4;17/2;33;0;match;0;2;True;[monotonic]
58;60;1/16;35/4;34;1;match;0;2;False;[monotonic]
59;59;1/16;141/16;35;2;ornamentation;0;2;False;[monotonic]
60;57;1/16;71/8;36;2;adaptation;0;2;False;[monotonic]
61;55;1/16;143/16;37;2;ornamentation;0;2;False;[monotonic]
62;57;1/2;9;38;2;match;2;2;True;[monotonic]
62;57;1/2;9;38;1;match;1;2;True;[monotonic]
63;72;1/2;9;38;0;match;0;2;True;[monotonic]
76;53;1/4;11;45;2;match;2;3;True;[non_monotonic]
77;62;1/4;11;45;1;repetition;1;3;True;[non_monotonic]
78;69;1/4;11;45;0;match;0;3;True;[non_monotonic]
79;64;1/16;45/4;46;1;adaptation;0;3;False;[non_monotonic]
80;62;1/16;181/16;47;1;ornamentation;0;3;False;[non_monotonic]
81;60;1/16;91/8;48;1;repetition;0;3;False;[non_monotonic]
82;62;1/16;183/16;49;1;ornamentation;0;3;False;[non_monotonic]
83;60;1/2;23/2;50;2;match;2;3;True;[non_monotonic]
84;64;1/2;23/2;50;1;match;1;3;True;[non_monotonic]
85;67;1/2;23/2;50;0;match;0;3;True;[non_monotonic]
92;57;1/4;25/2;54;2;match;2;4;True;[non_monotonic_chords]
93;60;1/4;25/2;54;1;match;1;4;True;[non_monotonic_chords]
94;72;1/4;25/2;54;0;match;0;4;True;[non_monotonic_chords]
95;55;1/16;51/4;55;2;match;2;4;False;[non_monotonic_chords]
96;62;1/16;51/4;55;1;match;1;4;False;[non_monotonic_chords]
97;71;1/16;51/4;55;0;match;0;4;False;[non_monotonic_chords]
98;69;1/16;205/16;56;0;ornamentation;0;4;False;[non_monotonic_chords]
99;71;1/16;103/8;57;0;ornamentation;0;4;False;[non_monotonic_chords]
100;72;1/16;207/16;58;0;ornamentation;0;4;False;[non_monotonic_chords]
101;62;1/8;13;59;1;repetition;1;4;True;[non_monotonic_chords]
102;71;1/8;13;59;0;repetition;0;4;True;[non_monotonic_chords]
126;65;1/8;121/8;76;0;match;0;6;True;[monotonic_perfect_fifth_0_0]
127;67;1/16;61/4;77;0;adaptation;0;6;False;[monotonic_perfect_fifth_0_0]
128;65;1/16;245/16;78;0;ornamentation;0;6;False;[monotonic_perfect_fifth_0_0]
129;64;1/16;123/8;79;0;repetition;0;6;False;[monotonic_perfect_fifth_0_0]
130;62;1/16;247/16;80;0;ornamentation;0;6;False;[monotonic_perfect_fifth_0_0]
131;45;1/4;31/2;81;2;match;2;6;True;[monotonic_perfect_fifth_0_0]
132;57;1/4;31/2;81;1;match;1;6;True;[monotonic_perfect_fifth_0_0]
133;60;1/4;31/2;81;0;match;0;6;True;[monotonic_perfect_fifth_0_0]
145;57;1/4;35/2;89;2;match;2;7;True;[monotonic]
146;60;1/4;35/2;89;1;repetition;1;7;True;[monotonic]
147;64;1/4;35/2;89;0;match;0;7;True;[monotonic]
148;62;1/16;71/4;90;1;adaptation;0;7;False;[monotonic]
149;60;1/16;285/16;91;1;ornamentation;0;7;False;[monotonic]
150;59;1/16;143/8;92;1;repetition;0;7;False;[monotonic]
151;57;1/16;287/16;93;1;ornamentation;0;7;False;[monotonic]
152;59;1/2;18;94;1;match;1;7;True;[monotonic]
