note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
42;57;1/4;7;25;2;match;1;1;True
43;60;1/4;7;25;1;match;0;1;True
44;62;1/16;29/4;26;1;ornamentation;0;1;False
45;60;1/16;117/16;27;1;ornamentation;0;1;False
46;59;1/16;59/8;28;1;ornamentation;0;1;False
47;60;1/16;119/16;29;1;ornamentation;0;1;False
48;50;1/2;15/2;30;2;match;2;1;True
49;62;1/2;15/2;30;1;match;1;1;True
50;69;1/2;15/2;30;0;match;0;1;True
55;55;1/4;17/2;33;2;match;2;2;True
56;62;1/4;17/2;33;1;repetition;1;2;True
57;71;1/4;17/2;33;0;match;0;2;True
58;60;1/16;35/4;34;1;match;0;2;False
59;59;1/16;141/16;35;2;ornamentation;0;2;False
60;57;1/16;71/8;36;2;adaptation;0;2;False
61;55;1/16;143/16;37;2;ornamentation;0;2;False
62;57;1/2;9;38;2;match;2;2;True
62;57;1/2;9;38;1;match;1;2;True
63;72;1/2;9;38;0;match;0;2;True
76;53;1/4;11;45;2;match;2;3;True
77;62;1/4;11;45;1;repetition;1;3;True
78;69;1/4;11;45;0;match;0;3;True
79;64;1/16;45/4;46;1;adaptation;0;3;False
80;62;1/16;181/16;47;1;ornamentation;0;3;False
81;60;1/16;91/8;48;1;repetition;0;3;False
82;62;1/16;183/16;49;1;ornamentation;0;3;False
83;60;1/2;23/2;50;2;match;2;3;True
84;64;1/2;23/2;50;1;match;1;3;True
85;67;1/2;23/2;50;0;match;0;3;True
107;57;1/8;107/8;62;1;match;0;5;True
108;59;1/16;27/2;63;1;match;0;5;False
109;69;1/16;217/16;64;0;ornamentation;0;5;False
110;66;1/16;109/8;65;0;ornamentation;0;5;False
111;68;1/16;219/16;66;0;ornamentation;0;5;False
112;69;1/16;55/4;67;0;repetition;0;5;False
113;68;1/16;221/16;68;0;ornamentation;0;5;False
114;66;1/16;111/8;69;0;ornamentation;0;5;False
115;68;1/16;223/16;70;0;ornamentation;0;5;False
116;45;1/2;14;71;2;adaptation;2;5;True
117;57;1/2;14;71;1;match;1;5;True
118;69;1/2;14;71;0;match;0;5;True
126;65;1/8;121/8;76;0;match;0;6;True
127;67;1/16;61/4;77;0;adaptation;0;6;False
128;65;1/16;245/16;78;0;ornamentation;0;6;False
129;64;1/16;123/8;79;0;repetition;0;6;False
130;62;1/16;247/16;80;0;ornamentation;0;6;False
131;45;1/4;31/2;81;2;match;2;6;True
132;57;1/4;31/2;81;1;match;1;6;True
133;60;1/4;31/2;81;0;match;0;6;True
145;57;1/4;35/2;89;2;match;2;7;True
146;60;1/4;35/2;89;1;repetition;1;7;True
147;64;1/4;35/2;89;0;match;0;7;True
148;62;1/16;71/4;90;1;adaptation;0;7;False
149;60;1/16;285/16;91;1;ornamentation;0;7;False
150;59;1/16;143/8;92;1;repetition;0;7;False
151;57;1/16;287/16;93;1;ornamentation;0;7;False
152;59;1/2;18;94;1;match;1;7;True
153;62;1/2;18;94;0;match;0;7;True
180;53;1/4;87/4;107;2;match;2;8;True
181;65;1/4;87/4;107;1;match;1;8;True
182;69;1/4;87/4;107;0;match;0;8;True
183;67;1/16;22;108;1;ornamentation;0;8;False
184;65;1/16;353/16;109;1;ornamentation;0;8;False
185;64;1/16;177/8;110;1;ornamentation;0;8;False
186;65;1/16;355/16;111;1;ornamentation;0;8;False
187;55;1/8;89/4;112;2;match;2;8;True
188;64;1/8;89/4;112;1;match;1;8;True
189;67;1/8;89/4;112;0;match;0;8;True
228;61;1/8;205/8;134;0;ornamentation;0;11;True
229;62;1/16;103/4;135;0;repetition;0;11;False
230;61;1/16;413/16;136;0;ornamentation;0;11;False
231;59;1/16;207/8;137;0;adaptation;0;11;False
232;61;1/16;415/16;138;0;ornamentation;0;11;False
234;59;1/4;26;139;2;ficta;2;11;True
233;50;1/4;26;139;1;match;1;11;True
235;62;1/4;26;139;0;match;0;11;True
243;55;1/8;217/8;144;2;match;0;12;True
244;57;1/16;109/4;145;2;adaptation;0;12;False
245;55;1/16;437/16;146;2;ornamentation;0;12;False
246;53;1/16;219/8;147;2;repetition;0;12;False
247;52;1/16;439/16;148;2;ornamentation;0;12;False
248;50;1/4;55/2;149;2;match;1;12;True
249;57;1/4;55/2;149;0;match;0;12;True
266;62;1/16;467/16;161;0;ornamentation;0;14;True
267;60;1/8;117/4;162;0;repetition;0;14;False
268;62;1/8;235/8;163;0;ornamentation;0;14;False
269;45;1/2;59/2;164;2;repetition;2;14;True
270;57;1/2;59/2;164;1;match;1;14;True
271;64;1/2;59/2;164;0;match;0;14;True
291;55;1/4;33;177;2;match;2;15;True
292;62;1/4;33;177;1;match;1;15;True
293;71;1/4;33;177;0;match;0;15;True
294;72;1/16;133/4;178;0;ornamentation;0;15;False
295;71;1/16;533/16;179;0;ornamentation;0;15;False
296;69;1/16;267/8;180;0;ornamentation;0;15;False
297;71;1/16;535/16;181;0;ornamentation;0;15;False
298;57;1/2;67/2;182;2;match;2;15;True
299;60;1/2;67/2;182;1;match;1;15;True
300;72;1/2;67/2;182;0;match;0;15;True
326;52;1/4;37;196;2;repetition;1;16;True
327;60;1/4;37;196;1;match;0;16;True
328;62;1/16;149/4;197;1;adaptation;0;16;False
329;60;1/16;597/16;198;1;ornamentation;0;16;False
330;59;1/16;299/8;199;1;repetition;0;16;False
331;57;1/16;599/16;200;1;ornamentation;0;16;False
332;52;1/4;75/2;201;2;repetition;1;16;True
333;59;1/4;75/2;201;1;match;0;16;True
349;62;1/8;313/8;210;1;match;0;17;True
350;64;1/16;157/4;211;0;match;0;17;False
351;62;1/16;629/16;212;1;ornamentation;0;17;False
352;61;1/16;315/8;213;1;adaptation;0;17;False
353;62;1/16;631/16;214;0;ornamentation;0;17;False
354;45;1/8;79/2;215;2;match;1;17;True
355;64;1/8;79/2;215;0;match;0;17;True
356;61;1/8;317/8;216;1;ornamentation;0;19;True
357;62;1/16;159/4;217;1;repetition;0;19;False
358;61;1/16;637/16;218;1;ornamentation;0;19;False
359;59;1/16;319/8;219;1;ornamentation;0;19;False
360;61;1/16;639/16;220;1;ornamentation;0;19;False
361;62;1/4;40;221;1;match;1;19;True
361;62;1/4;40;221;0;match;0;19;True
397;60;1/4;43;245;2;match;1;21;True
398;64;1/4;43;245;0;match;0;21;True
399;65;1/16;173/4;246;0;adaptation;0;21;False
400;64;1/16;693/16;247;0;ornamentation;0;21;False
401;62;1/16;347/8;248;0;repetition;0;21;False
402;60;1/16;695/16;249;0;ornamentation;0;21;False
403;55;1/4;87/2;250;2;match;1;21;True
404;62;1/4;87/2;250;0;match;0;21;True
423;53;1/4;46;262;2;match;1;22;True
424;69;1/4;46;262;0;match;0;22;True
425;53;1/16;185/4;263;2;repetition;0;22;False
426;52;1/16;741/16;264;2;ornamentation;0;22;False
427;53;1/16;371/8;265;2;adaptation;0;22;False
428;55;1/16;743/16;266;1;ornamentation;0;22;False
429;45;1/4;93/2;267;2;match;2;22;True
430;57;1/4;93/2;267;1;match;1;22;True
431;72;1/4;93/2;267;0;match;0;22;True
470;45;1/4;51;289;2;match;2;24;True
471;57;1/4;51;289;1;match;1;24;True
471;57;1/4;51;289;0;match;0;24;True
472;57;1/8;205/4;290;0;ornamentation;0;24;False
473;59;1/8;411/8;291;0;match;0;24;False
474;60;1/8;103/2;292;0;match;0;24;False
475;57;1/8;413/8;293;0;match;0;24;False
476;45;1/4;207/4;294;2;match;1;24;True
477;60;1/4;207/4;294;0;match;0;24;True
533;66;1/16;891/16;321;0;ornamentation;0;26;True
534;69;1/8;223/4;322;0;repetition;0;26;False
535;68;1/8;447/8;323;0;ornamentation;0;26;False
536;45;1;56;324;2;match;2;26;True
537;57;1;56;324;1;match;1;26;True
538;69;1;56;324;0;match;0;26;True
