note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
94;72;1/4;25/2;54;0;match;0;1;True;[non_monotonic]
97;71;1/16;51/4;55;0;match;0;1;False;[non_monotonic]
98;69;1/16;205/16;56;0;ornamentation;0;1;False;[non_monotonic]
99;71;1/16;103/8;57;0;ornamentation;0;1;False;[non_monotonic]
100;72;1/16;207/16;58;0;ornamentation;0;1;False;[non_monotonic]
102;71;1/8;13;59;0;repetition;0;1;True;[non_monotonic]
126;65;1/8;121/8;76;0;match;0;3;True;[monotonic_perfect_fifth_0_0]
127;67;1/16;61/4;77;0;adaptation;0;3;False;[monotonic_perfect_fifth_0_0]
128;65;1/16;245/16;78;0;ornamentation;0;3;False;[monotonic_perfect_fifth_0_0]
129;64;1/16;123/8;79;0;repetition;0;3;False;[monotonic_perfect_fifth_0_0]
130;62;1/16;247/16;80;0;ornamentation;0;3;False;[monotonic_perfect_fifth_0_0]
133;60;1/4;31/2;81;0;match;0;3;True;[monotonic_perfect_fifth_0_0]
202;64;1/4;47/2;118;0;match;0;4;True;[non_monotonic]
204;65;1/16;95/4;119;0;match;0;4;False;[non_monotonic]
205;64;1/16;381/16;120;0;ornamentation;0;4;False;[non_monotonic]
206;65;1/16;191/8;121;0;ornamentation;0;4;False;[non_monotonic]
207;67;1/16;383/16;122;0;ornamentation;0;4;False;[non_monotonic]
210;65;1/8;24;123;0;repetition;0;4;True;[non_monotonic]
228;61;1/8;205/8;134;0;ornamentation;0;6;True;[non_monotonic]
229;62;1/16;103/4;135;0;repetition;0;6;False;[non_monotonic]
230;61;1/16;413/16;136;0;ornamentation;0;6;False;[non_monotonic]
231;59;1/16;207/8;137;0;adaptation;0;6;False;[non_monotonic]
232;61;1/16;415/16;138;0;ornamentation;0;6;False;[non_monotonic]
235;62;1/4;26;139;0;match;0;6;True;[non_monotonic]
293;71;1/4;33;177;0;match;0;9;True;[non_monotonic]
294;72;1/16;133/4;178;0;ornamentation;0;9;False;[non_monotonic]
295;71;1/16;533/16;179;0;ornamentation;0;9;False;[non_monotonic]
296;69;1/16;267/8;180;0;ornamentation;0;9;False;[non_monotonic]
297;71;1/16;535/16;181;0;ornamentation;0;9;False;[non_monotonic]
300;72;1/2;67/2;182;0;match;0;9;True;[non_monotonic]
398;64;1/4;43;245;0;match;0;12;True;[monotonic]
399;65;1/16;173/4;246;0;adaptation;0;12;False;[monotonic]
400;64;1/16;693/16;247;0;ornamentation;0;12;False;[monotonic]
401;62;1/16;347/8;248;0;repetition;0;12;False;[monotonic]
402;60;1/16;695/16;249;0;ornamentation;0;12;False;[monotonic]
404;62;1/4;87/2;250;0;match;0;12;True;[monotonic]
455;65;1/4;197/4;280;0;match;0;13;True;[monotonic]
456;65;1/8;99/2;281;0;ornamentation;0;13;False;[monotonic]
457;64;1/8;397/8;282;0;match;0;13;False;[monotonic]
459;62;1/8;199/4;283;0;match;0;13;False;[monotonic]
460;60;1/8;399/8;284;0;match;0;13;False;[monotonic]
463;59;1/4;50;285;0;match;0;13;True;[monotonic]
