note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
43,60,1/4,7,25,1,match,0,0,True
44,62,1/16,29/4,26,1,ornamentation,0,0,False
45,60,1/16,117/16,27,1,ornamentation,0,0,False
46,59,1/16,59/8,28,1,ornamentation,0,0,False
47,60,1/16,119/16,29,1,ornamentation,0,0,False
49,62,1/2,15/2,30,1,match,1,0,True
77,62,1/4,11,45,1,repetition,1,1,True
79,64,1/16,45/4,46,1,adaptation,0,1,False
80,62,1/16,181/16,47,1,ornamentation,0,1,False
81,60,1/16,91/8,48,1,repetition,0,1,False
82,62,1/16,183/16,49,1,ornamentation,0,1,False
84,64,1/2,23/2,50,1,match,1,1,True
146,60,1/4,35/2,89,1,repetition,1,2,True
148,62,1/16,71/4,90,1,adaptation,0,2,False
149,60,1/16,285/16,91,1,ornamentation,0,2,False
150,59,1/16,143/8,92,1,repetition,0,2,False
151,57,1/16,287/16,93,1,ornamentation,0,2,False
152,59,1/2,18,94,1,match,1,2,True
181,65,1/4,87/4,107,1,match,1,3,True
183,67,1/16,22,108,1,ornamentation,0,3,False
184,65,1/16,353/16,109,1,ornamentation,0,3,False
185,64,1/16,177/8,110,1,ornamentation,0,3,False
186,65,1/16,355/16,111,1,ornamentation,0,3,False
188,64,1/8,89/4,112,1,match,1,3,True
220,57,1/4,99/4,128,1,match,1,4,True
223,50,1/8,101/4,131,1,repetition,1,4,False
225,53,1/8,203/8,132,1,ornamentation,0,4,False
226,52,1/8,51/2,133,1,match,0,4,False
233,50,1/4,26,139,1,match,1,4,True
255,57,1/4,57/2,153,1,match,1,5,True
260,57,1/16,463/16,157,1,ornamentation,0,5,False
262,57,1/16,29,158,1,match,1,5,False
270,57,1/2,59/2,164,1,match,1,5,True
327,60,1/4,37,196,1,match,0,6,True
328,62,1/16,149/4,197,1,adaptation,0,6,False
329,60,1/16,597/16,198,1,ornamentation,0,6,False
330,59,1/16,299/8,199,1,repetition,0,6,False
331,57,1/16,599/16,200,1,ornamentation,0,6,False
333,59,1/4,75/2,201,1,match,0,6,True
349,62,1/8,313/8,210,1,match,0,7,True
351,62,1/16,629/16,212,1,ornamentation,0,7,False
352,61,1/16,315/8,213,1,adaptation,0,7,False
356,61,1/8,317/8,216,1,ornamentation,0,7,True
352,61,1/16,315/8,213,1,adaptation,0,8,True
356,61,1/8,317/8,216,1,ornamentation,0,8,False
357,62,1/16,159/4,217,1,repetition,0,8,True
356,61,1/8,317/8,216,1,ornamentation,0,9,True
357,62,1/16,159/4,217,1,repetition,0,9,False
358,61,1/16,637/16,218,1,ornamentation,0,9,False
359,59,1/16,319/8,219,1,ornamentation,0,9,False
360,61,1/16,639/16,220,1,ornamentation,0,9,False
361,62,1/4,40,221,1,match,1,9,True
419,52,1/4,91/2,259,1,match,1,10,True
428,55,1/16,743/16,266,1,ornamentation,0,10,False
430,57,1/4,93/2,267,1,match,1,10,True
