output_csv,duration,count,sequence_ids
output/4465_33-34_memor_esto-1/4465_33-34_memor_esto-1_tab_abtab.csv,1/16,14,"0,1,2,4,9,12,17,21,23,26,28,29,30,32"
output/4465_33-34_memor_esto-1/4465_33-34_memor_esto-1_tab_abtab.csv,1/8,19,"3,5,6,7,8,10,11,13,14,15,16,18,19,20,22,24,25,27,31"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_abtab_fourstep.csv,1/16,11,"0,2,4,9,12,17,21,23,28,29,32"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_abtab_fourstep.csv,1/8,1,11
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_abtab_non_chord.csv,1/16,11,"1,4,9,12,17,21,23,26,28,30,32"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_abtab_non_chord.csv,1/8,13,"3,5,6,7,8,13,14,16,18,19,22,24,31"
output/4465_33-34_memor_esto-1/4465_33-34_memor_esto-1_tab_raw.csv,1/16,14,"0,2,3,4,6,14,19,21,22,26,29,30,32,33"
output/4465_33-34_memor_esto-1/4465_33-34_memor_esto-1_tab_raw.csv,1/8,20,"1,5,7,8,9,10,11,12,13,15,16,17,18,20,23,24,25,27,28,31"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_raw_fourstep.csv,1/16,11,"0,3,4,6,14,19,21,22,29,30,33"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_raw_fourstep.csv,1/8,8,"7,8,12,15,16,23,24,31"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_tab_raw_non_chord.csv,1/16,11,"2,4,6,14,19,21,22,26,29,32,33"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-2.csv,1/16,5,"0,3,6,9,10"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-2.csv,1/8,7,"1,2,4,5,7,8,11"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-2_fourstep.csv,1/16,3,"3,6,10"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-3.csv,1/16,3,"0,4,7"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-3.csv,1/8,5,"1,2,3,5,6"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-3_fourstep.csv,1/16,1,4
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-0.csv,1/16,3,"1,2,4"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-0.csv,1/8,2,"0,3"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-0_fourstep.csv,1/16,1,1
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-1.csv,1/16,4,"0,2,5,9"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-1.csv,1/8,6,"1,3,4,6,7,8"
output/4465_33-34_memor_esto-1/voices/4465_33-34_memor_esto-1_voice-1_fourstep.csv,1/16,4,"0,2,5,9"
output/4465_33-34_memor_esto-1/4465_33-34_memor_esto-1_voices_merged.csv,1/16,15,"0,3,6,9,10,12,16,19,21,22,24,25,27,30,34"
output/4465_33-34_memor_esto-1/4465_33-34_memor_esto-1_voices_merged.csv,1/8,20,"1,2,4,5,7,8,11,13,14,15,17,18,20,23,26,28,29,31,32,33"
output/4465_33-34_memor_esto-1/fourstep/4465_33-34_memor_esto-1_voices_merged_fourstep.csv,1/16,9,"3,6,10,16,21,25,27,30,34"
