note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
34;60;1/2;15/2;23;3;match;1;0;True;[non_monotonic_chords]
33;53;1/2;15/2;23;2;match;0;0;True;[non_monotonic_chords]
35;53;1/16;8;24;3;match;1;0;False;[non_monotonic_chords]
36;60;1/16;8;24;2;match;0;0;False;[non_monotonic_chords]
37;59;1/16;129/16;25;3;ornamentation;0;0;False;[non_monotonic_chords]
38;60;1/16;65/8;26;3;ornamentation;0;0;False;[non_monotonic_chords]
39;62;1/16;131/16;27;3;ornamentation;0;0;False;[non_monotonic_chords]
40;60;1/8;33/4;28;3;match;0;0;True;[non_monotonic_chords]
59;50;1/2;10;43;3;match;2;2;True;[monotonic_chords]
60;62;1/2;10;43;2;match;1;2;True;[monotonic_chords]
61;65;1/2;10;43;0;match;0;2;True;[monotonic_chords]
62;50;1/16;21/2;44;3;repetition;2;2;False;[monotonic_chords]
63;62;1/16;21/2;44;2;repetition;1;2;False;[monotonic_chords]
64;65;1/16;21/2;44;1;match;0;2;False;[monotonic_chords]
65;64;1/16;169/16;45;1;ornamentation;0;2;False;[monotonic_chords]
66;65;1/16;85/8;46;1;ornamentation;0;2;False;[monotonic_chords]
67;67;1/16;171/16;47;1;ornamentation;0;2;False;[monotonic_chords]
68;65;1/8;43/4;48;1;repetition;0;2;True;[monotonic_chords]
77;50;1/4;12;53;3;repetition;2;4;True;[non_monotonic]
78;62;1/4;12;53;1;match;1;4;True;[non_monotonic]
79;65;1/4;12;53;0;match;0;4;True;[non_monotonic]
80;67;1/16;49/4;54;1;ornamentation;0;4;False;[non_monotonic]
81;65;1/16;197/16;55;1;ornamentation;0;4;False;[non_monotonic]
82;64;1/16;99/8;56;1;ornamentation;0;4;False;[non_monotonic]
83;65;1/16;199/16;57;1;ornamentation;0;4;False;[non_monotonic]
84;50;1/4;25/2;58;3;repetition;2;4;True;[non_monotonic]
85;62;1/4;25/2;58;2;repetition;1;4;True;[non_monotonic]
86;65;1/4;25/2;58;1;match;0;4;True;[non_monotonic]
284;50;1/4;83/2;166;3;match;1;9;True;[monotonic]
285;65;1/4;83/2;166;2;match;0;9;True;[monotonic]
286;67;1/16;167/4;167;2;ornamentation;0;9;False;[monotonic]
287;65;1/16;669/16;168;2;ornamentation;0;9;False;[monotonic]
288;64;1/16;335/8;169;2;ornamentation;0;9;False;[monotonic]
289;62;1/16;671/16;170;2;ornamentation;0;9;False;[monotonic]
290;55;1/2;42;171;3;match;1;9;True;[monotonic]
291;64;1/2;42;171;2;match;0;9;True;[monotonic]
421;65;1/4;241/4;253;2;match;1;11;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
421;65;1/4;241/4;253;1;match;0;11;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
422;60;1/8;121/2;254;3;match;1;11;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
423;67;1/8;121/2;254;1;match;0;11;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
424;59;1/8;485/8;255;3;ornamentation;0;11;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
425;57;1/8;243/4;256;3;adaptation;0;11;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
426;55;1/8;487/8;257;0;ornamentation;0;11;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
428;60;1/4;61;258;3;repetition;3;11;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
429;65;1/4;61;258;2;match;2;11;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
429;65;1/4;61;258;1;match;1;11;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
427;53;1/4;61;258;0;adaptation;0;11;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
442;61;1/8;501/8;268;3;match;0;12;True;[non_monotonic]
443;62;1/16;251/4;269;3;adaptation;0;12;False;[non_monotonic]
444;61;1/16;1005/16;270;3;ornamentation;0;12;False;[non_monotonic]
445;59;1/16;503/8;271;3;match;0;12;False;[non_monotonic]
446;61;1/16;1007/16;272;3;ornamentation;0;12;False;[non_monotonic]
447;62;1/8;63;273;3;match;1;12;True;[non_monotonic]
447;62;1/8;63;273;0;match;0;12;True;[non_monotonic]
742;60;1/4;108;451;2;repetition;2;17;True;[monotonic_perfect_fifth_0_0]
743;64;1/4;108;451;1;match;1;17;True;[monotonic_perfect_fifth_0_0]
744;69;1/4;108;451;0;match;0;17;True;[monotonic_perfect_fifth_0_0]
745;62;1/16;433/4;452;2;adaptation;0;17;False;[monotonic_perfect_fifth_0_0]
746;60;1/16;1733/16;453;2;ornamentation;0;17;False;[monotonic_perfect_fifth_0_0]
747;59;1/16;867/8;454;2;repetition;0;17;False;[monotonic_perfect_fifth_0_0]
748;57;1/16;1735/16;455;2;ornamentation;0;17;False;[monotonic_perfect_fifth_0_0]
749;59;1/2;217/2;456;2;match;2;17;True;[monotonic_perfect_fifth_0_0]
750;62;1/2;217/2;456;1;match;1;17;True;[monotonic_perfect_fifth_0_0]
751;67;1/2;217/2;456;0;match;0;17;True;[monotonic_perfect_fifth_0_0]
805;45;1/4;117;490;3;repetition;2;21;True;[monotonic]
806;57;1/4;117;490;2;repetition;1;21;True;[monotonic]
807;65;1/4;117;490;1;match;0;21;True;[monotonic]
808;67;1/16;469/4;491;1;ornamentation;0;21;False;[monotonic]
809;65;1/16;1877/16;492;1;ornamentation;0;21;False;[monotonic]
810;64;1/16;939/8;493;1;ornamentation;0;21;False;[monotonic]
811;62;1/16;1879/16;494;1;ornamentation;0;21;False;[monotonic]
812;45;1/2;235/2;495;3;repetition;3;21;True;[monotonic]
813;57;1/2;235/2;495;2;repetition;2;21;True;[monotonic]
814;64;1/2;235/2;495;1;match;1;21;True;[monotonic]
814;64;1/2;235/2;495;0;match;0;21;True;[monotonic]
843;45;1/4;245/2;515;3;match;2;23;True;[non_monotonic]
844;57;1/4;245/2;515;2;match;1;23;True;[non_monotonic]
845;64;1/4;245/2;515;0;repetition;0;23;True;[non_monotonic]
846;67;1/16;491/4;516;0;adaptation;0;23;False;[non_monotonic]
847;65;1/16;1965/16;517;0;ornamentation;0;23;False;[non_monotonic]
848;64;1/16;983/8;518;0;adaptation;0;23;False;[non_monotonic]
849;65;1/16;1967/16;519;0;ornamentation;0;23;False;[non_monotonic]
850;52;1/2;123;520;3;match;2;23;True;[non_monotonic]
851;59;1/2;123;520;1;match;1;23;True;[non_monotonic]
852;67;1/2;123;520;0;match;0;23;True;[non_monotonic]
1102;57;1/4;315/2;669;3;match;2;28;True;[monotonic]
1103;60;1/4;315/2;669;2;repetition;1;28;True;[monotonic]
1104;64;1/4;315/2;669;1;match;0;28;True;[monotonic]
1105;62;1/16;631/4;670;2;adaptation;0;28;False;[monotonic]
1106;60;1/16;2525/16;671;2;ornamentation;0;28;False;[monotonic]
1107;59;1/16;1263/8;672;2;repetition;0;28;False;[monotonic]
1108;57;1/16;2527/16;673;3;ornamentation;0;28;False;[monotonic]
1109;57;1/2;158;674;3;match;2;28;True;[monotonic]
1110;60;1/2;158;674;2;match;1;28;True;[monotonic]
1111;64;1/2;158;674;1;repetition;0;28;True;[monotonic]
1118;60;1/4;637/4;678;2;match;1;29;True;[monotonic_perfect_fifth_1_0_chords]
1119;64;1/4;637/4;678;1;match;0;29;True;[monotonic_perfect_fifth_1_0_chords]
1121;60;1/16;319/2;679;3;match;2;29;False;[monotonic_perfect_fifth_1_0_chords]
1120;57;1/16;319/2;679;2;match;1;29;False;[monotonic_perfect_fifth_1_0_chords]
1122;64;1/16;319/2;679;1;match;0;29;False;[monotonic_perfect_fifth_1_0_chords]
1123;59;1/16;2553/16;680;2;ornamentation;0;29;False;[monotonic_perfect_fifth_1_0_chords]
1124;60;1/16;1277/8;681;2;ornamentation;0;29;False;[monotonic_perfect_fifth_1_0_chords]
1125;62;1/16;2555/16;682;2;ornamentation;0;29;False;[monotonic_perfect_fifth_1_0_chords]
1126;60;1/8;639/4;683;2;match;1;29;True;[monotonic_perfect_fifth_1_0_chords]
1127;64;1/8;639/4;683;1;match;0;29;True;[monotonic_perfect_fifth_1_0_chords]
1157;45;1/4;325/2;701;3;match;2;32;True;[monotonic_perfect_fifth_0_0]
1158;60;1/4;325/2;701;1;match;1;32;True;[monotonic_perfect_fifth_0_0]
1159;69;1/4;325/2;701;0;match;0;32;True;[monotonic_perfect_fifth_0_0]
1160;62;1/16;651/4;702;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
1161;60;1/16;2605/16;703;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
1162;59;1/16;1303/8;704;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
1163;57;1/16;2607/16;705;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
1164;52;1;163;706;3;match;2;32;True;[monotonic_perfect_fifth_0_0]
1165;59;1;163;706;1;match;1;32;True;[monotonic_perfect_fifth_0_0]
1166;67;1;163;706;0;match;0;32;True;[monotonic_perfect_fifth_0_0]
