note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
51;55;1/4;37/4;36;3;match;1;2;True
52;62;1/4;37/4;36;2;match;0;2;True
53;52;1/16;19/2;37;3;match;0;2;False
54;62;1/16;153/16;38;2;ornamentation;0;2;False
55;61;1/16;77/8;39;2;match;0;2;False
56;59;1/16;155/16;40;2;ornamentation;0;2;False
57;62;1/8;39/4;41;2;adaptation;0;2;True
77;50;1/4;12;53;3;repetition;2;4;True
78;62;1/4;12;53;1;match;1;4;True
79;65;1/4;12;53;0;match;0;4;True
80;67;1/16;49/4;54;1;ornamentation;0;4;False
81;65;1/16;197/16;55;1;ornamentation;0;4;False
82;64;1/16;99/8;56;1;ornamentation;0;4;False
83;65;1/16;199/16;57;1;ornamentation;0;4;False
84;50;1/4;25/2;58;3;repetition;2;4;True
85;62;1/4;25/2;58;2;repetition;1;4;True
86;65;1/4;25/2;58;1;match;0;4;True
284;50;1/4;83/2;166;3;match;1;6;True
285;65;1/4;83/2;166;2;match;0;6;True
286;67;1/16;167/4;167;2;ornamentation;0;6;False
287;65;1/16;669/16;168;2;ornamentation;0;6;False
288;64;1/16;335/8;169;2;ornamentation;0;6;False
289;62;1/16;671/16;170;2;ornamentation;0;6;False
290;55;1/2;42;171;3;match;1;6;True
291;64;1/2;42;171;2;match;0;6;True
442;61;1/8;501/8;268;3;match;0;14;True
443;62;1/16;251/4;269;3;adaptation;0;14;False
444;61;1/16;1005/16;270;3;ornamentation;0;14;False
445;59;1/16;503/8;271;3;match;0;14;False
446;61;1/16;1007/16;272;3;ornamentation;0;14;False
447;62;1/8;63;273;3;match;1;14;True
447;62;1/8;63;273;0;match;0;14;True
742;60;1/4;108;451;2;repetition;2;19;True
743;64;1/4;108;451;1;match;1;19;True
744;69;1/4;108;451;0;match;0;19;True
745;62;1/16;433/4;452;2;adaptation;0;19;False
746;60;1/16;1733/16;453;2;ornamentation;0;19;False
747;59;1/16;867/8;454;2;repetition;0;19;False
748;57;1/16;1735/16;455;2;ornamentation;0;19;False
749;59;1/2;217/2;456;2;match;2;19;True
750;62;1/2;217/2;456;1;match;1;19;True
751;67;1/2;217/2;456;0;match;0;19;True
805;45;1/4;117;490;3;repetition;2;21;True
806;57;1/4;117;490;2;repetition;1;21;True
807;65;1/4;117;490;1;match;0;21;True
808;67;1/16;469/4;491;1;ornamentation;0;21;False
809;65;1/16;1877/16;492;1;ornamentation;0;21;False
810;64;1/16;939/8;493;1;ornamentation;0;21;False
811;62;1/16;1879/16;494;1;ornamentation;0;21;False
812;45;1/2;235/2;495;3;repetition;3;21;True
813;57;1/2;235/2;495;2;repetition;2;21;True
814;64;1/2;235/2;495;1;match;1;21;True
814;64;1/2;235/2;495;0;match;0;21;True
843;45;1/4;245/2;515;3;match;2;22;True
844;57;1/4;245/2;515;2;match;1;22;True
845;64;1/4;245/2;515;0;repetition;0;22;True
846;67;1/16;491/4;516;0;adaptation;0;22;False
847;65;1/16;1965/16;517;0;ornamentation;0;22;False
848;64;1/16;983/8;518;0;adaptation;0;22;False
849;65;1/16;1967/16;519;0;ornamentation;0;22;False
850;52;1/2;123;520;3;match;2;22;True
851;59;1/2;123;520;1;match;1;22;True
852;67;1/2;123;520;0;match;0;22;True
1058;60;1/4;609/4;639;2;match;0;26;True
1059;59;1/16;305/2;640;2;match;0;26;False
1060;69;1/16;2441/16;641;0;ornamentation;0;26;False
1061;68;1/16;1221/8;642;0;ornamentation;0;26;False
1062;66;1/16;2443/16;643;0;ornamentation;0;26;False
1063;69;1/8;611/4;644;0;ornamentation;0;26;True
1102;57;1/4;315/2;669;3;match;2;29;True
1103;60;1/4;315/2;669;2;repetition;1;29;True
1104;64;1/4;315/2;669;1;match;0;29;True
1105;62;1/16;631/4;670;2;adaptation;0;29;False
1106;60;1/16;2525/16;671;2;ornamentation;0;29;False
1107;59;1/16;1263/8;672;2;repetition;0;29;False
1108;57;1/16;2527/16;673;3;ornamentation;0;29;False
1109;57;1/2;158;674;3;match;2;29;True
1110;60;1/2;158;674;2;match;1;29;True
1111;64;1/2;158;674;1;repetition;0;29;True
1133;55;1/4;641/4;687;3;match;1;32;True
1134;59;1/4;641/4;687;2;match;0;32;True
1135;53;1/16;321/2;688;3;match;0;32;False
1136;64;1/16;2569/16;689;0;ornamentation;0;32;False
1137;62;1/16;1285/8;690;0;ornamentation;0;32;False
1138;60;1/16;2571/16;691;0;ornamentation;0;32;False
1139;64;1/8;643/4;692;0;repetition;0;32;True
1157;45;1/4;325/2;701;3;match;2;33;True
1158;60;1/4;325/2;701;1;match;1;33;True
1159;69;1/4;325/2;701;0;match;0;33;True
1160;62;1/16;651/4;702;1;ornamentation;0;33;False
1161;60;1/16;2605/16;703;1;ornamentation;0;33;False
1162;59;1/16;1303/8;704;1;ornamentation;0;33;False
1163;57;1/16;2607/16;705;1;ornamentation;0;33;False
1164;52;1;163;706;3;match;2;33;True
1165;59;1;163;706;1;match;1;33;True
1166;67;1;163;706;0;match;0;33;True
