note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
285;65;1/4;83/2;166;2;match;0;3;True;3;[monotonic]
286;67;1/16;167/4;167;2;ornamentation;0;3;False;3;[monotonic]
287;65;1/16;669/16;168;2;ornamentation;0;3;False;3;[monotonic]
288;64;1/16;335/8;169;2;ornamentation;0;3;False;3;[monotonic]
289;62;1/16;671/16;170;2;ornamentation;0;3;False;3;[monotonic]
291;64;1/2;42;171;2;match;0;3;True;3;[monotonic]
742;60;1/4;108;451;2;repetition;2;6;True;6;[monotonic]
745;62;1/16;433/4;452;2;adaptation;0;6;False;6;[monotonic]
746;60;1/16;1733/16;453;2;ornamentation;0;6;False;6;[monotonic]
747;59;1/16;867/8;454;2;repetition;0;6;False;6;[monotonic]
748;57;1/16;1735/16;455;2;ornamentation;0;6;False;6;[monotonic]
749;59;1/2;217/2;456;2;match;2;6;True;6;[monotonic]
1118;60;1/4;637/4;678;2;match;1;10;True;10;[monotonic]
1120;57;1/16;319/2;679;2;match;1;10;False;10;[monotonic]
1123;59;1/16;2553/16;680;2;ornamentation;0;10;False;10;[monotonic]
1124;60;1/16;1277/8;681;2;ornamentation;0;10;False;10;[monotonic]
1125;62;1/16;2555/16;682;2;ornamentation;0;10;False;10;[monotonic]
1126;60;1/8;639/4;683;2;match;1;10;True;10;[monotonic]
442;61;1/8;501/8;268;3;match;0;16;True;4;[non_monotonic]
443;62;1/16;251/4;269;3;adaptation;0;16;False;4;[non_monotonic]
444;61;1/16;1005/16;270;3;ornamentation;0;16;False;4;[non_monotonic]
445;59;1/16;503/8;271;3;match;0;16;False;4;[non_monotonic]
446;61;1/16;1007/16;272;3;ornamentation;0;16;False;4;[non_monotonic]
447;62;1/8;63;273;3;match;1;16;True;4;[non_monotonic]
845;64;1/4;245/2;515;0;repetition;0;21;True;1;[non_monotonic]
846;67;1/16;491/4;516;0;adaptation;0;21;False;1;[non_monotonic]
847;65;1/16;1965/16;517;0;ornamentation;0;21;False;1;[non_monotonic]
848;64;1/16;983/8;518;0;adaptation;0;21;False;1;[non_monotonic]
849;65;1/16;1967/16;519;0;ornamentation;0;21;False;1;[non_monotonic]
852;67;1/2;123;520;0;match;0;21;True;1;[non_monotonic]
64;65;1/16;21/2;44;1;match;0;25;False;0;[non_monotonic]
65;64;1/16;169/16;45;1;ornamentation;0;25;False;0;[non_monotonic]
66;65;1/16;85/8;46;1;ornamentation;0;25;False;0;[non_monotonic]
67;67;1/16;171/16;47;1;ornamentation;0;25;False;0;[non_monotonic]
68;65;1/8;43/4;48;1;repetition;0;25;True;0;[non_monotonic]
78;62;1/4;12;53;1;match;1;27;True;2;[non_monotonic]
80;67;1/16;49/4;54;1;ornamentation;0;27;False;2;[non_monotonic]
81;65;1/16;197/16;55;1;ornamentation;0;27;False;2;[non_monotonic]
82;64;1/16;99/8;56;1;ornamentation;0;27;False;2;[non_monotonic]
83;65;1/16;199/16;57;1;ornamentation;0;27;False;2;[non_monotonic]
86;65;1/4;25/2;58;1;match;0;27;True;2;[non_monotonic]
807;65;1/4;117;490;1;match;0;30;True;5;[monotonic]
808;67;1/16;469/4;491;1;ornamentation;0;30;False;5;[monotonic]
809;65;1/16;1877/16;492;1;ornamentation;0;30;False;5;[monotonic]
810;64;1/16;939/8;493;1;ornamentation;0;30;False;5;[monotonic]
811;62;1/16;1879/16;494;1;ornamentation;0;30;False;5;[monotonic]
814;64;1/2;235/2;495;1;match;1;30;True;5;[monotonic]
1158;60;1/4;325/2;701;1;match;1;34;True;9;[monotonic]
1160;62;1/16;651/4;702;1;ornamentation;0;34;False;9;[monotonic]
1161;60;1/16;2605/16;703;1;ornamentation;0;34;False;9;[monotonic]
1162;59;1/16;1303/8;704;1;ornamentation;0;34;False;9;[monotonic]
1163;57;1/16;2607/16;705;1;ornamentation;0;34;False;9;[monotonic]
1165;59;1;163;706;1;match;1;34;True;9;[monotonic]
