output_csv,sequence_length,count,sequence_ids
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_abtab.csv,2,11,"1,2,3,4,6,7,8,9,11,14,15"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_abtab.csv,4,1,10
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_abtab.csv,6,1,5
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_abtab.csv,8,2,"12,13"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_abtab.csv,12,1,0
output/4465_33-34_memor_esto-2/fourstep/4465_33-34_memor_esto-2_tab_abtab_non_chord.csv,2,10,"1,2,3,4,6,7,9,11,14,15"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_raw.csv,4,16,"6,7,8,11,12,13,14,17,18,19,20,21,22,23,24,25"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_raw.csv,6,4,"2,5,9,26"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_raw.csv,8,4,"3,4,15,16"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_raw.csv,12,2,"0,1"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_tab_raw.csv,25,1,10
output/4465_33-34_memor_esto-2/fourstep/4465_33-34_memor_esto-2_tab_raw_fourstep.csv,4,13,"6,7,8,13,17,18,19,20,21,22,23,24,25"
output/4465_33-34_memor_esto-2/fourstep/4465_33-34_memor_esto-2_tab_raw_non_chord.csv,4,2,"19,21"
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-2.csv,2,1,1
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-2.csv,3,1,2
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-2.csv,10,1,0
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-0.csv,2,1,1
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-0.csv,6,1,0
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-1.csv,2,3,"0,1,3"
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-1.csv,3,1,2
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-1.csv,5,1,4
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-3.csv,1,1,3
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-3.csv,2,4,"0,1,2,5"
output/4465_33-34_memor_esto-2/voices/4465_33-34_memor_esto-2_voice-3.csv,5,1,4
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_voices_merged.csv,1,1,13
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_voices_merged.csv,2,9,"1,4,5,6,8,10,11,12,15"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_voices_merged.csv,3,2,"2,7"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_voices_merged.csv,5,2,"9,14"
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_voices_merged.csv,6,1,3
output/4465_33-34_memor_esto-2/4465_33-34_memor_esto-2_voices_merged.csv,10,1,0
