note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
312,74,1/4,175/4,184,0,match,0,3,True,0
315,72,1/8,177/4,186,0,ficta,0,3,False,0
317,71,1/8,355/8,187,0,match,0,3,False,0
320,72,1/8,89/2,188,0,ficta,0,3,False,0
321,69,1/8,357/8,189,0,ornamentation,0,3,False,0
322,71,1/8,179/4,190,0,adaptation,0,3,False,0
323,72,1/8,359/8,191,0,ornamentation,0,3,False,0
326,74,1/4,45,192,0,match,0,3,True,0
992,67,1/4,267/2,559,0,match,0,4,True,1
993,67,1/8,535/4,560,0,ornamentation,0,4,False,1
994,65,1/8,1071/8,561,0,match,0,4,False,1
997,64,1/2,134,562,0,match,0,4,True,1
202,65,1/4,99/4,111,1,match,1,5,True,0
204,65,1/8,25,112,1,ornamentation,0,5,False,0
205,64,1/8,201/8,113,1,match,0,5,False,0
206,62,1/4,101/4,114,1,match,1,5,True,0
418,65,1/4,113/2,240,1,match,1,6,True,1
419,64,1/8,227/4,241,1,ornamentation,0,6,False,1
420,62,1/8,455/8,242,1,match,0,6,False,1
423,64,1/4,57,243,1,adaptation,1,6,True,1
849,64,1/4,457/4,477,1,match,1,7,True,2
851,64,1/8,229/2,478,1,ornamentation,0,7,False,2
852,60,1/8,917/8,479,1,match,0,7,False,2
853,65,1/8,459/4,480,1,match,1,7,False,2
857,64,1/4,461/4,483,1,match,0,7,True,2
878,64,1/4,477/4,496,1,match,1,8,True,3
880,64,1/8,239/2,497,1,ornamentation,0,8,False,3
881,62,1/8,957/8,498,1,match,0,8,False,3
882,62,1/4,479/4,499,1,match,1,8,True,3
882,62,1/4,479/4,499,1,match,1,9,True,4
884,62,1/8,120,500,1,repetition,1,9,False,4
886,60,1/8,961/8,501,1,adaptation,1,9,False,4
888,60,1/8,481/4,502,1,match,1,9,False,4
890,59,1/8,963/8,503,1,ornamentation,0,9,False,4
892,62,1/8,241/2,504,1,match,1,9,False,4
927,65,1/2,125,528,1,match,1,9,True,4
33,55,1/4,5,21,2,match,1,0,True,0
35,55,1/8,21/4,22,2,ornamentation,0,0,False,0
36,57,1/8,43/8,23,2,match,0,0,False,0
37,59,1/8,11/2,24,2,match,1,0,False,0
39,60,1/8,45/8,25,2,match,0,0,False,0
40,62,1/8,23/4,26,2,match,0,0,False,0
42,62,1/8,6,28,2,repetition,1,0,False,0
45,57,1/8,25/4,30,2,match,1,0,False,0
47,59,1/8,51/8,31,2,match,0,0,False,0
48,60,1/8,13/2,32,2,match,0,0,False,0
49,62,1/8,53/8,33,2,match,0,0,False,0
50,64,1/4,27/4,34,2,match,1,0,True,0
139,57,1/4,35/2,80,2,match,1,1,True,1
163,53,1/8,83/4,89,2,ornamentation,0,1,False,1
164,55,1/8,167/8,90,2,match,0,1,False,1
166,57,1/4,21,91,2,match,1,1,True,1
393,60,1/4,217/4,229,2,match,1,2,True,2
398,64,1/8,219/4,231,2,ornamentation,0,2,False,2
399,62,1/8,439/8,232,2,adaptation,0,2,False,2
403,57,1/8,221/4,234,2,match,1,2,False,2
406,53,1/4,111/2,236,2,match,1,2,True,2
218,57,1/4,28,121,3,match,1,10,True,0
220,57,1/8,113/4,122,3,ornamentation,0,10,False,0
221,59,1/8,227/8,123,3,match,0,10,False,0
223,60,1/4,57/2,124,3,match,1,10,True,0
249,57,1/4,67/2,143,3,match,1,11,True,1
251,57,1/8,135/4,144,3,ornamentation,0,11,False,1
252,59,1/8,271/8,145,3,match,0,11,False,1
254,60,1/4,34,146,3,match,1,11,True,1
774,50,1/4,417/4,432,3,repetition,0,12,True,2
775,50,1/8,209/2,433,3,repetition,2,12,False,2
778,52,1/8,837/8,434,3,ornamentation,0,12,False,2
779,53,1/4,419/4,435,3,adaptation,0,12,True,2
784,50,1/4,211/2,438,3,repetition,0,13,True,3
786,59,1/8,847/8,440,3,ornamentation,0,13,False,3
788,57,1/2,106,441,3,adaptation,2,13,True,3
904,48,1/4,122,512,3,match,1,14,True,4
906,48,1/8,489/4,513,3,ornamentation,0,14,False,4
907,50,1/8,979/8,514,3,match,0,14,False,4
908,52,1/8,245/2,515,3,match,1,14,False,4
910,53,1/8,981/8,516,3,match,0,14,False,4
911,55,1/8,491/4,517,3,match,0,14,False,4
915,53,1/4,493/4,521,3,match,1,14,True,4
964,55,1/4,261/2,548,3,match,2,15,True,5
967,55,1/8,523/4,549,3,ornamentation,0,15,False,5
968,53,1/8,1047/8,550,3,match,0,15,False,5
969,52,1/2,131,551,3,match,2,15,True,5
