note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
421;45;1/4;57;243;3;match;2;6;True;[monotonic_perfect_fifth_0_1_chords]
423;64;1/4;57;243;1;adaptation;1;6;True;[monotonic_perfect_fifth_0_1_chords]
422;60;1/4;57;243;0;match;0;6;True;[monotonic_perfect_fifth_0_1_chords]
424;72;1/8;229/4;244;0;match;0;6;False;[monotonic_perfect_fifth_0_1_chords]
425;71;1/8;459/8;245;0;match;0;6;False;[monotonic_perfect_fifth_0_1_chords]
426;45;1/8;115/2;246;3;repetition;1;6;False;[monotonic_perfect_fifth_0_1_chords]
427;69;1/8;115/2;246;0;match;0;6;False;[monotonic_perfect_fifth_0_1_chords]
428;67;1/8;461/8;247;0;match;0;6;False;[monotonic_perfect_fifth_0_1_chords]
429;57;1/4;231/4;248;2;match;2;6;True;[monotonic_perfect_fifth_0_1_chords]
430;65;1/4;231/4;248;1;match;1;6;True;[monotonic_perfect_fifth_0_1_chords]
431;69;1/4;231/4;248;0;match;0;6;True;[monotonic_perfect_fifth_0_1_chords]
438;57;1/4;117/2;252;2;match;2;7;True;[monotonic_perfect_fifth_0_1_chords]
439;60;1/4;117/2;252;1;match;1;7;True;[monotonic_perfect_fifth_0_1_chords]
440;64;1/4;117/2;252;0;match;0;7;True;[monotonic_perfect_fifth_0_1_chords]
441;69;1/8;235/4;253;1;match;1;7;False;[monotonic_perfect_fifth_0_1_chords]
442;72;1/8;235/4;253;0;match;0;7;False;[monotonic_perfect_fifth_0_1_chords]
443;67;1/8;471/8;254;1;match;0;7;False;[monotonic_perfect_fifth_0_1_chords]
444;50;1/8;59;255;2;match;2;7;False;[monotonic_perfect_fifth_0_1_chords]
445;65;1/8;59;255;1;match;1;7;False;[monotonic_perfect_fifth_0_1_chords]
446;71;1/8;59;255;0;repetition;0;7;False;[monotonic_perfect_fifth_0_1_chords]
447;64;1/8;473/8;256;1;match;0;7;False;[monotonic_perfect_fifth_0_1_chords]
448;57;1/4;237/4;257;3;match;2;7;True;[monotonic_perfect_fifth_0_1_chords]
449;65;1/4;237/4;257;1;match;1;7;True;[monotonic_perfect_fifth_0_1_chords]
450;69;1/4;237/4;257;0;match;0;7;True;[monotonic_perfect_fifth_0_1_chords]
457;57;1/4;60;261;3;match;2;8;True;[monotonic_perfect_fifth_0_1_chords]
458;60;1/4;60;261;1;match;1;8;True;[monotonic_perfect_fifth_0_1_chords]
459;64;1/4;60;261;0;match;0;8;True;[monotonic_perfect_fifth_0_1_chords]
460;69;1/8;241/4;262;1;match;1;8;False;[monotonic_perfect_fifth_0_1_chords]
461;72;1/8;241/4;262;0;match;0;8;False;[monotonic_perfect_fifth_0_1_chords]
462;67;1/8;483/8;263;1;match;1;8;False;[monotonic_perfect_fifth_0_1_chords]
463;71;1/8;483/8;263;0;match;0;8;False;[monotonic_perfect_fifth_0_1_chords]
464;50;1/8;121/2;264;3;match;2;8;False;[monotonic_perfect_fifth_0_1_chords]
465;65;1/8;121/2;264;1;match;1;8;False;[monotonic_perfect_fifth_0_1_chords]
466;69;1/8;121/2;264;0;match;0;8;False;[monotonic_perfect_fifth_0_1_chords]
467;64;1/8;485/8;265;1;match;1;8;False;[monotonic_perfect_fifth_0_1_chords]
468;67;1/8;485/8;265;0;match;0;8;False;[monotonic_perfect_fifth_0_1_chords]
469;57;1/4;243/4;266;2;match;2;8;True;[monotonic_perfect_fifth_0_1_chords]
470;65;1/4;243/4;266;1;match;1;8;True;[monotonic_perfect_fifth_0_1_chords]
471;69;1/4;243/4;266;0;match;0;8;True;[monotonic_perfect_fifth_0_1_chords]
806;59;1/4;108;449;3;match;2;13;True;[monotonic_perfect_fifth_0_0_chords]
805;55;1/4;108;449;2;repetition;1;13;True;[monotonic_perfect_fifth_0_0_chords]
807;74;1/4;108;449;0;match;0;13;True;[monotonic_perfect_fifth_0_0_chords]
808;55;1/8;433/4;450;3;match;0;13;False;[monotonic_perfect_fifth_0_0_chords]
809;57;1/8;867/8;451;3;match;0;13;False;[monotonic_perfect_fifth_0_0_chords]
810;59;1/8;217/2;452;3;match;2;13;False;[monotonic_perfect_fifth_0_0_chords]
811;62;1/8;217/2;452;1;match;1;13;False;[monotonic_perfect_fifth_0_0_chords]
812;74;1/8;217/2;452;0;match;0;13;False;[monotonic_perfect_fifth_0_0_chords]
813;60;1/8;869/8;453;3;match;0;13;False;[monotonic_perfect_fifth_0_0_chords]
814;62;1/4;435/4;454;3;match;0;13;True;[monotonic_perfect_fifth_0_0_chords]
937;72;1/4;507/4;533;0;match;0;17;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
938;60;1/8;127;534;1;match;1;17;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
939;72;1/8;127;534;0;repetition;0;17;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
940;71;1/8;1017/8;535;0;match;0;17;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
941;69;1/8;509/4;536;0;match;0;17;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
942;67;1/8;1019/8;537;0;match;0;17;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
943;62;1/4;255/2;538;1;match;1;17;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
944;65;1/4;255/2;538;0;match;0;17;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
1003;50;1/4;271/2;566;2;match;1;18;True;[non_monotonic_chords]
1004;62;1/4;271/2;566;0;match;0;18;True;[non_monotonic_chords]
1005;62;1/8;543/4;567;1;match;0;18;False;[non_monotonic_chords]
1006;64;1/8;1087/8;568;0;match;0;18;False;[non_monotonic_chords]
1007;50;1/8;136;569;3;repetition;2;18;False;[non_monotonic_chords]
1008;62;1/8;136;569;1;repetition;1;18;False;[non_monotonic_chords]
1009;65;1/8;136;569;0;match;0;18;False;[non_monotonic_chords]
1010;64;1/8;1089/8;570;1;match;0;18;False;[non_monotonic_chords]
1012;65;1/4;545/4;571;1;match;1;18;True;[non_monotonic_chords]
1011;62;1/4;545/4;571;0;match;0;18;True;[non_monotonic_chords]
1013;50;1/4;273/2;572;3;match;1;19;True;[non_monotonic]
1014;62;1/4;273/2;572;1;match;0;19;True;[non_monotonic]
1015;50;1/8;547/4;573;2;match;0;19;False;[non_monotonic]
1016;52;1/8;1095/8;574;3;match;0;19;False;[non_monotonic]
1017;50;1/8;137;575;2;repetition;0;19;False;[non_monotonic]
1018;52;1/8;1097/8;576;2;match;0;19;False;[non_monotonic]
