output_csv,sequence_length,count,sequence_ids
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,1,3,"50,51,89"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,2,23,"21,25,27,32,34,37,40,48,57,66,70,71,75,82,87,94,98,100,112,115,118,120,129"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,3,4,"55,59,64,79"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,4,56,"0,2,3,5,7,8,9,10,12,13,14,15,20,22,24,26,28,35,39,42,43,44,47,54,56,58,60,61,62,63,65,67,69,73,76,78,80,81,83,92,95,96,97,99,101,103,105,108,111,113,117,121,122,124,125,128"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,6,5,"4,53,72,91,110"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,8,25,"1,6,11,17,23,29,30,31,33,36,38,41,49,52,74,77,84,86,90,102,104,106,114,116,119"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,9,1,85
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,10,2,"46,107"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,11,1,93
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,12,5,"16,18,88,123,130"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,14,2,"109,127"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,16,1,68
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,18,1,19
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,20,1,126
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_abtab.csv,24,2,"45,131"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_fourstep.csv,4,50,"0,2,3,5,8,9,10,12,13,14,15,20,22,24,26,28,35,39,42,44,47,54,56,58,60,61,62,63,65,67,69,73,76,78,80,83,92,95,96,99,101,103,108,111,113,117,121,122,125,128"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,1,3,"50,51,89"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,2,19,"21,25,32,34,37,40,48,66,70,71,75,82,98,100,112,115,118,120,129"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,3,4,"55,59,64,79"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,4,45,"2,3,5,7,8,9,10,12,13,14,15,20,22,26,28,35,42,43,44,47,54,56,60,61,62,63,65,67,69,73,76,80,83,92,95,96,99,101,103,108,111,121,124,125,128"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,8,10,"1,17,30,33,38,49,52,90,114,116"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,11,1,93
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,12,1,130
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_abtab_non_chord.csv,24,1,131
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,4,59,"0,2,3,5,7,8,9,10,12,13,14,15,20,21,23,24,25,30,33,35,36,37,40,44,45,46,47,48,49,50,51,52,53,55,57,59,61,62,63,64,72,74,75,76,77,78,80,82,85,88,89,92,94,95,96,98,99,101,103"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,6,6,"4,43,56,67,71,87"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,8,25,"1,6,11,17,22,26,27,28,29,31,32,34,41,42,58,60,65,68,70,79,81,83,90,91,93"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,9,1,66
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,10,2,"39,84"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,11,1,73
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,12,5,"16,18,69,97,104"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,14,2,"86,102"
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,16,1,54
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,18,1,19
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,20,1,100
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_tab_raw.csv,24,2,"38,105"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_raw_fourstep.csv,4,52,"0,2,3,5,8,9,10,12,13,14,15,20,21,23,24,25,30,33,35,37,40,44,45,46,47,48,49,51,52,53,55,57,59,61,62,64,72,74,75,77,78,80,85,88,89,92,94,95,96,99,101,103"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_raw_non_chord.csv,4,45,"2,3,5,7,8,9,10,12,13,14,15,20,21,24,25,30,35,36,37,40,44,45,47,48,49,51,52,53,55,57,59,62,64,72,74,75,77,78,80,85,88,94,98,99,103"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_raw_non_chord.csv,8,10,"1,17,27,29,32,41,42,70,90,91"
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_raw_non_chord.csv,11,1,73
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_raw_non_chord.csv,12,1,104
output/4467_37_adieu_mes_amours/fourstep/4467_37_adieu_mes_amours_tab_raw_non_chord.csv,24,1,105
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,1,3,"26,27,57"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,2,12,"10,16,20,33,42,46,50,52,67,69,71,78"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,3,8,"18,25,31,35,40,60,62,74"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,4,27,"0,3,4,6,9,11,13,19,24,30,32,34,36,37,38,39,41,43,44,47,49,51,53,65,72,73,77"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,5,2,"61,63"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,6,5,"15,21,29,54,55"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,7,1,14
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,8,12,"1,5,12,17,23,28,45,48,56,58,68,70"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,9,3,"2,66,79"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,10,1,64
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,11,1,59
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,12,1,76
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,14,1,8
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,15,1,7
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,16,2,"22,75"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0.csv,24,1,80
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-0_fourstep.csv,4,25,"0,3,4,6,9,11,13,19,24,30,32,34,36,37,38,39,41,44,47,49,53,65,72,73,77"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,1,1,30
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,2,12,"10,12,17,24,28,35,38,39,41,48,50,53"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,3,7,"6,15,29,46,51,58,59"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,4,27,"0,1,3,4,5,7,8,11,13,20,21,22,23,27,31,32,34,36,37,40,42,44,45,49,52,56,57"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,5,4,"18,19,25,43"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,6,2,"2,33"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,8,4,"9,14,16,54"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,9,1,47
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,10,1,55
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1.csv,16,1,26
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-1_fourstep.csv,4,21,"0,1,3,5,7,8,11,13,20,22,27,31,34,36,37,40,42,44,49,52,57"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,1,1,5
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,2,1,4
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,3,2,"2,7"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,4,3,"6,8,10"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,5,1,9
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,7,2,"0,3"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2.csv,8,1,1
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-2_fourstep.csv,4,1,6
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-3.csv,3,1,1
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-3.csv,5,2,"0,4"
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-3.csv,6,1,2
output/4467_37_adieu_mes_amours/voices/4467_37_adieu_mes_amours_voice-3.csv,8,1,3
output/4467_37_adieu_mes_amours/4467_37_adieu_mes_amours_voices_merged.csv,1,5,"26,27,57,111,146"
