note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
0;67;1/16;0;0;1;match;1;0;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
0;67;1/16;0;0;0;match;0;0;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
1;66;1/16;1/16;1;0;ornamentation;0;0;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
2;64;1/16;1/8;2;0;ornamentation;0;0;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
3;62;1/16;3/16;3;0;ornamentation;0;0;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
4;60;1/32;1/4;4;0;ornamentation;0;0;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_0_chords]
12;67;1/8;1/2;12;1;repetition;1;2;True;[non_monotonic]
13;70;1/8;1/2;12;0;match;0;2;True;[non_monotonic]
14;69;1/16;5/8;13;1;ornamentation;0;2;False;[non_monotonic]
15;70;1/16;11/16;14;1;ornamentation;0;2;False;[non_monotonic]
16;72;1/16;3/4;15;1;ornamentation;0;2;False;[non_monotonic]
17;70;1/16;13/16;16;1;ornamentation;0;2;False;[non_monotonic]
18;72;1/32;7/8;17;1;ornamentation;0;2;True;[non_monotonic]
17;70;1/16;13/16;16;1;ornamentation;0;3;True;[monotonic]
18;72;1/32;7/8;17;1;ornamentation;0;3;False;[monotonic]
19;70;1/32;29/32;18;1;ornamentation;0;3;False;[monotonic]
20;69;1/32;15/16;19;1;ornamentation;0;3;False;[monotonic]
21;67;1/32;31/32;20;1;ornamentation;0;3;False;[monotonic]
22;66;1/16;1;21;1;ficta;1;3;True;[monotonic]
23;69;1/16;1;21;0;match;0;3;True;[monotonic]
28;66;1/16;21/16;26;1;ornamentation;0;5;True;[non_monotonic]
29;67;1/32;11/8;27;1;ornamentation;0;5;False;[non_monotonic]
30;66;1/32;45/32;28;1;ornamentation;0;5;False;[non_monotonic]
31;64;1/32;23/16;29;1;ornamentation;0;5;False;[non_monotonic]
32;66;1/32;47/32;30;1;ornamentation;0;5;False;[non_monotonic]
33;67;1/16;3/2;31;1;match;1;5;True;[non_monotonic]
33;67;1/16;3/2;31;0;match;0;5;True;[non_monotonic]
56;66;1/16;53/16;48;1;ornamentation;0;8;True;[non_monotonic]
57;67;1/32;27/8;49;1;ornamentation;0;8;False;[non_monotonic]
58;66;1/32;109/32;50;1;ornamentation;0;8;False;[non_monotonic]
59;64;1/32;55/16;51;1;ornamentation;0;8;False;[non_monotonic]
60;66;1/32;111/32;52;1;ornamentation;0;8;False;[non_monotonic]
61;55;1/8;7/2;53;2;match;2;8;True;[non_monotonic]
62;67;1/8;7/2;53;1;match;1;8;True;[non_monotonic]
63;70;1/8;7/2;53;0;match;0;8;True;[non_monotonic]
61;55;1/8;7/2;53;2;match;2;9;True;[non_monotonic]
62;67;1/8;7/2;53;1;match;1;9;True;[non_monotonic]
63;70;1/8;7/2;53;0;match;0;9;True;[non_monotonic]
64;69;1/16;29/8;54;0;ornamentation;0;9;False;[non_monotonic]
65;70;1/16;59/16;55;0;ornamentation;0;9;False;[non_monotonic]
66;72;1/16;15/4;56;0;ornamentation;0;9;False;[non_monotonic]
67;70;1/16;61/16;57;0;ornamentation;0;9;False;[non_monotonic]
68;72;1/32;31/8;58;0;ornamentation;0;9;True;[non_monotonic]
