note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
0;67;1/16;0;0;0;match;0;0;False;0;[monotonic_perfect_fifth_0_0]
1;66;1/16;1/16;1;0;ornamentation;0;0;False;0;[monotonic_perfect_fifth_0_0]
2;64;1/16;1/8;2;0;ornamentation;0;0;False;0;[monotonic_perfect_fifth_0_0]
3;62;1/16;3/16;3;0;ornamentation;0;0;False;0;[monotonic_perfect_fifth_0_0]
4;60;1/32;1/4;4;0;ornamentation;0;0;True;0;[monotonic_perfect_fifth_0_0]
63;70;1/8;7/2;53;0;match;0;3;True;3;[non_monotonic]
64;69;1/16;29/8;54;0;ornamentation;0;3;False;3;[non_monotonic]
65;70;1/16;59/16;55;0;ornamentation;0;3;False;3;[non_monotonic]
66;72;1/16;15/4;56;0;ornamentation;0;3;False;3;[non_monotonic]
67;70;1/16;61/16;57;0;ornamentation;0;3;False;3;[non_monotonic]
68;72;1/32;31/8;58;0;ornamentation;0;3;True;3;[non_monotonic]
67;70;1/16;61/16;57;0;ornamentation;0;4;True;4;[monotonic]
68;72;1/32;31/8;58;0;ornamentation;0;4;False;4;[monotonic]
69;70;1/32;125/32;59;0;ornamentation;0;4;False;4;[monotonic]
70;69;1/32;63/16;60;0;ornamentation;0;4;False;4;[monotonic]
71;67;1/32;127/32;61;0;ornamentation;0;4;False;4;[monotonic]
74;69;1/16;4;62;0;adaptation;0;4;True;4;[monotonic]
84;69;1/8;9/2;70;0;repetition;0;6;True;6;[non_monotonic]
85;64;1/16;37/8;71;0;ornamentation;0;6;False;6;[non_monotonic]
86;65;1/16;75/16;72;0;ornamentation;0;6;False;6;[non_monotonic]
87;67;1/16;19/4;73;0;match;0;6;False;6;[non_monotonic]
88;65;1/16;77/16;74;0;ornamentation;0;6;False;6;[non_monotonic]
89;67;1/32;39/8;75;0;repetition;0;6;True;6;[non_monotonic]
171;69;1/16;137/16;139;0;ornamentation;0;9;True;9;[monotonic]
172;70;1/32;69/8;140;0;repetition;0;9;False;9;[monotonic]
173;69;1/32;277/32;141;0;ornamentation;0;9;False;9;[monotonic]
174;67;1/32;139/16;142;0;ornamentation;0;9;False;9;[monotonic]
175;65;1/32;279/32;143;0;ornamentation;0;9;False;9;[monotonic]
176;67;1/16;35/4;144;0;match;0;9;True;9;[monotonic]
177;65;1/16;141/16;145;0;ornamentation;0;11;True;11;[monotonic]
178;67;1/32;71/8;146;0;repetition;0;11;False;11;[monotonic]
179;65;1/32;285/32;147;0;ornamentation;0;11;False;11;[monotonic]
180;64;1/32;143/16;148;0;ornamentation;0;11;False;11;[monotonic]
181;62;1/32;287/32;149;0;ornamentation;0;11;False;11;[monotonic]
184;64;1/16;9;150;0;match;0;11;True;11;[monotonic]
205;65;1/16;165/16;167;0;ornamentation;0;13;True;13;[non_monotonic]
206;67;1/32;83/8;168;0;ornamentation;0;13;False;13;[non_monotonic]
207;65;1/32;333/32;169;0;ornamentation;0;13;False;13;[non_monotonic]
208;64;1/32;167/16;170;0;ornamentation;0;13;False;13;[non_monotonic]
209;65;1/32;335/32;171;0;ornamentation;0;13;False;13;[non_monotonic]
211;67;1/16;21/2;172;0;match;0;13;True;13;[non_monotonic]
289;72;1/32;447/32;238;0;ornamentation;0;19;True;19;[non_monotonic]
292;70;1/16;14;239;0;match;0;19;False;19;[non_monotonic]
293;69;1/16;225/16;240;0;ornamentation;0;19;False;19;[non_monotonic]
294;70;1/16;113/8;241;0;ornamentation;0;19;False;19;[non_monotonic]
295;72;1/16;227/16;242;0;ornamentation;0;19;False;19;[non_monotonic]
296;70;1/8;57/4;243;0;ornamentation;0;19;True;19;[non_monotonic]
378;66;1/16;301/16;305;0;ornamentation;0;24;True;24;[non_monotonic]
379;67;1/32;151/8;306;0;adaptation;0;24;False;24;[non_monotonic]
380;66;1/32;605/32;307;0;ornamentation;0;24;False;24;[non_monotonic]
381;64;1/32;303/16;308;0;ornamentation;0;24;False;24;[non_monotonic]
382;66;1/32;607/32;309;0;ornamentation;0;24;False;24;[non_monotonic]
385;67;1/2;19;310;0;match;0;24;True;24;[non_monotonic]
416;70;1/16;333/16;337;0;ornamentation;0;30;True;30;[monotonic]
417;72;1/32;167/8;338;0;ornamentation;0;30;False;30;[monotonic]
418;70;1/32;669/32;339;0;ornamentation;0;30;False;30;[monotonic]
419;69;1/32;335/16;340;0;ornamentation;0;30;False;30;[monotonic]
420;67;1/32;671/32;341;0;ornamentation;0;30;False;30;[monotonic]
423;69;3/16;21;342;0;match;0;30;True;30;[monotonic]
426;64;1/16;341/16;345;0;ornamentation;0;32;True;32;[monotonic_perfect_fifth_0_0]
427;62;1/32;171/8;346;0;ornamentation;0;32;False;32;[monotonic_perfect_fifth_0_0]
428;64;1/32;685/32;347;0;ornamentation;0;32;False;32;[monotonic_perfect_fifth_0_0]
429;65;1/32;343/16;348;0;ornamentation;0;32;False;32;[monotonic_perfect_fifth_0_0]
430;67;1/32;687/32;349;0;ornamentation;0;32;False;32;[monotonic_perfect_fifth_0_0]
433;69;1/8;43/2;350;0;repetition;0;32;True;32;[monotonic_perfect_fifth_0_0]
435;72;1/4;87/4;352;0;match;0;34;True;34;[monotonic]
438;74;1/8;22;353;0;adaptation;0;34;False;34;[monotonic]
439;72;1/8;177/8;354;0;ornamentation;0;34;False;34;[monotonic]
440;70;1/8;89/4;355;0;match;0;34;False;34;[monotonic]
441;69;1/8;179/8;356;0;match;0;34;False;34;[monotonic]
444;70;3/16;45/2;357;0;match;0;34;True;34;[monotonic]
447;69;1/16;365/16;360;0;ornamentation;0;36;True;36;[monotonic]
448;70;1/32;183/8;361;0;adaptation;0;36;False;36;[monotonic]
449;69;1/32;733/32;362;0;ornamentation;0;36;False;36;[monotonic]
450;67;1/32;367/16;363;0;ornamentation;0;36;False;36;[monotonic]
451;65;1/32;735/32;364;0;ornamentation;0;36;False;36;[monotonic]
454;64;1/2;23;365;0;match;0;36;True;36;[monotonic]
456;65;1/8;47/2;366;0;match;0;37;True;37;[non_monotonic]
457;64;1/16;189/8;367;0;ornamentation;0;37;False;37;[non_monotonic]
458;65;1/16;379/16;368;0;ornamentation;0;37;False;37;[non_monotonic]
459;67;1/16;95/4;369;0;ornamentation;0;37;False;37;[non_monotonic]
460;66;1/16;381/16;370;0;ornamentation;0;37;False;37;[non_monotonic]
461;67;1/32;191/8;371;0;ornamentation;0;37;True;37;[non_monotonic]
460;66;1/16;381/16;370;0;ornamentation;0;38;True;38;[non_monotonic]
461;67;1/32;191/8;371;0;ornamentation;0;38;False;38;[non_monotonic]
462;66;1/32;765/32;372;0;ornamentation;0;38;False;38;[non_monotonic]
463;64;1/32;383/16;373;0;ornamentation;0;38;False;38;[non_monotonic]
464;66;1/32;767/32;374;0;ornamentation;0;38;False;38;[non_monotonic]
467;67;1/2;24;375;0;match;0;38;True;38;[non_monotonic]
478;67;1/8;201/8;380;0;match;0;39;True;39;[non_monotonic]
479;72;1/16;101/4;381;0;adaptation;0;39;False;39;[non_monotonic]
480;70;1/16;405/16;382;0;ornamentation;0;39;False;39;[non_monotonic]
481;69;1/16;203/8;383;0;ornamentation;0;39;False;39;[non_monotonic]
