output_csv,sequence_length,count,sequence_ids
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,2,20,"5,9,14,17,23,27,35,37,39,49,50,54,59,61,66,69,70,74,75,77"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,3,4,"3,11,31,42"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,4,41,"0,1,2,4,6,7,10,12,15,19,20,22,24,25,29,30,32,33,34,36,38,40,41,43,44,45,46,48,53,55,57,58,62,63,64,68,71,73,76,79,81"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,6,3,"21,56,80"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,8,10,"8,13,18,26,47,51,52,60,65,72"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,10,3,"28,67,78"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_abtab.csv,12,1,16
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_abtab_fourstep.csv,4,32,"0,1,2,4,6,10,12,19,20,22,24,25,29,30,32,36,38,40,41,43,45,46,53,55,57,62,64,68,73,76,79,81"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_abtab_non_chord.csv,2,10,"14,17,23,35,39,49,50,54,59,69"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_abtab_non_chord.csv,3,4,"3,11,31,42"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_abtab_non_chord.csv,4,30,"2,4,6,10,12,15,19,20,22,24,25,29,30,32,36,38,40,41,43,45,55,57,62,63,64,68,73,76,79,81"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_abtab_non_chord.csv,6,1,80
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_abtab_non_chord.csv,8,2,"8,72"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_raw.csv,4,47,"0,1,2,3,4,5,7,8,10,13,14,16,17,18,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,40,41,43,44,46,47,48,51,52,53,54,56,57,58,59,61,63"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_raw.csv,6,3,"15,42,62"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_raw.csv,8,10,"6,9,12,19,35,38,39,45,49,55"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_raw.csv,10,3,"20,50,60"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_tab_raw.csv,12,1,11
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_raw_fourstep.csv,4,37,"0,1,2,3,4,7,8,13,14,16,17,18,21,22,23,26,27,28,29,30,31,33,34,40,41,43,46,48,51,52,53,56,57,58,59,61,63"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_raw_non_chord.csv,4,30,"2,3,4,7,8,10,13,14,16,17,18,21,22,23,27,28,29,30,31,33,41,43,46,47,48,51,56,58,61,63"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_raw_non_chord.csv,6,1,62
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_tab_raw_non_chord.csv,8,2,"6,55"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-3.csv,2,2,"3,5"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-3.csv,3,1,1
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-3.csv,4,5,"0,2,4,6,7"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-3_fourstep.csv,4,4,"2,4,6,7"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-1.csv,1,3,"6,9,26"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-1.csv,2,7,"13,15,18,22,23,24,25"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-1.csv,3,1,5
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-1.csv,4,15,"0,1,2,3,4,7,8,10,11,12,16,19,20,21,27"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-1.csv,6,2,"14,17"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-1_fourstep.csv,4,9,"0,1,2,7,10,11,19,21,27"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-2.csv,2,4,"3,5,9,10"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-2.csv,3,3,"0,2,7"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-2.csv,4,6,"4,6,8,11,12,15"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-2.csv,5,2,"1,13"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-2.csv,6,1,14
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-2_fourstep.csv,4,4,"4,6,8,15"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,2,9,"2,4,9,11,17,29,31,36,40"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,3,6,"0,6,15,20,23,28"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,4,17,"1,3,5,7,13,14,19,21,22,24,25,26,27,32,34,38,42"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,5,1,33
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,6,4,"30,35,37,41"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,7,2,"16,39"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0.csv,8,4,"8,10,12,18"
output/4469_39_plus_nulz_regrets_P/voices/4469_39_plus_nulz_regrets_P_voice-0_fourstep.csv,4,15,"1,3,5,7,13,14,19,21,24,26,27,32,34,38,42"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,1,3,"14,17,34"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,2,22,"3,5,21,23,26,30,31,32,33,39,41,45,46,54,56,61,63,69,81,83,88,92"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,3,11,"1,13,36,38,43,52,58,67,72,75,80"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,4,43,"0,2,4,6,7,8,9,10,11,12,15,16,18,19,20,24,27,28,29,35,40,42,44,47,48,51,53,55,57,59,65,66,71,73,74,76,77,78,79,84,86,90,94"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,5,3,"37,49,85"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,6,7,"22,25,50,82,87,89,93"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,7,2,"68,91"
output/4469_39_plus_nulz_regrets_P/4469_39_plus_nulz_regrets_P_voices_merged.csv,8,4,"60,62,64,70"
output/4469_39_plus_nulz_regrets_P/fourstep/4469_39_plus_nulz_regrets_P_voices_merged_fourstep.csv,4,32,"2,4,6,7,8,9,10,15,18,19,27,29,35,40,42,44,51,53,55,57,59,65,66,71,73,76,78,79,84,86,90,94"
