note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
9;57;1/4;7/4;6;3;match;0;0;True;[monotonic_chords]
10;50;1/16;2;7;3;match;2;0;False;[monotonic_chords]
11;62;1/16;2;7;2;match;1;0;False;[monotonic_chords]
12;65;1/16;2;7;1;match;0;0;False;[monotonic_chords]
13;64;1/16;33/16;8;1;ornamentation;0;0;False;[monotonic_chords]
14;65;1/16;17/8;9;1;ornamentation;0;0;False;[monotonic_chords]
15;67;1/16;35/16;10;1;ornamentation;0;0;False;[monotonic_chords]
16;65;1/8;9/4;11;1;ornamentation;0;0;True;[monotonic_chords]
15;67;1/16;35/16;10;1;ornamentation;0;1;True;[non_monotonic_chords]
16;65;1/8;9/4;11;1;ornamentation;0;1;False;[non_monotonic_chords]
17;67;1/8;19/8;12;1;ornamentation;0;1;False;[non_monotonic_chords]
18;50;1/8;5/2;13;3;repetition;3;1;False;[non_monotonic_chords]
19;62;1/8;5/2;13;2;match;2;1;False;[non_monotonic_chords]
20;65;1/8;5/2;13;1;repetition;1;1;False;[non_monotonic_chords]
19;62;1/8;5/2;13;0;match;0;1;False;[non_monotonic_chords]
21;64;1/8;21/8;14;1;ornamentation;0;1;False;[non_monotonic_chords]
22;65;1/16;11/4;15;1;repetition;0;1;True;[non_monotonic_chords]
21;64;1/8;21/8;14;1;ornamentation;0;2;True;[monotonic]
22;65;1/16;11/4;15;1;repetition;0;2;False;[monotonic]
23;64;1/16;45/16;16;1;ornamentation;0;2;False;[monotonic]
24;62;1/16;23/8;17;1;match;0;2;False;[monotonic]
25;60;1/16;47/16;18;1;ornamentation;0;2;False;[monotonic]
26;62;1/4;3;19;1;match;1;2;True;[monotonic]
27;65;1/4;3;19;0;match;0;2;True;[monotonic]
39;65;1/16;69/16;27;0;ornamentation;0;3;True;[monotonic]
40;64;1/32;35/8;28;0;ornamentation;0;3;False;[monotonic]
41;65;1/32;141/32;29;0;ornamentation;0;3;False;[monotonic]
42;67;1/32;71/16;30;0;ornamentation;0;3;False;[monotonic]
43;69;1/32;143/32;31;0;ornamentation;0;3;False;[monotonic]
44;55;1/8;9/2;32;3;match;2;3;True;[monotonic]
45;62;1/8;9/2;32;1;match;1;3;True;[monotonic]
46;70;1/8;9/2;32;0;repetition;0;3;True;[monotonic]
47;69;1/8;37/8;33;0;ornamentation;0;4;True;[monotonic]
48;70;1/16;19/4;34;0;repetition;0;4;False;[monotonic]
49;69;1/16;77/16;35;0;ornamentation;0;4;False;[monotonic]
50;67;1/16;39/8;36;0;match;0;4;False;[monotonic]
51;65;1/16;79/16;37;0;ornamentation;0;4;False;[monotonic]
52;55;1/8;5;38;3;match;2;4;True;[monotonic]
53;59;1/8;5;38;1;match;1;4;True;[monotonic]
54;67;1/8;5;38;0;match;0;4;True;[monotonic]
81;68;1/8;61/8;56;0;ornamentation;0;7;True;[non_monotonic]
82;69;1/16;31/4;57;0;repetition;0;7;False;[non_monotonic]
83;68;1/16;125/16;58;0;ornamentation;0;7;False;[non_monotonic]
84;66;1/16;63/8;59;0;ornamentation;0;7;False;[non_monotonic]
85;68;1/16;127/16;60;0;ornamentation;0;7;False;[non_monotonic]
86;53;1/2;8;61;3;match;2;7;True;[non_monotonic]
87;57;1/2;8;61;2;match;1;7;True;[non_monotonic]
88;69;1/2;8;61;0;match;0;7;True;[non_monotonic]
106;64;1/16;165/16;70;0;ornamentation;0;8;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
107;62;1/32;83/8;71;0;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
108;64;1/32;333/32;72;0;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
109;65;1/32;167/16;73;0;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
110;67;1/32;335/32;74;0;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
111;53;1/4;21/2;75;3;repetition;2;8;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
112;57;1/4;21/2;75;2;repetition;1;8;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
113;69;1/4;21/2;75;0;repetition;0;8;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
191;53;1/8;33/2;128;3;match;2;13;True;[non_monotonic]
192;57;1/8;33/2;128;1;match;1;13;True;[non_monotonic]
193;72;1/8;33/2;128;0;repetition;0;13;True;[non_monotonic]
194;70;1/16;133/8;129;0;ornamentation;0;13;False;[non_monotonic]
195;69;1/16;267/16;130;0;ornamentation;0;13;False;[non_monotonic]
196;70;1/16;67/4;131;0;ficta;0;13;False;[non_monotonic]
197;69;1/16;269/16;132;0;ornamentation;0;13;False;[non_monotonic]
198;70;1/32;135/8;133;0;adaptation;0;13;True;[non_monotonic]
197;69;1/16;269/16;132;0;ornamentation;0;14;True;[monotonic]
198;70;1/32;135/8;133;0;adaptation;0;14;False;[monotonic]
199;69;1/32;541/32;134;0;ornamentation;0;14;False;[monotonic]
200;67;1/32;271/16;135;0;ornamentation;0;14;False;[monotonic]
201;65;1/32;543/32;136;0;ornamentation;0;14;False;[monotonic]
202;52;1/2;17;137;3;match;2;14;True;[monotonic]
203;60;1/2;17;137;2;match;1;14;True;[monotonic]
204;67;1/2;17;137;0;match;0;14;True;[monotonic]
227;62;1/16;317/16;152;1;ornamentation;0;16;True;[monotonic_perfect_fifth_0_0]
228;64;1/32;159/8;153;1;repetition;0;16;False;[monotonic_perfect_fifth_0_0]
229;65;1/32;637/32;154;0;ornamentation;0;16;False;[monotonic_perfect_fifth_0_0]
230;67;1/32;319/16;155;0;ornamentation;0;16;False;[monotonic_perfect_fifth_0_0]
231;69;1/32;639/32;156;0;ornamentation;0;16;False;[monotonic_perfect_fifth_0_0]
232;52;1/4;20;157;3;match;2;16;True;[monotonic_perfect_fifth_0_0]
233;64;1/4;20;157;2;match;1;16;True;[monotonic_perfect_fifth_0_0]
234;71;1/4;20;157;0;match;0;16;True;[monotonic_perfect_fifth_0_0]
263;64;1/16;373/16;173;2;ornamentation;0;17;True;[monotonic]
264;65;1/32;187/8;174;2;ornamentation;0;17;False;[monotonic]
265;64;1/32;749/32;175;2;ornamentation;0;17;False;[monotonic]
266;62;1/32;375/16;176;2;ornamentation;0;17;False;[monotonic]
267;60;1/32;751/32;177;2;ornamentation;0;17;False;[monotonic]
268;55;1/4;47/2;178;3;repetition;3;17;True;[monotonic]
269;62;1/4;47/2;178;2;match;2;17;True;[monotonic]
269;62;1/4;47/2;178;1;match;1;17;True;[monotonic]
270;71;1/4;47/2;178;0;repetition;0;17;True;[monotonic]
268;55;1/4;47/2;178;3;repetition;3;18;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
269;62;1/4;47/2;178;2;match;2;18;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
269;62;1/4;47/2;178;1;match;1;18;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
270;71;1/4;47/2;178;0;repetition;0;18;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
271;57;1/16;95/4;179;3;adaptation;0;18;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
272;55;1/16;381/16;180;3;ornamentation;0;18;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
273;53;1/16;191/8;181;3;repetition;0;18;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
274;52;1/16;383/16;182;3;ornamentation;0;18;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
275;50;1/4;24;183;3;match;2;18;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
276;62;1/4;24;183;2;repetition;1;18;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_1]
