note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
268;55;1/4;47/2;178;3;repetition;3;2;True;2;[monotonic_perfect_fifth_0_2]
271;57;1/16;95/4;179;3;adaptation;0;2;False;2;[monotonic_perfect_fifth_0_2]
272;55;1/16;381/16;180;3;ornamentation;0;2;False;2;[monotonic_perfect_fifth_0_2]
273;53;1/16;191/8;181;3;repetition;0;2;False;2;[monotonic_perfect_fifth_0_2]
274;52;1/16;383/16;182;3;ornamentation;0;2;False;2;[monotonic_perfect_fifth_0_2]
275;50;1/4;24;183;3;match;2;2;True;2;[monotonic_perfect_fifth_0_2]
441;52;1/8;309/8;282;3;ornamentation;0;4;True;4;[non_monotonic]
442;53;1/16;155/4;283;3;ornamentation;0;4;False;4;[non_monotonic]
443;52;1/16;621/16;284;3;ornamentation;0;4;False;4;[non_monotonic]
444;53;1/16;311/8;285;3;ornamentation;0;4;False;4;[non_monotonic]
445;55;1/16;623/16;286;3;ornamentation;0;4;False;4;[non_monotonic]
446;53;1/8;39;287;3;match;0;4;True;4;[non_monotonic]
447;57;1/8;313/8;288;3;ornamentation;0;6;True;6;[monotonic]
448;55;1/16;157/4;289;3;adaptation;0;6;False;6;[monotonic]
449;53;1/16;629/16;290;3;ornamentation;0;6;False;6;[monotonic]
450;52;1/16;315/8;291;3;ornamentation;0;6;False;6;[monotonic]
451;50;1/16;631/16;292;3;ornamentation;0;6;False;6;[monotonic]
452;52;1/4;79/2;293;3;match;1;6;True;6;[monotonic]
789;57;1/4;135/2;517;3;match;2;7;True;7;[non_monotonic]
791;58;1/16;271/4;518;3;adaptation;0;7;False;7;[non_monotonic]
792;57;1/16;1085/16;519;3;ornamentation;0;7;False;7;[non_monotonic]
793;55;1/16;543/8;520;3;ornamentation;0;7;False;7;[non_monotonic]
794;57;1/16;1087/16;521;3;ornamentation;0;7;False;7;[non_monotonic]
795;55;1/4;68;522;3;match;2;7;True;7;[non_monotonic]
8;64;1/4;3/2;5;1;match;0;8;True;0;[non_monotonic]
12;65;1/16;2;7;1;match;0;8;False;0;[non_monotonic]
13;64;1/16;33/16;8;1;ornamentation;0;8;False;0;[non_monotonic]
14;65;1/16;17/8;9;1;ornamentation;0;8;False;0;[non_monotonic]
15;67;1/16;35/16;10;1;ornamentation;0;8;False;0;[non_monotonic]
16;65;1/8;9/4;11;1;ornamentation;0;8;True;0;[non_monotonic]
15;67;1/16;35/16;10;1;ornamentation;0;9;True;1;[non_monotonic]
16;65;1/8;9/4;11;1;ornamentation;0;9;False;1;[non_monotonic]
17;67;1/8;19/8;12;1;ornamentation;0;9;False;1;[non_monotonic]
20;65;1/8;5/2;13;1;repetition;1;9;False;1;[non_monotonic]
21;64;1/8;21/8;14;1;ornamentation;0;9;False;1;[non_monotonic]
22;65;1/16;11/4;15;1;repetition;0;9;True;1;[non_monotonic]
21;64;1/8;21/8;14;1;ornamentation;0;10;True;2;[monotonic]
22;65;1/16;11/4;15;1;repetition;0;10;False;2;[monotonic]
23;64;1/16;45/16;16;1;ornamentation;0;10;False;2;[monotonic]
24;62;1/16;23/8;17;1;match;0;10;False;2;[monotonic]
25;60;1/16;47/16;18;1;ornamentation;0;10;False;2;[monotonic]
26;62;1/4;3;19;1;match;1;10;True;2;[monotonic]
366;60;1/4;32;235;1;match;0;15;True;7;[non_monotonic]
367;62;1/16;129/4;236;1;ornamentation;0;15;False;7;[non_monotonic]
368;60;1/16;517/16;237;1;ornamentation;0;15;False;7;[non_monotonic]
369;59;1/16;259/8;238;1;ornamentation;0;15;False;7;[non_monotonic]
370;60;1/16;519/16;239;1;ornamentation;0;15;False;7;[non_monotonic]
372;59;1/2;65/2;240;1;match;0;15;True;7;[non_monotonic]
429;60;1/16;605/16;274;1;ornamentation;0;18;True;10;[monotonic]
430;62;1/32;303/8;275;1;ornamentation;0;18;False;10;[monotonic]
431;60;1/32;1213/32;276;1;ornamentation;0;18;False;10;[monotonic]
432;59;1/32;607/16;277;1;ornamentation;0;18;False;10;[monotonic]
433;57;1/32;1215/32;278;1;ornamentation;0;18;False;10;[monotonic]
434;59;1/4;38;279;1;match;1;18;True;10;[monotonic]
453;60;1/4;79/2;293;1;match;0;19;True;11;[non_monotonic]
454;62;1/16;159/4;294;1;ornamentation;0;19;False;11;[non_monotonic]
455;60;1/16;637/16;295;1;ornamentation;0;19;False;11;[non_monotonic]
456;59;1/16;319/8;296;1;ornamentation;0;19;False;11;[non_monotonic]
457;60;1/16;639/16;297;1;ornamentation;0;19;False;11;[non_monotonic]
459;59;1/2;40;298;1;match;0;19;True;11;[non_monotonic]
667;62;1/8;457/8;436;1;ornamentation;0;27;True;19;[non_monotonic]
668;64;1/16;229/4;437;1;repetition;0;27;False;19;[non_monotonic]
669;62;1/16;917/16;438;1;ornamentation;0;27;False;19;[non_monotonic]
670;64;1/16;459/8;439;1;ornamentation;0;27;False;19;[non_monotonic]
671;62;1/16;919/16;440;1;ornamentation;0;27;False;19;[non_monotonic]
673;62;1/8;115/2;441;1;repetition;1;27;True;19;[non_monotonic]
678;61;1/16;925/16;445;1;ornamentation;0;29;True;21;[non_monotonic]
679;62;1/32;463/8;446;1;ornamentation;0;29;False;21;[non_monotonic]
680;61;1/32;1853/32;447;1;ornamentation;0;29;False;21;[non_monotonic]
681;59;1/32;927/16;448;1;ornamentation;0;29;False;21;[non_monotonic]
682;61;1/32;1855/32;449;1;ornamentation;0;29;False;21;[non_monotonic]
684;62;1/4;58;450;1;match;1;29;True;21;[non_monotonic]
817;56;1/8;557/8;532;1;ornamentation;0;35;True;27;[non_monotonic]
818;57;1/16;279/4;533;1;repetition;0;35;False;27;[non_monotonic]
819;56;1/16;1117/16;534;1;ornamentation;0;35;False;27;[non_monotonic]
820;55;1/16;559/8;535;1;ornamentation;0;35;False;27;[non_monotonic]
821;56;1/16;1119/16;536;1;ornamentation;0;35;False;27;[non_monotonic]
823;57;1/4;70;537;1;match;1;35;True;27;[non_monotonic]
263;64;1/16;373/16;173;2;ornamentation;0;40;True;4;[monotonic]
264;65;1/32;187/8;174;2;ornamentation;0;40;False;4;[monotonic]
265;64;1/32;749/32;175;2;ornamentation;0;40;False;4;[monotonic]
266;62;1/32;375/16;176;2;ornamentation;0;40;False;4;[monotonic]
267;60;1/32;751/32;177;2;ornamentation;0;40;False;4;[monotonic]
269;62;1/4;47/2;178;2;match;2;40;True;4;[monotonic]
483;62;1/8;42;316;2;repetition;1;42;True;6;[non_monotonic]
509;60;1/16;717/16;332;2;ornamentation;0;42;False;6;[non_monotonic]
510;59;1/16;359/8;333;2;ornamentation;0;42;False;6;[non_monotonic]
511;57;1/16;719/16;334;2;ornamentation;0;42;False;6;[non_monotonic]
513;59;1/16;45;335;2;adaptation;1;42;False;6;[non_monotonic]
521;64;1/4;91/2;341;2;repetition;1;42;True;6;[non_monotonic]
590;55;1/8;51;384;2;match;2;44;True;8;[monotonic]
594;55;1/16;205/4;386;2;repetition;1;44;False;8;[monotonic]
596;53;1/16;821/16;387;2;ornamentation;0;44;False;8;[monotonic]
597;52;1/16;411/8;388;2;adaptation;0;44;False;8;[monotonic]
598;50;1/16;823/16;389;2;ornamentation;0;44;False;8;[monotonic]
600;52;1/8;103/2;390;2;match;1;44;True;8;[monotonic]
862;64;1/16;1165/16;565;2;ornamentation;0;51;True;15;[monotonic]
