note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
34,55,3/16,4,24,2,match,2,0,True
64,62,1/16,93/16,47,2,ornamentation,0,0,False
65,60,1/16,47/8,48,2,ornamentation,0,0,False
66,62,1/16,95/16,49,2,ornamentation,0,0,False
68,60,1/2,6,50,2,match,1,0,True
154,55,1/8,14,100,2,match,2,1,True
158,53,1/16,57/4,102,2,match,1,1,False
160,62,1/16,229/16,103,2,ornamentation,0,1,False
161,60,1/16,115/8,104,2,ornamentation,0,1,False
162,62,1/16,231/16,105,2,ornamentation,0,1,False
163,52,1/16,29/2,106,2,match,0,1,False
171,50,1/4,15,114,2,match,2,1,True
212,62,1/4,37/2,142,2,match,1,2,True
221,60,1/16,39/2,147,2,match,1,2,False
225,59,1/16,315/16,150,2,ornamentation,0,2,False
226,60,1/16,79/4,151,2,repetition,0,2,False
233,64,1/4,20,157,2,match,1,2,True
260,64,1/4,23,171,2,match,1,3,True
262,65,1/16,93/4,172,2,ornamentation,0,3,False
263,64,1/16,373/16,173,2,ornamentation,0,3,False
264,65,1/32,187/8,174,2,ornamentation,0,3,True
263,64,1/16,373/16,173,2,ornamentation,0,4,True
264,65,1/32,187/8,174,2,ornamentation,0,4,False
265,64,1/32,749/32,175,2,ornamentation,0,4,False
266,62,1/32,375/16,176,2,ornamentation,0,4,False
267,60,1/32,751/32,177,2,ornamentation,0,4,False
269,62,1/4,47/2,178,2,match,2,4,True
342,53,1/8,30,217,2,match,2,5,True
349,62,1/16,487/16,222,2,ornamentation,0,5,False
351,52,1/16,61/2,223,2,match,0,5,False
361,50,1/2,31,233,2,match,1,5,True
483,62,1/8,42,316,2,repetition,1,6,True
509,60,1/16,717/16,332,2,ornamentation,0,6,False
510,59,1/16,359/8,333,2,ornamentation,0,6,False
511,57,1/16,719/16,334,2,ornamentation,0,6,False
513,59,1/16,45,335,2,adaptation,1,6,False
521,64,1/4,91/2,341,2,repetition,1,6,True
545,57,1/4,95/2,356,2,repetition,1,7,True
562,55,1/16,781/16,366,2,ornamentation,0,7,False
563,57,1/16,391/8,367,2,repetition,0,7,False
575,57,1/16,50,374,2,match,1,7,False
585,57,1/4,101/2,382,2,repetition,1,7,True
590,55,1/8,51,384,2,match,2,8,True
594,55,1/16,205/4,386,2,repetition,1,8,False
596,53,1/16,821/16,387,2,ornamentation,0,8,False
597,52,1/16,411/8,388,2,adaptation,0,8,False
598,50,1/16,823/16,389,2,ornamentation,0,8,False
600,52,1/8,103/2,390,2,match,1,8,True
645,59,1/4,111/2,422,2,match,2,9,True
648,59,1/8,223/4,423,2,ornamentation,0,9,False
649,60,1/8,447/8,424,2,ornamentation,0,9,False
650,60,1/4,56,425,2,match,2,9,True
650,60,1/4,56,425,2,match,2,10,True
658,59,1/16,905/16,431,2,ornamentation,0,10,False
659,60,1/16,453/8,432,2,repetition,0,10,False
685,65,1/4,58,450,2,match,2,10,True
697,59,1/8,59,460,2,match,1,11,True
701,67,1/16,949/16,463,2,ornamentation,0,11,False
702,66,1/16,475/8,464,2,ornamentation,0,11,False
703,67,1/16,951/16,465,2,ornamentation,0,11,False
705,57,1/16,119/2,466,2,match,0,11,False
716,55,1/2,60,476,2,match,1,11,True
769,55,1/4,263/4,503,2,match,2,12,True
772,53,1/8,66,504,2,match,0,12,False
773,52,1/8,529/8,505,2,ornamentation,0,12,False
774,50,1/8,265/4,506,2,match,1,12,False
776,53,1/8,531/8,507,2,ornamentation,0,12,False
777,52,1/16,133/2,508,2,match,0,12,True
834,53,1/8,71,543,2,match,1,13,True
837,50,1/16,285/4,545,2,match,1,13,False
839,62,1/16,1141/16,546,2,ornamentation,0,13,False
840,61,1/16,571/8,547,2,ornamentation,0,13,False
841,62,1/16,1143/16,548,2,ornamentation,0,13,False
843,52,1/16,143/2,549,2,match,0,13,False
856,65,1/2,72,559,2,adaptation,2,13,True
856,65,1/2,72,559,2,adaptation,2,14,True
857,62,1/16,145/2,560,2,ornamentation,0,14,False
858,61,1/16,1161/16,561,2,ornamentation,0,14,False
859,62,1/16,581/8,562,2,ornamentation,0,14,False
860,64,1/16,1163/16,563,2,ornamentation,0,14,False
861,65,1/16,291/4,564,2,ornamentation,0,14,False
862,64,1/16,1165/16,565,2,ornamentation,0,14,False
863,62,1/32,583/8,566,2,ornamentation,0,14,True
862,64,1/16,1165/16,565,2,ornamentation,0,15,True
863,62,1/32,583/8,566,2,ornamentation,0,15,False
864,64,1/32,2333/32,567,2,ornamentation,0,15,False
865,65,1/32,1167/16,568,2,ornamentation,0,15,False
866,67,1/32,2335/32,569,2,ornamentation,0,15,False
870,65,1,73,570,2,adaptation,2,15,True
